Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 00:56:10,391 - root - INFO - Finetune stage..."
1.0,train,0.01,19.32,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,22.36,1.605,0.0,
2.0,val,,22.2,1.559,0.0,
3.0,train,0.01,35.48,1.456,0.0,
3.0,val,,36.4,1.387,0.0,
4.0,train,0.01,35.52,1.353,0.0,
4.0,val,,36.2,1.382,0.0,
5.0,train,0.01,37.76,1.287,0.0,
5.0,val,,40.2,1.224,0.0,
6.0,train,0.01,37.92,1.261,0.0,
6.0,val,,44.0,1.246,0.0,
7.0,train,0.01,41.28,1.247,0.0,
7.0,val,,43.2,1.23,0.0,
8.0,train,0.01,43.72,1.245,0.0,
8.0,val,,48.0,1.197,0.0,
9.0,train,0.01,44.4,1.223,0.0,
9.0,val,,47.8,1.199,0.0,
10.0,train,0.01,44.04,1.213,0.0,
10.0,val,,47.6,1.156,0.0,
11.0,train,0.01,44.52,1.201,0.0,
11.0,val,,46.0,1.217,0.0,
12.0,train,0.01,45.16,1.196,0.0,
12.0,val,,47.4,1.149,0.0,
13.0,train,0.01,46.84,1.197,0.0,
13.0,val,,49.2,1.168,0.0,
14.0,train,0.01,46.76,1.183,0.0,
14.0,val,,49.4,1.144,0.0,
15.0,train,0.01,47.44,1.172,0.0,
15.0,val,,49.2,1.182,0.0,
16.0,train,0.01,47.76,1.165,0.0,
16.0,val,,50.2,1.153,0.0,
17.0,train,0.01,47.92,1.169,0.0,
17.0,val,,49.0,1.14,0.0,
18.0,train,0.01,49.16,1.151,0.0,
18.0,val,,48.4,1.181,0.0,
19.0,train,0.01,47.24,1.177,0.0,
19.0,val,,49.2,1.156,0.0,
20.0,train,0.01,49.08,1.147,0.0,
20.0,val,,48.2,1.148,0.0,
21.0,train,0.01,49.88,1.134,0.0,
21.0,val,,51.0,1.141,0.0,
22.0,train,0.01,49.2,1.15,0.0,
22.0,val,,50.2,1.151,0.0,
23.0,train,0.01,49.88,1.125,0.0,
23.0,val,,51.8,1.11,0.0,
24.0,train,0.01,50.04,1.132,0.0,
24.0,val,,52.0,1.131,0.0,
25.0,train,0.01,50.56,1.114,0.0,
25.0,val,,48.6,1.134,0.0,
26.0,train,0.01,51.24,1.102,0.0,
26.0,val,,49.0,1.13,0.0,
27.0,train,0.01,50.76,1.115,0.0,
27.0,val,,52.0,1.201,0.0,
28.0,train,0.01,51.68,1.113,0.0,
28.0,val,,51.8,1.115,0.0,
29.0,train,0.01,50.6,1.12,0.0,
29.0,val,,51.2,1.119,0.0,
30.0,train,0.01,53.4,1.088,0.0,
30.0,val,,50.0,1.156,0.0,
31.0,train,0.01,52.64,1.106,0.0,
31.0,val,,50.4,1.137,0.0,
32.0,train,0.01,52.28,1.11,0.0,
32.0,val,,48.6,1.139,0.0,
33.0,train,0.01,52.68,1.099,0.0,
33.0,val,,50.2,1.114,0.0,
34.0,train,0.01,53.92,1.089,0.0,
34.0,val,,49.8,1.156,0.0,
35.0,train,0.01,53.8,1.076,0.0,
35.0,val,,49.8,1.15,0.0,
36.0,train,0.01,53.56,1.074,0.0,
36.0,val,,50.6,1.123,0.0,
37.0,train,0.01,54.16,1.058,0.0,
37.0,val,,52.8,1.12,0.0,
38.0,train,0.01,53.96,1.068,0.0,
38.0,val,,52.0,1.134,0.0,
39.0,train,0.01,53.24,1.066,0.0,
39.0,val,,52.2,1.142,0.0,
40.0,train,0.01,54.08,1.058,0.0,
40.0,val,,53.2,1.14,0.0,
41.0,train,0.01,54.32,1.062,0.0,
41.0,val,,51.8,1.189,0.0,
42.0,train,0.01,54.4,1.056,0.0,
42.0,val,,52.2,1.11,0.0,
43.0,train,0.01,55.68,1.044,0.0,
43.0,val,,50.2,1.127,0.0,
44.0,train,0.01,55.64,1.058,0.0,
44.0,val,,51.6,1.107,0.0,
45.0,train,0.01,54.96,1.034,0.0,
45.0,val,,52.2,1.124,0.0,
46.0,train,0.01,55.8,1.024,0.0,
46.0,val,,51.0,1.134,0.0,
47.0,train,0.01,55.04,1.038,0.0,
47.0,val,,51.6,1.129,0.0,
48.0,train,0.01,55.96,1.035,0.0,
48.0,val,,54.0,1.116,0.0,
49.0,train,0.01,56.28,1.03,0.0,
49.0,val,,54.4,1.161,0.0,
50.0,train,0.01,55.88,1.033,0.0,
50.0,val,,53.2,1.104,0.0,
51.0,train,0.001,58.28,0.987,0.0,
51.0,val,,53.6,1.094,0.0,
52.0,train,0.001,57.52,0.984,0.0,
52.0,val,,54.2,1.099,0.0,
53.0,train,0.001,58.16,0.987,0.0,
53.0,val,,54.4,1.103,0.0,
54.0,train,0.001,59.0,0.965,0.0,
54.0,val,,54.2,1.099,0.0,
55.0,train,0.001,58.12,0.967,0.0,
55.0,val,,53.4,1.102,0.0,
56.0,train,0.001,58.2,0.963,0.0,
56.0,val,,54.4,1.107,0.0,
57.0,train,0.001,58.76,0.969,0.0,
57.0,val,,54.4,1.105,0.0,
58.0,train,0.001,59.36,0.977,0.0,
58.0,val,,54.2,1.115,0.0,
59.0,train,0.001,59.32,0.957,0.0,
59.0,val,,54.8,1.104,0.0,
60.0,train,0.001,58.68,0.967,0.0,
60.0,val,,54.6,1.102,0.0,
61.0,train,0.001,60.32,0.95,0.0,
61.0,val,,54.8,1.112,0.0,
62.0,train,0.001,58.92,0.953,0.0,
62.0,val,,56.0,1.117,0.0,
63.0,train,0.001,60.0,0.954,0.0,
63.0,val,,55.2,1.112,0.0,
64.0,train,0.001,58.96,0.96,0.0,
64.0,val,,55.6,1.107,0.0,
65.0,train,0.001,59.28,0.944,0.0,
65.0,val,,54.4,1.105,0.0,
66.0,train,0.001,59.44,0.95,0.0,
66.0,val,,54.6,1.113,0.0,
67.0,train,0.001,58.68,0.963,0.0,
67.0,val,,54.8,1.115,0.0,
68.0,train,0.001,59.96,0.955,0.0,
68.0,val,,55.4,1.106,0.0,
69.0,train,0.001,60.36,0.955,0.0,
69.0,val,,55.0,1.108,0.0,
70.0,train,0.001,61.96,0.927,0.0,
70.0,val,,55.4,1.117,0.0,
71.0,train,0.001,61.04,0.94,0.0,
71.0,val,,55.2,1.117,0.0,
72.0,train,0.001,60.48,0.937,0.0,
72.0,val,,55.6,1.116,0.0,
73.0,train,0.001,60.16,0.958,0.0,
73.0,val,,55.4,1.106,0.0,
74.0,train,0.001,60.44,0.933,0.0,
74.0,val,,54.4,1.118,0.0,
75.0,train,0.001,58.16,0.954,0.0,
75.0,val,,55.4,1.104,0.0,
76.0,train,0.001,60.08,0.944,0.0,
76.0,val,,54.6,1.114,0.0,
77.0,train,0.001,61.44,0.921,0.0,
77.0,val,,55.2,1.126,0.0,
78.0,train,0.001,59.6,0.942,0.0,
78.0,val,,54.8,1.109,0.0,
79.0,train,0.001,61.16,0.931,0.0,
79.0,val,,54.6,1.106,0.0,
80.0,train,0.001,59.84,0.938,0.0,
80.0,val,,56.0,1.104,0.0,
81.0,train,0.0001,60.96,0.93,0.0,
81.0,val,,55.6,1.104,0.0,
82.0,train,0.0001,61.44,0.912,0.0,
82.0,val,,55.6,1.104,0.0,
83.0,train,0.0001,61.4,0.928,0.0,
83.0,val,,55.4,1.107,0.0,
84.0,train,0.0001,61.92,0.918,0.0,
84.0,val,,56.4,1.103,0.0,
85.0,train,0.0001,60.36,0.929,0.0,
85.0,val,,55.4,1.113,0.0,
86.0,train,0.0001,61.4,0.926,0.0,
86.0,val,,56.4,1.129,0.0,
87.0,train,0.0001,61.72,0.922,0.0,
87.0,val,,55.6,1.116,0.0,
88.0,train,0.0001,60.76,0.92,0.0,
88.0,val,,55.8,1.104,0.0,
89.0,train,0.0001,59.92,0.948,0.0,
89.0,val,,56.2,1.101,0.0,
90.0,train,0.0001,60.92,0.937,0.0,
90.0,val,,55.6,1.106,0.0,
91.0,train,0.0001,61.2,0.922,0.0,
91.0,val,,56.6,1.104,0.0,
92.0,train,0.0001,59.4,0.938,0.0,
92.0,val,,55.4,1.104,0.0,
93.0,train,0.0001,61.04,0.931,0.0,
93.0,val,,56.6,1.107,0.0,
94.0,train,0.0001,61.24,0.916,0.0,
94.0,val,,55.6,1.118,0.0,
95.0,train,0.0001,60.2,0.934,0.0,
95.0,val,,56.0,1.115,0.0,
96.0,train,0.0001,61.8,0.93,0.0,
96.0,val,,53.8,1.114,0.0,
97.0,train,0.0001,61.08,0.926,0.0,
97.0,val,,55.2,1.108,0.0,
98.0,train,0.0001,60.92,0.933,0.0,
98.0,val,,55.0,1.114,0.0,
99.0,train,0.0001,60.84,0.935,0.0,
99.0,val,,55.4,1.106,0.0,
100.0,train,0.0001,60.84,0.931,0.0,
100.0,val,,55.8,1.102,0.0,
,info,,,,,"2024-11-14 00:56:50,853 - root - INFO - ----------------"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO -"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO - Sparsity range: 0.0 -> 0.1"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO - we reach the upperbound and still do not get the accuracy over our target on curr task"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO - remain_num_tasks: 4"
,info,,,,,"2024-11-14 00:56:53,044 - root - INFO - ratio_allow_for_curr_task: 0.2000"
0.0,val,,55.8,1.102,0.0,
,info,,,,,"2024-11-14 00:56:53,311 - root - INFO -"
1.0,train,0.001,60.4,0.935,0.053,
1.0,val,,56.0,1.108,0.053,
2.0,train,0.001,59.8,0.944,0.086,
2.0,val,,55.2,1.115,0.086,
3.0,train,0.001,59.84,0.942,0.098,
3.0,val,,54.8,1.114,0.098,
4.0,train,0.001,60.68,0.923,0.101,
4.0,val,,56.2,1.11,0.101,
5.0,train,0.001,61.0,0.925,0.101,
5.0,val,,55.6,1.116,0.101,
6.0,train,0.001,60.44,0.928,0.101,
6.0,val,,54.8,1.107,0.101,
7.0,train,0.001,60.16,0.934,0.101,
7.0,val,,55.0,1.111,0.101,
8.0,train,0.001,61.64,0.92,0.101,
8.0,val,,56.2,1.112,0.101,
9.0,train,0.001,61.32,0.915,0.101,
9.0,val,,55.6,1.115,0.101,
10.0,train,0.001,62.04,0.915,0.101,
10.0,val,,55.8,1.105,0.101,
11.0,train,0.001,62.2,0.914,0.101,
11.0,val,,56.2,1.116,0.101,
12.0,train,0.001,61.6,0.932,0.101,
12.0,val,,55.6,1.118,0.101,
13.0,train,0.001,60.36,0.939,0.101,
13.0,val,,56.6,1.114,0.101,
14.0,train,0.001,61.96,0.916,0.101,
14.0,val,,55.2,1.096,0.101,
15.0,train,0.001,61.56,0.91,0.101,
15.0,val,,56.4,1.102,0.101,
16.0,train,0.001,62.68,0.906,0.101,
16.0,val,,56.6,1.122,0.101,
17.0,train,0.001,61.72,0.92,0.101,
17.0,val,,55.0,1.116,0.101,
18.0,train,0.001,61.24,0.921,0.101,
18.0,val,,56.8,1.113,0.101,
19.0,train,0.001,61.48,0.905,0.101,
19.0,val,,54.8,1.124,0.101,
20.0,train,0.001,61.48,0.926,0.101,
20.0,val,,55.2,1.108,0.101,
,info,,,,,"2024-11-14 00:57:01,627 - root - INFO - ----------------"
,info,,,,,"2024-11-14 00:57:03,867 - root - INFO -"
,info,,,,,"2024-11-14 00:57:03,868 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 00:57:03,868 - root - INFO - Sparsity range: 0.1 -> 0.2"
,info,,,,,"2024-11-14 00:57:03,868 - root - INFO - we reach the upperbound and still do not get the accuracy over our target on curr task"
,info,,,,,"2024-11-14 00:57:03,868 - root - INFO - remain_num_tasks: 4"
,info,,,,,"2024-11-14 00:57:03,868 - root - INFO - ratio_allow_for_curr_task: 0.2000"
0.0,val,,55.2,1.108,0.101,
,info,,,,,"2024-11-14 00:57:04,126 - root - INFO -"
1.0,train,0.001,62.08,0.91,0.153,
