Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 00:58:24,278 - root - INFO - Finetune stage..."
1.0,train,0.01,18.96,1.61,0.0,
1.0,val,,20.6,1.608,0.0,
2.0,train,0.01,21.04,1.606,0.0,
2.0,val,,32.4,1.586,0.0,
3.0,train,0.01,32.28,1.492,0.0,
3.0,val,,33.4,1.422,0.0,
4.0,train,0.01,32.84,1.379,0.0,
4.0,val,,33.8,1.328,0.0,
5.0,train,0.01,39.6,1.324,0.0,
5.0,val,,40.4,1.277,0.0,
6.0,train,0.01,42.76,1.285,0.0,
6.0,val,,45.0,1.229,0.0,
7.0,train,0.01,45.6,1.25,0.0,
7.0,val,,45.4,1.211,0.0,
8.0,train,0.01,47.48,1.207,0.0,
8.0,val,,46.0,1.178,0.0,
9.0,train,0.01,49.44,1.168,0.0,
9.0,val,,51.4,1.136,0.0,
10.0,train,0.01,50.16,1.156,0.0,
10.0,val,,50.0,1.137,0.0,
11.0,train,0.01,51.0,1.15,0.0,
11.0,val,,51.4,1.12,0.0,
12.0,train,0.01,52.32,1.101,0.0,
12.0,val,,52.0,1.108,0.0,
13.0,train,0.01,53.04,1.108,0.0,
13.0,val,,50.8,1.12,0.0,
14.0,train,0.01,55.48,1.081,0.0,
14.0,val,,54.4,1.066,0.0,
15.0,train,0.01,56.36,1.07,0.0,
15.0,val,,55.8,1.092,0.0,
16.0,train,0.01,58.04,1.059,0.0,
16.0,val,,56.8,1.078,0.0,
17.0,train,0.01,61.84,1.007,0.0,
17.0,val,,59.4,1.017,0.0,
18.0,train,0.01,63.32,0.978,0.0,
18.0,val,,59.8,1.016,0.0,
19.0,train,0.01,62.76,0.978,0.0,
19.0,val,,62.6,0.939,0.0,
20.0,train,0.01,63.76,0.94,0.0,
20.0,val,,63.6,0.974,0.0,
21.0,train,0.01,64.48,0.921,0.0,
21.0,val,,62.6,0.935,0.0,
22.0,train,0.01,64.96,0.934,0.0,
22.0,val,,61.0,0.976,0.0,
23.0,train,0.01,64.8,0.91,0.0,
23.0,val,,65.8,0.921,0.0,
24.0,train,0.01,66.28,0.899,0.0,
24.0,val,,67.0,0.868,0.0,
25.0,train,0.01,64.24,0.905,0.0,
25.0,val,,66.0,0.903,0.0,
26.0,train,0.01,66.16,0.855,0.0,
26.0,val,,66.2,0.924,0.0,
27.0,train,0.01,65.2,0.882,0.0,
27.0,val,,64.8,0.9,0.0,
28.0,train,0.01,66.04,0.874,0.0,
28.0,val,,66.0,0.849,0.0,
29.0,train,0.01,67.28,0.852,0.0,
29.0,val,,66.4,0.875,0.0,
30.0,train,0.01,66.76,0.868,0.0,
30.0,val,,67.8,0.881,0.0,
31.0,train,0.01,66.84,0.866,0.0,
31.0,val,,65.4,0.891,0.0,
32.0,train,0.01,68.08,0.838,0.0,
32.0,val,,64.6,0.877,0.0,
33.0,train,0.01,68.0,0.848,0.0,
33.0,val,,70.2,0.832,0.0,
34.0,train,0.01,68.68,0.821,0.0,
34.0,val,,65.6,0.832,0.0,
35.0,train,0.01,66.88,0.827,0.0,
35.0,val,,64.0,0.891,0.0,
36.0,train,0.01,68.6,0.81,0.0,
36.0,val,,68.8,0.813,0.0,
37.0,train,0.01,68.4,0.816,0.0,
37.0,val,,64.8,0.9,0.0,
38.0,train,0.01,69.08,0.802,0.0,
38.0,val,,67.0,0.83,0.0,
39.0,train,0.01,69.8,0.796,0.0,
39.0,val,,68.4,0.852,0.0,
40.0,train,0.01,69.0,0.804,0.0,
40.0,val,,65.8,0.895,0.0,
41.0,train,0.01,68.88,0.801,0.0,
41.0,val,,68.6,0.859,0.0,
42.0,train,0.01,68.76,0.819,0.0,
42.0,val,,68.8,0.83,0.0,
43.0,train,0.01,69.96,0.765,0.0,
43.0,val,,64.6,0.887,0.0,
44.0,train,0.01,70.04,0.787,0.0,
44.0,val,,68.2,0.812,0.0,
45.0,train,0.01,70.72,0.783,0.0,
45.0,val,,68.6,0.818,0.0,
46.0,train,0.01,70.44,0.771,0.0,
46.0,val,,66.6,0.832,0.0,
47.0,train,0.01,70.76,0.745,0.0,
47.0,val,,70.0,0.792,0.0,
48.0,train,0.01,70.6,0.745,0.0,
48.0,val,,69.2,0.796,0.0,
49.0,train,0.01,70.72,0.747,0.0,
49.0,val,,67.4,0.818,0.0,
50.0,train,0.01,71.24,0.751,0.0,
50.0,val,,70.4,0.765,0.0,
51.0,train,0.001,72.72,0.698,0.0,
51.0,val,,69.8,0.752,0.0,
52.0,train,0.001,73.96,0.688,0.0,
52.0,val,,69.8,0.759,0.0,
53.0,train,0.001,74.12,0.685,0.0,
53.0,val,,71.0,0.755,0.0,
54.0,train,0.001,73.88,0.678,0.0,
54.0,val,,71.4,0.76,0.0,
55.0,train,0.001,73.64,0.674,0.0,
55.0,val,,71.6,0.756,0.0,
56.0,train,0.001,74.08,0.684,0.0,
56.0,val,,71.4,0.762,0.0,
57.0,train,0.001,74.72,0.674,0.0,
57.0,val,,72.6,0.75,0.0,
58.0,train,0.001,73.96,0.668,0.0,
58.0,val,,72.2,0.748,0.0,
59.0,train,0.001,74.48,0.675,0.0,
59.0,val,,71.4,0.753,0.0,
60.0,train,0.001,74.28,0.668,0.0,
60.0,val,,71.4,0.74,0.0,
61.0,train,0.001,73.88,0.654,0.0,
61.0,val,,72.0,0.751,0.0,
62.0,train,0.001,74.52,0.671,0.0,
62.0,val,,71.6,0.746,0.0,
63.0,train,0.001,75.48,0.659,0.0,
63.0,val,,71.0,0.776,0.0,
64.0,train,0.001,74.4,0.666,0.0,
64.0,val,,70.8,0.753,0.0,
65.0,train,0.001,75.28,0.652,0.0,
65.0,val,,71.4,0.748,0.0,
66.0,train,0.001,74.68,0.657,0.0,
66.0,val,,73.0,0.749,0.0,
67.0,train,0.001,74.96,0.66,0.0,
67.0,val,,73.0,0.735,0.0,
68.0,train,0.001,75.72,0.665,0.0,
68.0,val,,73.2,0.734,0.0,
69.0,train,0.001,75.16,0.661,0.0,
69.0,val,,71.0,0.764,0.0,
70.0,train,0.001,75.88,0.652,0.0,
70.0,val,,72.4,0.736,0.0,
71.0,train,0.001,75.48,0.656,0.0,
71.0,val,,72.2,0.739,0.0,
72.0,train,0.001,75.04,0.649,0.0,
72.0,val,,70.8,0.755,0.0,
73.0,train,0.001,74.68,0.666,0.0,
73.0,val,,72.0,0.743,0.0,
74.0,train,0.001,75.52,0.644,0.0,
74.0,val,,71.6,0.749,0.0,
75.0,train,0.001,75.2,0.637,0.0,
75.0,val,,71.8,0.747,0.0,
76.0,train,0.001,74.96,0.663,0.0,
76.0,val,,72.2,0.75,0.0,
77.0,train,0.001,75.4,0.651,0.0,
77.0,val,,72.6,0.741,0.0,
78.0,train,0.001,75.12,0.659,0.0,
78.0,val,,72.8,0.739,0.0,
79.0,train,0.001,75.72,0.644,0.0,
79.0,val,,73.4,0.739,0.0,
80.0,train,0.001,75.48,0.637,0.0,
80.0,val,,73.0,0.737,0.0,
81.0,train,0.0001,75.08,0.645,0.0,
81.0,val,,71.2,0.748,0.0,
82.0,train,0.0001,76.2,0.639,0.0,
82.0,val,,72.8,0.74,0.0,
83.0,train,0.0001,76.84,0.617,0.0,
83.0,val,,72.6,0.742,0.0,
84.0,train,0.0001,75.88,0.633,0.0,
84.0,val,,71.6,0.745,0.0,
85.0,train,0.0001,75.8,0.627,0.0,
85.0,val,,72.2,0.739,0.0,
86.0,train,0.0001,75.52,0.644,0.0,
86.0,val,,71.8,0.745,0.0,
87.0,train,0.0001,75.76,0.637,0.0,
87.0,val,,72.2,0.746,0.0,
88.0,train,0.0001,75.12,0.646,0.0,
88.0,val,,71.4,0.749,0.0,
89.0,train,0.0001,75.76,0.64,0.0,
89.0,val,,72.8,0.74,0.0,
90.0,train,0.0001,75.72,0.638,0.0,
90.0,val,,72.8,0.742,0.0,
91.0,train,0.0001,75.92,0.629,0.0,
91.0,val,,72.2,0.746,0.0,
92.0,train,0.0001,75.6,0.644,0.0,
92.0,val,,71.4,0.76,0.0,
93.0,train,0.0001,75.72,0.634,0.0,
93.0,val,,72.0,0.746,0.0,
94.0,train,0.0001,76.32,0.612,0.0,
94.0,val,,73.6,0.734,0.0,
95.0,train,0.0001,76.28,0.631,0.0,
95.0,val,,71.8,0.748,0.0,
96.0,train,0.0001,76.36,0.63,0.0,
96.0,val,,71.6,0.755,0.0,
97.0,train,0.0001,76.36,0.62,0.0,
97.0,val,,72.0,0.745,0.0,
98.0,train,0.0001,75.28,0.644,0.0,
98.0,val,,71.2,0.751,0.0,
99.0,train,0.0001,76.72,0.622,0.0,
99.0,val,,72.4,0.739,0.0,
100.0,train,0.0001,75.88,0.633,0.0,
100.0,val,,73.0,0.73,0.0,
,info,,,,,"2024-11-14 00:59:06,356 - root - INFO - ----------------"
,info,,,,,"2024-11-14 00:59:06,356 - root - INFO - It's time to expand the Network"
,info,,,,,"2024-11-14 00:59:06,356 - root - INFO - Auto expand network"
,info,,,,,"2024-11-14 00:59:08,649 - root - INFO -"
,info,,,,,"2024-11-14 00:59:08,650 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 00:59:08,650 - root - INFO - Sparsity range: 0.0 -> 0.1"
0.0,val,,73.0,0.73,0.0,
,info,,,,,"2024-11-14 00:59:08,907 - root - INFO -"
1.0,train,0.001,75.6,0.638,0.053,
1.0,val,,72.4,0.753,0.053,
2.0,train,0.001,75.92,0.637,0.085,
2.0,val,,73.2,0.732,0.085,
3.0,train,0.001,76.44,0.634,0.098,
3.0,val,,71.8,0.748,0.098,
4.0,train,0.001,75.68,0.634,0.1,
4.0,val,,72.2,0.738,0.1,
5.0,train,0.001,74.88,0.643,0.1,
5.0,val,,71.8,0.739,0.1,
6.0,train,0.001,76.36,0.629,0.1,
6.0,val,,73.2,0.744,0.1,
7.0,train,0.001,76.2,0.629,0.1,
7.0,val,,72.0,0.737,0.1,
8.0,train,0.001,75.2,0.637,0.1,
8.0,val,,71.8,0.737,0.1,
9.0,train,0.001,75.48,0.624,0.1,
9.0,val,,72.4,0.741,0.1,
10.0,train,0.001,75.6,0.651,0.1,
10.0,val,,71.8,0.738,0.1,
11.0,train,0.001,75.8,0.635,0.1,
11.0,val,,73.2,0.734,0.1,
12.0,train,0.001,76.2,0.627,0.1,
12.0,val,,72.4,0.757,0.1,
13.0,train,0.001,75.64,0.639,0.1,
13.0,val,,71.6,0.751,0.1,
14.0,train,0.001,76.08,0.627,0.1,
14.0,val,,72.8,0.743,0.1,
15.0,train,0.001,75.32,0.637,0.1,
15.0,val,,70.4,0.747,0.1,
16.0,train,0.001,75.72,0.635,0.1,
16.0,val,,71.4,0.742,0.1,
17.0,train,0.001,75.72,0.639,0.1,
17.0,val,,71.2,0.743,0.1,
18.0,train,0.001,75.08,0.647,0.1,
18.0,val,,72.0,0.742,0.1,
19.0,train,0.001,75.52,0.625,0.1,
19.0,val,,70.8,0.754,0.1,
20.0,train,0.001,76.52,0.628,0.1,
20.0,val,,72.4,0.738,0.1,
,info,,,,,"2024-11-14 00:59:17,282 - root - INFO - ----------------"
,info,,,,,"2024-11-14 00:59:19,546 - root - INFO -"
,info,,,,,"2024-11-14 00:59:19,546 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 00:59:19,546 - root - INFO - Sparsity range: 0.1 -> 0.2"
0.0,val,,72.4,0.738,0.1,
,info,,,,,"2024-11-14 00:59:19,802 - root - INFO -"
1.0,train,0.001,76.96,0.611,0.153,
1.0,val,,72.8,0.753,0.153,
2.0,train,0.001,76.76,0.613,0.186,
2.0,val,,73.0,0.738,0.186,
3.0,train,0.001,77.36,0.608,0.198,
3.0,val,,72.2,0.754,0.198,
4.0,train,0.001,76.48,0.61,0.201,
4.0,val,,71.8,0.736,0.201,
5.0,train,0.001,76.28,0.614,0.201,
5.0,val,,71.4,0.736,0.201,
6.0,train,0.001,78.04,0.6,0.201,
6.0,val,,73.2,0.742,0.201,
7.0,train,0.001,77.12,0.599,0.201,
7.0,val,,71.2,0.732,0.201,
8.0,train,0.001,76.32,0.607,0.201,
8.0,val,,71.4,0.734,0.201,
9.0,train,0.001,76.76,0.597,0.201,
9.0,val,,72.4,0.741,0.201,
10.0,train,0.001,76.16,0.625,0.201,
10.0,val,,71.2,0.735,0.201,
11.0,train,0.001,76.12,0.608,0.201,
11.0,val,,72.6,0.73,0.201,
12.0,train,0.001,76.92,0.601,0.201,
12.0,val,,72.8,0.755,0.201,
13.0,train,0.001,77.08,0.611,0.201,
13.0,val,,71.4,0.752,0.201,
14.0,train,0.001,76.72,0.603,0.201,
14.0,val,,72.6,0.743,0.201,
15.0,train,0.001,76.84,0.609,0.201,
15.0,val,,70.6,0.745,0.201,
16.0,train,0.001,76.32,0.609,0.201,
