Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:00:58,634 - root - INFO - Finetune stage..."
1.0,train,0.01,19.2,1.61,0.0,
1.0,val,,20.8,1.609,0.0,
2.0,train,0.01,19.24,1.61,0.0,
2.0,val,,21.2,1.608,0.0,
3.0,train,0.01,26.88,1.6,0.0,
3.0,val,,27.6,1.547,0.0,
4.0,train,0.01,32.68,1.501,0.0,
4.0,val,,38.8,1.417,0.0,
5.0,train,0.01,40.8,1.409,0.0,
5.0,val,,43.2,1.321,0.0,
6.0,train,0.01,47.68,1.255,0.0,
6.0,val,,50.2,1.182,0.0,
7.0,train,0.01,50.88,1.184,0.0,
7.0,val,,56.0,1.122,0.0,
8.0,train,0.01,52.2,1.169,0.0,
8.0,val,,57.2,1.064,0.0,
9.0,train,0.01,52.92,1.151,0.0,
9.0,val,,56.6,1.081,0.0,
10.0,train,0.01,54.0,1.13,0.0,
10.0,val,,57.8,1.057,0.0,
11.0,train,0.01,54.12,1.119,0.0,
11.0,val,,55.6,1.059,0.0,
12.0,train,0.01,56.0,1.085,0.0,
12.0,val,,56.8,1.031,0.0,
13.0,train,0.01,56.24,1.096,0.0,
13.0,val,,58.8,1.004,0.0,
14.0,train,0.01,57.08,1.07,0.0,
14.0,val,,60.0,0.989,0.0,
15.0,train,0.01,56.08,1.061,0.0,
15.0,val,,58.0,1.008,0.0,
16.0,train,0.01,57.0,1.064,0.0,
16.0,val,,53.2,1.073,0.0,
17.0,train,0.01,56.36,1.048,0.0,
17.0,val,,59.6,1.014,0.0,
18.0,train,0.01,57.56,1.052,0.0,
18.0,val,,59.6,1.035,0.0,
19.0,train,0.01,56.96,1.044,0.0,
19.0,val,,60.8,0.962,0.0,
20.0,train,0.01,57.44,1.028,0.0,
20.0,val,,61.8,0.959,0.0,
21.0,train,0.01,57.4,1.031,0.0,
21.0,val,,61.8,0.957,0.0,
22.0,train,0.01,58.2,1.027,0.0,
22.0,val,,61.8,0.948,0.0,
23.0,train,0.01,57.56,1.031,0.0,
23.0,val,,62.0,0.94,0.0,
24.0,train,0.01,58.44,1.008,0.0,
24.0,val,,63.0,0.955,0.0,
25.0,train,0.01,59.28,1.014,0.0,
25.0,val,,62.0,0.964,0.0,
26.0,train,0.01,59.36,0.997,0.0,
26.0,val,,63.8,0.955,0.0,
27.0,train,0.01,59.24,0.997,0.0,
27.0,val,,57.2,1.069,0.0,
28.0,train,0.01,59.68,1.01,0.0,
28.0,val,,63.8,0.927,0.0,
29.0,train,0.01,60.8,0.979,0.0,
29.0,val,,63.2,0.966,0.0,
30.0,train,0.01,60.16,0.972,0.0,
30.0,val,,62.8,0.938,0.0,
31.0,train,0.01,60.16,0.973,0.0,
31.0,val,,62.2,0.925,0.0,
32.0,train,0.01,60.0,0.963,0.0,
32.0,val,,62.8,0.955,0.0,
33.0,train,0.01,61.28,0.965,0.0,
33.0,val,,61.6,0.964,0.0,
34.0,train,0.01,59.68,0.991,0.0,
34.0,val,,62.6,0.937,0.0,
35.0,train,0.01,60.64,0.96,0.0,
35.0,val,,61.2,0.98,0.0,
36.0,train,0.01,61.04,0.956,0.0,
36.0,val,,61.6,0.951,0.0,
37.0,train,0.01,60.8,0.945,0.0,
37.0,val,,65.4,0.894,0.0,
38.0,train,0.01,61.88,0.956,0.0,
38.0,val,,63.8,0.931,0.0,
39.0,train,0.01,61.32,0.946,0.0,
39.0,val,,63.8,0.936,0.0,
40.0,train,0.01,62.4,0.921,0.0,
40.0,val,,63.0,0.93,0.0,
41.0,train,0.01,62.48,0.931,0.0,
41.0,val,,63.2,0.917,0.0,
42.0,train,0.01,63.72,0.922,0.0,
42.0,val,,65.0,0.905,0.0,
43.0,train,0.01,62.96,0.922,0.0,
43.0,val,,63.6,0.916,0.0,
44.0,train,0.01,62.72,0.914,0.0,
44.0,val,,62.0,0.918,0.0,
45.0,train,0.01,63.52,0.908,0.0,
45.0,val,,62.8,0.961,0.0,
46.0,train,0.01,64.16,0.904,0.0,
46.0,val,,64.8,0.885,0.0,
