Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2023-04-07 15:51:17,979 - root - INFO - Finetune stage..."
1.0,train,0.01,19.52,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,20.2,1.61,0.0,
2.0,val,,22.0,1.609,0.0,
3.0,train,0.01,20.56,1.609,0.0,
3.0,val,,19.8,1.608,0.0,
4.0,train,0.01,26.28,1.603,0.0,
4.0,val,,23.8,1.594,0.0,
5.0,train,0.01,28.44,1.555,0.0,
5.0,val,,31.4,1.515,0.0,
6.0,train,0.01,30.84,1.489,0.0,
6.0,val,,33.8,1.459,0.0,
7.0,train,0.01,34.84,1.449,0.0,
7.0,val,,37.2,1.411,0.0,
8.0,train,0.01,38.4,1.4,0.0,
8.0,val,,45.8,1.321,0.0,
9.0,train,0.01,43.16,1.329,0.0,
9.0,val,,47.2,1.245,0.0,
10.0,train,0.01,47.6,1.219,0.0,
10.0,val,,55.2,1.103,0.0,
11.0,train,0.01,52.96,1.138,0.0,
11.0,val,,52.0,1.151,0.0,
12.0,train,0.01,54.32,1.123,0.0,
12.0,val,,55.0,1.134,0.0,
13.0,train,0.01,54.64,1.094,0.0,
13.0,val,,61.8,0.983,0.0,
14.0,train,0.01,55.92,1.063,0.0,
14.0,val,,60.0,1.013,0.0,
15.0,train,0.01,58.56,1.034,0.0,
15.0,val,,61.6,0.982,0.0,
16.0,train,0.01,58.44,1.02,0.0,
16.0,val,,61.8,0.953,0.0,
17.0,train,0.01,59.8,0.992,0.0,
17.0,val,,66.0,0.938,0.0,
18.0,train,0.01,61.24,0.963,0.0,
18.0,val,,65.8,0.95,0.0,
19.0,train,0.01,61.2,0.95,0.0,
19.0,val,,63.2,0.967,0.0,
20.0,train,0.01,62.52,0.945,0.0,
20.0,val,,67.2,0.902,0.0,
21.0,train,0.01,64.08,0.932,0.0,
21.0,val,,66.2,0.932,0.0,
22.0,train,0.01,63.24,0.92,0.0,
22.0,val,,67.2,0.866,0.0,
23.0,train,0.01,64.48,0.887,0.0,
23.0,val,,64.0,0.936,0.0,
24.0,train,0.01,65.08,0.885,0.0,
24.0,val,,65.2,0.91,0.0,
25.0,train,0.01,65.4,0.879,0.0,
25.0,val,,66.4,0.833,0.0,
26.0,train,0.01,66.76,0.859,0.0,
26.0,val,,69.2,0.893,0.0,
27.0,train,0.01,66.48,0.856,0.0,
27.0,val,,67.6,0.863,0.0,
28.0,train,0.01,66.52,0.851,0.0,
28.0,val,,70.8,0.816,0.0,
29.0,train,0.01,68.16,0.835,0.0,
29.0,val,,67.8,0.869,0.0,
30.0,train,0.01,67.76,0.834,0.0,
30.0,val,,68.0,0.868,0.0,
31.0,train,0.01,68.4,0.806,0.0,
31.0,val,,69.8,0.845,0.0,
32.0,train,0.01,69.0,0.801,0.0,
32.0,val,,70.8,0.804,0.0,
33.0,train,0.01,69.08,0.797,0.0,
33.0,val,,69.4,0.854,0.0,
34.0,train,0.01,68.48,0.821,0.0,
34.0,val,,71.4,0.802,0.0,
35.0,train,0.01,68.52,0.812,0.0,
35.0,val,,70.2,0.832,0.0,
36.0,train,0.01,69.44,0.788,0.0,
36.0,val,,72.6,0.813,0.0,
37.0,train,0.01,71.48,0.744,0.0,
37.0,val,,71.8,0.819,0.0,
38.0,train,0.01,69.84,0.77,0.0,
38.0,val,,72.0,0.783,0.0,
39.0,train,0.01,71.24,0.756,0.0,
39.0,val,,68.8,0.84,0.0,
40.0,train,0.01,71.52,0.754,0.0,
40.0,val,,71.8,0.761,0.0,
41.0,train,0.01,71.68,0.763,0.0,
41.0,val,,70.8,0.832,0.0,
42.0,train,0.01,72.48,0.736,0.0,
42.0,val,,70.2,0.82,0.0,
43.0,train,0.01,70.92,0.772,0.0,
43.0,val,,73.4,0.777,0.0,
44.0,train,0.01,71.84,0.725,0.0,
44.0,val,,72.2,0.773,0.0,
45.0,train,0.01,73.4,0.707,0.0,
