Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:06:11,689 - root - INFO - Finetune stage..."
1.0,train,0.01,18.8,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,21.64,1.609,0.0,
2.0,val,,34.8,1.601,0.0,
3.0,train,0.01,33.12,1.53,0.0,
3.0,val,,38.2,1.346,0.0,
4.0,train,0.01,41.36,1.319,0.0,
4.0,val,,47.0,1.275,0.0,
5.0,train,0.01,44.88,1.29,0.0,
5.0,val,,46.2,1.252,0.0,
6.0,train,0.01,48.72,1.242,0.0,
6.0,val,,58.0,1.096,0.0,
7.0,train,0.01,52.96,1.162,0.0,
7.0,val,,59.4,1.044,0.0,
8.0,train,0.01,54.48,1.087,0.0,
8.0,val,,61.2,0.995,0.0,
9.0,train,0.01,56.96,1.028,0.0,
9.0,val,,60.6,0.944,0.0,
10.0,train,0.01,58.48,1.001,0.0,
10.0,val,,58.4,0.998,0.0,
11.0,train,0.01,59.72,0.997,0.0,
11.0,val,,63.8,0.97,0.0,
12.0,train,0.01,61.76,0.944,0.0,
12.0,val,,65.4,0.889,0.0,
13.0,train,0.01,63.2,0.939,0.0,
13.0,val,,64.2,0.908,0.0,
14.0,train,0.01,63.48,0.928,0.0,
14.0,val,,67.6,0.847,0.0,
15.0,train,0.01,66.12,0.87,0.0,
15.0,val,,69.4,0.844,0.0,
16.0,train,0.01,66.76,0.871,0.0,
16.0,val,,67.6,0.92,0.0,
17.0,train,0.01,66.84,0.873,0.0,
17.0,val,,67.4,0.86,0.0,
18.0,train,0.01,67.12,0.845,0.0,
18.0,val,,65.6,0.816,0.0,
19.0,train,0.01,68.32,0.835,0.0,
19.0,val,,67.2,0.838,0.0,
20.0,train,0.01,67.08,0.84,0.0,
20.0,val,,69.2,0.813,0.0,
21.0,train,0.01,68.48,0.819,0.0,
21.0,val,,68.0,0.854,0.0,
22.0,train,0.01,68.36,0.814,0.0,
22.0,val,,69.0,0.862,0.0,
23.0,train,0.01,68.72,0.822,0.0,
23.0,val,,70.2,0.747,0.0,
24.0,train,0.01,69.76,0.801,0.0,
24.0,val,,69.6,0.792,0.0,
25.0,train,0.01,68.52,0.81,0.0,
25.0,val,,71.2,0.727,0.0,
26.0,train,0.01,72.4,0.739,0.0,
26.0,val,,68.6,0.889,0.0,
27.0,train,0.01,69.28,0.796,0.0,
27.0,val,,70.6,0.77,0.0,
28.0,train,0.01,70.92,0.748,0.0,
28.0,val,,73.2,0.748,0.0,
29.0,train,0.01,71.08,0.761,0.0,
29.0,val,,70.8,0.838,0.0,
30.0,train,0.01,70.64,0.758,0.0,
30.0,val,,71.8,0.765,0.0,
31.0,train,0.01,69.84,0.767,0.0,
31.0,val,,71.6,0.779,0.0,
32.0,train,0.01,71.08,0.739,0.0,
32.0,val,,72.6,0.743,0.0,
33.0,train,0.01,71.6,0.741,0.0,
33.0,val,,71.8,0.725,0.0,
34.0,train,0.01,71.44,0.747,0.0,
34.0,val,,74.6,0.693,0.0,
35.0,train,0.01,72.2,0.709,0.0,
35.0,val,,71.8,0.796,0.0,
36.0,train,0.01,72.64,0.714,0.0,
36.0,val,,75.2,0.7,0.0,
37.0,train,0.01,72.92,0.699,0.0,
37.0,val,,73.6,0.712,0.0,
38.0,train,0.01,73.04,0.693,0.0,
38.0,val,,74.6,0.684,0.0,
39.0,train,0.01,72.52,0.712,0.0,
39.0,val,,70.6,0.701,0.0,
40.0,train,0.01,72.96,0.685,0.0,
40.0,val,,72.0,0.734,0.0,
41.0,train,0.01,73.96,0.703,0.0,
41.0,val,,75.0,0.668,0.0,
42.0,train,0.01,73.48,0.681,0.0,
42.0,val,,72.0,0.74,0.0,
43.0,train,0.01,73.6,0.683,0.0,
43.0,val,,74.8,0.674,0.0,
44.0,train,0.01,74.76,0.664,0.0,
44.0,val,,76.4,0.663,0.0,
45.0,train,0.01,74.88,0.639,0.0,
45.0,val,,76.8,0.643,0.0,
46.0,train,0.01,74.4,0.66,0.0,
46.0,val,,73.8,0.688,0.0,
47.0,train,0.01,75.88,0.629,0.0,
47.0,val,,73.8,0.697,0.0,
48.0,train,0.01,75.68,0.661,0.0,
48.0,val,,73.6,0.69,0.0,
49.0,train,0.01,76.24,0.635,0.0,
49.0,val,,72.2,0.71,0.0,
50.0,train,0.01,75.96,0.632,0.0,
50.0,val,,75.2,0.659,0.0,
51.0,train,0.001,78.52,0.57,0.0,
51.0,val,,77.2,0.619,0.0,
52.0,train,0.001,78.08,0.565,0.0,
52.0,val,,78.2,0.615,0.0,
53.0,train,0.001,78.92,0.555,0.0,
53.0,val,,78.0,0.617,0.0,
54.0,train,0.001,79.16,0.55,0.0,
54.0,val,,77.0,0.619,0.0,
55.0,train,0.001,79.0,0.555,0.0,
55.0,val,,76.8,0.634,0.0,
56.0,train,0.001,78.12,0.565,0.0,
56.0,val,,77.4,0.612,0.0,
57.0,train,0.001,80.2,0.534,0.0,
57.0,val,,77.8,0.611,0.0,
58.0,train,0.001,78.76,0.547,0.0,
58.0,val,,77.0,0.618,0.0,
59.0,train,0.001,78.84,0.546,0.0,
59.0,val,,77.2,0.606,0.0,
60.0,train,0.001,79.28,0.559,0.0,
60.0,val,,77.6,0.609,0.0,
61.0,train,0.001,78.72,0.549,0.0,
61.0,val,,78.2,0.607,0.0,
62.0,train,0.001,78.52,0.549,0.0,
62.0,val,,77.8,0.597,0.0,
63.0,train,0.001,79.52,0.539,0.0,
63.0,val,,78.0,0.606,0.0,
64.0,train,0.001,78.76,0.554,0.0,
64.0,val,,77.0,0.615,0.0,
65.0,train,0.001,79.84,0.541,0.0,
65.0,val,,78.0,0.612,0.0,
66.0,train,0.001,80.44,0.519,0.0,
66.0,val,,76.8,0.615,0.0,
67.0,train,0.001,80.04,0.531,0.0,
67.0,val,,78.2,0.621,0.0,
68.0,train,0.001,79.2,0.542,0.0,
68.0,val,,78.2,0.604,0.0,
69.0,train,0.001,79.84,0.535,0.0,
69.0,val,,77.6,0.591,0.0,
70.0,train,0.001,80.6,0.515,0.0,
70.0,val,,78.2,0.595,0.0,
71.0,train,0.001,79.96,0.52,0.0,
71.0,val,,77.8,0.628,0.0,
72.0,train,0.001,80.2,0.518,0.0,
72.0,val,,79.8,0.601,0.0,
73.0,train,0.001,79.56,0.533,0.0,
73.0,val,,76.8,0.614,0.0,
74.0,train,0.001,79.84,0.523,0.0,
74.0,val,,78.0,0.613,0.0,
75.0,train,0.001,78.96,0.537,0.0,
75.0,val,,78.8,0.613,0.0,
76.0,train,0.001,80.36,0.521,0.0,
76.0,val,,78.6,0.609,0.0,
77.0,train,0.001,80.92,0.515,0.0,
77.0,val,,77.8,0.614,0.0,
78.0,train,0.001,80.12,0.512,0.0,
78.0,val,,78.6,0.605,0.0,
79.0,train,0.001,80.28,0.511,0.0,
79.0,val,,78.4,0.606,0.0,
80.0,train,0.001,80.76,0.523,0.0,
80.0,val,,77.4,0.617,0.0,
81.0,train,0.0001,81.04,0.493,0.0,
81.0,val,,77.2,0.612,0.0,
82.0,train,0.0001,80.8,0.51,0.0,
82.0,val,,78.4,0.623,0.0,
83.0,train,0.0001,79.68,0.519,0.0,
83.0,val,,77.8,0.608,0.0,
84.0,train,0.0001,80.56,0.515,0.0,
84.0,val,,78.6,0.6,0.0,
85.0,train,0.0001,80.6,0.507,0.0,
85.0,val,,77.6,0.605,0.0,
86.0,train,0.0001,80.6,0.515,0.0,
86.0,val,,78.0,0.606,0.0,
87.0,train,0.0001,80.24,0.511,0.0,
87.0,val,,78.2,0.61,0.0,
