Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:08:49,754 - root - INFO - Finetune stage..."
1.0,train,0.01,18.56,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,19.32,1.611,0.0,
2.0,val,,20.0,1.609,0.0,
3.0,train,0.01,19.64,1.61,0.0,
3.0,val,,20.0,1.609,0.0,
4.0,train,0.01,21.6,1.609,0.0,
4.0,val,,28.0,1.606,0.0,
5.0,train,0.01,22.0,1.604,0.0,
5.0,val,,32.6,1.594,0.0,
6.0,train,0.01,26.24,1.583,0.0,
6.0,val,,31.4,1.556,0.0,
7.0,train,0.01,29.12,1.555,0.0,
7.0,val,,35.0,1.51,0.0,
8.0,train,0.01,34.08,1.514,0.0,
8.0,val,,42.0,1.445,0.0,
9.0,train,0.01,37.28,1.479,0.0,
9.0,val,,41.4,1.415,0.0,
10.0,train,0.01,41.16,1.418,0.0,
10.0,val,,39.0,1.438,0.0,
11.0,train,0.01,43.56,1.365,0.0,
11.0,val,,36.2,1.678,0.0,
12.0,train,0.01,39.68,1.431,0.0,
12.0,val,,43.4,1.35,0.0,
13.0,train,0.01,42.6,1.394,0.0,
13.0,val,,42.6,1.368,0.0,
14.0,train,0.01,43.88,1.372,0.0,
14.0,val,,44.2,1.31,0.0,
15.0,train,0.01,44.84,1.34,0.0,
15.0,val,,49.4,1.259,0.0,
16.0,train,0.01,47.16,1.309,0.0,
16.0,val,,51.8,1.234,0.0,
17.0,train,0.01,49.56,1.283,0.0,
17.0,val,,55.0,1.207,0.0,
18.0,train,0.01,49.28,1.266,0.0,
18.0,val,,54.6,1.227,0.0,
19.0,train,0.01,52.84,1.212,0.0,
19.0,val,,55.6,1.139,0.0,
20.0,train,0.01,53.24,1.183,0.0,
20.0,val,,57.8,1.109,0.0,
21.0,train,0.01,54.68,1.164,0.0,
21.0,val,,57.8,1.08,0.0,
22.0,train,0.01,56.68,1.116,0.0,
22.0,val,,54.6,1.127,0.0,
23.0,train,0.01,57.56,1.09,0.0,
23.0,val,,60.2,1.029,0.0,
24.0,train,0.01,58.64,1.073,0.0,
24.0,val,,58.0,1.09,0.0,
25.0,train,0.01,58.4,1.08,0.0,
25.0,val,,61.2,1.023,0.0,
26.0,train,0.01,61.04,1.03,0.0,
26.0,val,,55.4,1.254,0.0,
27.0,train,0.01,60.84,1.009,0.0,
27.0,val,,61.4,1.048,0.0,
28.0,train,0.01,62.12,1.005,0.0,
28.0,val,,61.6,0.984,0.0,
29.0,train,0.01,62.12,0.985,0.0,
29.0,val,,60.8,1.011,0.0,
30.0,train,0.01,62.76,0.965,0.0,
30.0,val,,63.6,0.98,0.0,
31.0,train,0.01,62.08,0.986,0.0,
31.0,val,,64.4,0.963,0.0,
32.0,train,0.01,63.56,0.958,0.0,
32.0,val,,59.0,1.065,0.0,
33.0,train,0.01,64.56,0.939,0.0,
33.0,val,,64.8,0.955,0.0,
34.0,train,0.01,64.52,0.92,0.0,
34.0,val,,63.8,1.021,0.0,
35.0,train,0.01,64.92,0.924,0.0,
35.0,val,,61.8,1.039,0.0,
36.0,train,0.01,65.04,0.947,0.0,
36.0,val,,61.6,0.999,0.0,
37.0,train,0.01,65.12,0.906,0.0,
37.0,val,,63.4,0.931,0.0,
38.0,train,0.01,66.4,0.871,0.0,
38.0,val,,65.6,0.981,0.0,
39.0,train,0.01,66.96,0.872,0.0,
39.0,val,,63.0,0.985,0.0,
40.0,train,0.01,67.76,0.865,0.0,
40.0,val,,63.8,0.945,0.0,
41.0,train,0.01,66.48,0.891,0.0,
41.0,val,,66.2,0.879,0.0,
42.0,train,0.01,69.16,0.838,0.0,
42.0,val,,66.2,0.929,0.0,
43.0,train,0.01,67.4,0.849,0.0,
43.0,val,,65.6,0.94,0.0,
44.0,train,0.01,68.24,0.836,0.0,
44.0,val,,64.6,1.058,0.0,
45.0,train,0.01,67.8,0.843,0.0,
45.0,val,,65.0,0.91,0.0,
46.0,train,0.01,68.4,0.834,0.0,
46.0,val,,65.4,0.943,0.0,
47.0,train,0.01,70.12,0.79,0.0,
47.0,val,,66.0,0.926,0.0,
48.0,train,0.01,70.84,0.792,0.0,
48.0,val,,70.6,0.88,0.0,
49.0,train,0.01,69.32,0.81,0.0,
49.0,val,,64.2,1.059,0.0,
50.0,train,0.01,69.08,0.817,0.0,
50.0,val,,64.2,1.015,0.0,
51.0,train,0.001,72.84,0.727,0.0,
51.0,val,,69.2,0.856,0.0,
52.0,train,0.001,74.84,0.705,0.0,
52.0,val,,69.6,0.853,0.0,
53.0,train,0.001,74.64,0.687,0.0,
53.0,val,,69.0,0.838,0.0,
54.0,train,0.001,74.0,0.688,0.0,
54.0,val,,70.4,0.824,0.0,
55.0,train,0.001,75.04,0.684,0.0,
55.0,val,,70.2,0.855,0.0,
56.0,train,0.001,75.44,0.673,0.0,
56.0,val,,71.0,0.829,0.0,
57.0,train,0.001,75.64,0.664,0.0,
57.0,val,,70.0,0.829,0.0,
58.0,train,0.001,75.24,0.671,0.0,
58.0,val,,68.8,0.853,0.0,
59.0,train,0.001,75.32,0.66,0.0,
59.0,val,,69.8,0.838,0.0,
60.0,train,0.001,75.8,0.676,0.0,
60.0,val,,70.4,0.829,0.0,
61.0,train,0.001,76.64,0.65,0.0,
61.0,val,,70.2,0.819,0.0,
62.0,train,0.001,75.64,0.65,0.0,
62.0,val,,70.4,0.815,0.0,
63.0,train,0.001,75.72,0.661,0.0,
63.0,val,,70.4,0.837,0.0,
64.0,train,0.001,76.24,0.657,0.0,
64.0,val,,70.0,0.837,0.0,
65.0,train,0.001,75.36,0.654,0.0,
65.0,val,,70.6,0.83,0.0,
66.0,train,0.001,76.6,0.645,0.0,
66.0,val,,69.6,0.838,0.0,
67.0,train,0.001,76.12,0.649,0.0,
67.0,val,,70.4,0.838,0.0,
68.0,train,0.001,76.0,0.656,0.0,
68.0,val,,68.8,0.853,0.0,
69.0,train,0.001,76.08,0.655,0.0,
69.0,val,,70.4,0.824,0.0,
70.0,train,0.001,76.48,0.638,0.0,
70.0,val,,71.0,0.827,0.0,
71.0,train,0.001,77.28,0.63,0.0,
71.0,val,,71.2,0.837,0.0,
72.0,train,0.001,78.0,0.612,0.0,
72.0,val,,71.0,0.828,0.0,
73.0,train,0.001,76.96,0.616,0.0,
73.0,val,,70.0,0.828,0.0,
74.0,train,0.001,78.16,0.606,0.0,
74.0,val,,71.8,0.842,0.0,
75.0,train,0.001,77.28,0.628,0.0,
75.0,val,,70.2,0.841,0.0,
76.0,train,0.001,77.36,0.616,0.0,
76.0,val,,69.8,0.849,0.0,
77.0,train,0.001,78.08,0.616,0.0,
77.0,val,,70.0,0.841,0.0,
78.0,train,0.001,76.76,0.604,0.0,
78.0,val,,69.0,0.859,0.0,
79.0,train,0.001,77.92,0.625,0.0,
79.0,val,,70.6,0.841,0.0,
80.0,train,0.001,77.64,0.62,0.0,
80.0,val,,71.4,0.835,0.0,
81.0,train,0.0001,77.28,0.615,0.0,
81.0,val,,70.4,0.823,0.0,
82.0,train,0.0001,78.0,0.6,0.0,
82.0,val,,69.8,0.838,0.0,
83.0,train,0.0001,77.72,0.603,0.0,
83.0,val,,71.2,0.829,0.0,
84.0,train,0.0001,77.84,0.599,0.0,
84.0,val,,69.8,0.833,0.0,
85.0,train,0.0001,78.64,0.587,0.0,
85.0,val,,71.4,0.825,0.0,
86.0,train,0.0001,77.36,0.593,0.0,
86.0,val,,70.8,0.821,0.0,
87.0,train,0.0001,78.28,0.604,0.0,
87.0,val,,69.8,0.832,0.0,
88.0,train,0.0001,78.52,0.59,0.0,
88.0,val,,70.0,0.826,0.0,
89.0,train,0.0001,77.92,0.591,0.0,
89.0,val,,69.8,0.832,0.0,
90.0,train,0.0001,78.52,0.607,0.0,
90.0,val,,70.6,0.831,0.0,
91.0,train,0.0001,76.68,0.613,0.0,
91.0,val,,69.8,0.824,0.0,
92.0,train,0.0001,78.08,0.599,0.0,
92.0,val,,70.8,0.843,0.0,
93.0,train,0.0001,78.2,0.605,0.0,
93.0,val,,71.2,0.836,0.0,
94.0,train,0.0001,78.72,0.593,0.0,
94.0,val,,71.2,0.833,0.0,
95.0,train,0.0001,79.32,0.594,0.0,
95.0,val,,71.0,0.826,0.0,
96.0,train,0.0001,77.68,0.614,0.0,
96.0,val,,70.8,0.816,0.0,
97.0,train,0.0001,77.96,0.606,0.0,
97.0,val,,70.6,0.84,0.0,
98.0,train,0.0001,77.2,0.619,0.0,
98.0,val,,70.4,0.825,0.0,
99.0,train,0.0001,77.68,0.586,0.0,
99.0,val,,69.8,0.827,0.0,
100.0,train,0.0001,78.88,0.581,0.0,
100.0,val,,71.0,0.837,0.0,
,info,,,,,"2024-11-14 01:09:32,774 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:09:32,774 - root - INFO - It's time to expand the Network"
,info,,,,,"2024-11-14 01:09:32,774 - root - INFO - Auto expand network"
,info,,,,,"2024-11-14 01:09:35,071 - root - INFO -"
,info,,,,,"2024-11-14 01:09:35,071 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:09:35,071 - root - INFO - Sparsity range: 0.0 -> 0.1"
0.0,val,,71.0,0.837,0.0,
,info,,,,,"2024-11-14 01:09:35,341 - root - INFO -"
1.0,train,0.001,78.4,0.584,0.053,
1.0,val,,70.8,0.843,0.053,
2.0,train,0.001,78.2,0.597,0.086,
2.0,val,,70.2,0.853,0.086,
3.0,train,0.001,78.2,0.598,0.098,
3.0,val,,69.6,0.839,0.098,
4.0,train,0.001,78.56,0.586,0.1,
4.0,val,,69.6,0.836,0.1,
5.0,train,0.001,78.16,0.626,0.1,
5.0,val,,70.0,0.85,0.1,
6.0,train,0.001,78.44,0.591,0.1,
6.0,val,,71.2,0.825,0.1,
7.0,train,0.001,78.16,0.597,0.1,
7.0,val,,70.8,0.877,0.1,
8.0,train,0.001,77.92,0.597,0.1,
8.0,val,,71.8,0.854,0.1,
9.0,train,0.001,77.32,0.61,0.1,
9.0,val,,70.2,0.847,0.1,
10.0,train,0.001,77.36,0.611,0.1,
10.0,val,,70.6,0.856,0.1,
11.0,train,0.001,77.8,0.602,0.1,
11.0,val,,69.8,0.834,0.1,
12.0,train,0.001,78.16,0.596,0.1,
12.0,val,,70.6,0.834,0.1,
13.0,train,0.001,78.0,0.612,0.1,
13.0,val,,71.8,0.847,0.1,
14.0,train,0.001,78.36,0.582,0.1,
14.0,val,,70.4,0.839,0.1,
15.0,train,0.001,78.28,0.595,0.1,
15.0,val,,71.0,0.846,0.1,
16.0,train,0.001,79.28,0.58,0.1,
16.0,val,,69.8,0.842,0.1,
17.0,train,0.001,78.84,0.595,0.1,
17.0,val,,71.0,0.854,0.1,
18.0,train,0.001,78.92,0.586,0.1,
18.0,val,,69.6,0.856,0.1,
19.0,train,0.001,78.56,0.577,0.1,
19.0,val,,70.0,0.848,0.1,
20.0,train,0.001,78.08,0.589,0.1,
20.0,val,,70.8,0.847,0.1,
,info,,,,,"2024-11-14 01:09:44,176 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:09:46,519 - root - INFO -"
,info,,,,,"2024-11-14 01:09:46,519 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:09:46,519 - root - INFO - Sparsity range: 0.1 -> 0.2"
0.0,val,,70.8,0.847,0.1,
,info,,,,,"2024-11-14 01:09:46,785 - root - INFO -"
1.0,train,0.001,80.76,0.541,0.153,
1.0,val,,70.8,0.864,0.153,
2.0,train,0.001,79.8,0.551,0.186,
2.0,val,,70.8,0.871,0.186,
3.0,train,0.001,80.16,0.552,0.198,
3.0,val,,70.6,0.865,0.198,
4.0,train,0.001,79.84,0.542,0.201,
4.0,val,,69.6,0.853,0.201,
5.0,train,0.001,79.24,0.58,0.201,
5.0,val,,70.0,0.868,0.201,
6.0,train,0.001,80.32,0.548,0.201,
6.0,val,,70.4,0.845,0.201,
7.0,train,0.001,80.28,0.548,0.201,
7.0,val,,69.4,0.9,0.201,
8.0,train,0.001,79.16,0.551,0.201,
8.0,val,,71.0,0.877,0.201,
9.0,train,0.001,79.2,0.561,0.201,
9.0,val,,71.0,0.866,0.201,
10.0,train,0.001,79.96,0.565,0.201,
10.0,val,,70.4,0.882,0.201,
11.0,train,0.001,79.6,0.557,0.201,
11.0,val,,69.6,0.852,0.201,
12.0,train,0.001,79.64,0.551,0.201,
12.0,val,,70.6,0.854,0.201,
13.0,train,0.001,80.0,0.562,0.201,
13.0,val,,71.0,0.871,0.201,
14.0,train,0.001,79.92,0.535,0.201,
14.0,val,,70.0,0.858,0.201,
15.0,train,0.001,80.04,0.55,0.201,
15.0,val,,70.6,0.865,0.201,
16.0,train,0.001,80.52,0.536,0.201,
16.0,val,,71.2,0.861,0.201,
17.0,train,0.001,80.16,0.553,0.201,
17.0,val,,71.0,0.876,0.201,
18.0,train,0.001,80.16,0.541,0.201,
18.0,val,,69.2,0.88,0.201,
19.0,train,0.001,80.6,0.528,0.201,
19.0,val,,70.0,0.873,0.201,
20.0,train,0.001,79.6,0.548,0.201,
20.0,val,,71.0,0.87,0.201,
,info,,,,,"2024-11-14 01:09:55,803 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:09:58,161 - root - INFO -"
,info,,,,,"2024-11-14 01:09:58,161 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:09:58,161 - root - INFO - Sparsity range: 0.2 -> 0.3"
0.0,val,,71.0,0.87,0.201,
,info,,,,,"2024-11-14 01:09:58,439 - root - INFO -"
1.0,train,0.001,81.92,0.501,0.253,
1.0,val,,71.6,0.88,0.253,
2.0,train,0.001,81.52,0.516,0.286,
2.0,val,,70.6,0.905,0.286,
3.0,train,0.001,81.2,0.518,0.298,
3.0,val,,69.0,0.897,0.298,
4.0,train,0.001,81.2,0.504,0.301,
4.0,val,,68.6,0.874,0.301,
5.0,train,0.001,80.88,0.542,0.301,
5.0,val,,70.6,0.887,0.301,
6.0,train,0.001,81.72,0.512,0.301,
6.0,val,,70.4,0.866,0.301,
7.0,train,0.001,81.48,0.507,0.301,
7.0,val,,70.0,0.925,0.301,
8.0,train,0.001,80.44,0.512,0.301,
8.0,val,,70.2,0.902,0.301,
9.0,train,0.001,81.0,0.522,0.301,
9.0,val,,70.4,0.891,0.301,
10.0,train,0.001,80.88,0.528,0.301,
10.0,val,,70.0,0.907,0.301,
11.0,train,0.001,81.44,0.517,0.301,
11.0,val,,69.8,0.871,0.301,
12.0,train,0.001,81.36,0.512,0.301,
12.0,val,,70.2,0.886,0.301,
13.0,train,0.001,81.76,0.517,0.301,
13.0,val,,70.8,0.9,0.301,
14.0,train,0.001,81.68,0.498,0.301,
14.0,val,,69.6,0.887,0.301,
15.0,train,0.001,81.88,0.51,0.301,
15.0,val,,70.6,0.888,0.301,
16.0,train,0.001,82.08,0.497,0.301,
16.0,val,,70.8,0.884,0.301,
17.0,train,0.001,81.56,0.514,0.301,
17.0,val,,69.4,0.901,0.301,
18.0,train,0.001,81.96,0.501,0.301,
18.0,val,,69.2,0.913,0.301,
19.0,train,0.001,82.2,0.486,0.301,
19.0,val,,69.4,0.908,0.301,
20.0,train,0.001,81.36,0.511,0.301,
20.0,val,,70.6,0.901,0.301,
,info,,,,,"2024-11-14 01:10:07,385 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:10:09,722 - root - INFO -"
,info,,,,,"2024-11-14 01:10:09,722 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:10:09,723 - root - INFO - Sparsity range: 0.3 -> 0.4"
0.0,val,,70.6,0.901,0.301,
,info,,,,,"2024-11-14 01:10:10,001 - root - INFO -"
1.0,train,0.001,83.72,0.466,0.353,
1.0,val,,70.4,0.92,0.353,
2.0,train,0.001,82.2,0.486,0.386,
2.0,val,,68.6,0.989,0.386,
3.0,train,0.001,82.32,0.491,0.398,
3.0,val,,70.0,0.893,0.398,
4.0,train,0.001,82.32,0.475,0.401,
4.0,val,,69.8,0.893,0.401,
5.0,train,0.001,81.2,0.51,0.401,
5.0,val,,69.8,0.907,0.401,
6.0,train,0.001,83.0,0.481,0.401,
6.0,val,,70.0,0.884,0.401,
7.0,train,0.001,83.04,0.47,0.401,
7.0,val,,69.8,0.937,0.401,
8.0,train,0.001,81.72,0.481,0.401,
8.0,val,,70.8,0.92,0.401,
9.0,train,0.001,82.32,0.486,0.401,
9.0,val,,70.6,0.906,0.401,
10.0,train,0.001,82.36,0.496,0.401,
10.0,val,,70.6,0.928,0.401,
11.0,train,0.001,82.6,0.482,0.401,
11.0,val,,70.0,0.892,0.401,
12.0,train,0.001,82.56,0.481,0.401,
12.0,val,,69.8,0.908,0.401,
13.0,train,0.001,83.44,0.478,0.401,
13.0,val,,70.6,0.921,0.401,
14.0,train,0.001,83.56,0.466,0.401,
14.0,val,,69.8,0.909,0.401,
15.0,train,0.001,83.28,0.476,0.401,
15.0,val,,70.4,0.909,0.401,
16.0,train,0.001,83.76,0.465,0.401,
16.0,val,,70.8,0.905,0.401,
17.0,train,0.001,83.0,0.482,0.401,
17.0,val,,69.8,0.917,0.401,
18.0,train,0.001,83.0,0.465,0.401,
18.0,val,,69.2,0.936,0.401,
19.0,train,0.001,83.0,0.45,0.401,
19.0,val,,69.2,0.928,0.401,
20.0,train,0.001,82.8,0.477,0.401,
20.0,val,,69.6,0.92,0.401,
,info,,,,,"2024-11-14 01:10:18,902 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:10:21,257 - root - INFO -"
,info,,,,,"2024-11-14 01:10:21,258 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:10:21,258 - root - INFO - Sparsity range: 0.4 -> 0.5"
0.0,val,,69.6,0.92,0.401,
,info,,,,,"2024-11-14 01:10:21,533 - root - INFO -"
1.0,train,0.001,84.88,0.435,0.453,
1.0,val,,63.6,1.166,0.453,
2.0,train,0.001,82.56,0.48,0.486,
2.0,val,,69.6,0.973,0.486,
3.0,train,0.001,82.56,0.475,0.498,
3.0,val,,71.6,0.896,0.498,
4.0,train,0.001,83.2,0.452,0.501,
4.0,val,,69.6,0.918,0.501,
5.0,train,0.001,82.48,0.483,0.501,
5.0,val,,69.2,0.928,0.501,
6.0,train,0.001,83.8,0.455,0.501,
6.0,val,,70.8,0.913,0.501,
7.0,train,0.001,84.44,0.44,0.501,
7.0,val,,69.8,0.958,0.501,
8.0,train,0.001,82.96,0.453,0.501,
8.0,val,,70.6,0.949,0.501,
9.0,train,0.001,83.08,0.456,0.501,
9.0,val,,70.8,0.932,0.501,
10.0,train,0.001,83.48,0.464,0.501,
10.0,val,,69.4,0.952,0.501,
11.0,train,0.001,83.48,0.451,0.501,
11.0,val,,69.6,0.915,0.501,
12.0,train,0.001,84.4,0.453,0.501,
12.0,val,,69.4,0.924,0.501,
13.0,train,0.001,84.68,0.45,0.501,
13.0,val,,70.8,0.935,0.501,
14.0,train,0.001,84.56,0.443,0.501,
14.0,val,,69.6,0.927,0.501,
15.0,train,0.001,84.08,0.449,0.501,
15.0,val,,70.4,0.925,0.501,
16.0,train,0.001,84.68,0.441,0.501,
16.0,val,,70.6,0.919,0.501,
17.0,train,0.001,83.56,0.459,0.501,
17.0,val,,69.6,0.93,0.501,
18.0,train,0.001,84.56,0.435,0.501,
18.0,val,,70.4,0.948,0.501,
19.0,train,0.001,84.36,0.417,0.501,
19.0,val,,69.0,0.943,0.501,
20.0,train,0.001,83.88,0.444,0.501,
20.0,val,,70.6,0.946,0.501,
,info,,,,,"2024-11-14 01:10:30,463 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:10:32,742 - root - INFO -"
,info,,,,,"2024-11-14 01:10:32,742 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:10:32,743 - root - INFO - Sparsity range: 0.5 -> 0.6"
0.0,val,,70.6,0.946,0.501,
,info,,,,,"2024-11-14 01:10:33,019 - root - INFO -"
1.0,train,0.001,85.4,0.411,0.553,
1.0,val,,66.2,0.999,0.553,
2.0,train,0.001,83.44,0.463,0.585,
2.0,val,,65.6,1.103,0.585,
3.0,train,0.001,83.8,0.471,0.598,
3.0,val,,70.4,0.938,0.598,
4.0,train,0.001,83.36,0.454,0.601,
4.0,val,,70.2,0.893,0.601,
5.0,train,0.001,82.68,0.479,0.601,
5.0,val,,69.6,0.933,0.601,
6.0,train,0.001,83.32,0.452,0.601,
6.0,val,,70.8,0.902,0.601,
7.0,train,0.001,85.4,0.428,0.601,
7.0,val,,71.2,0.955,0.601,
8.0,train,0.001,83.6,0.446,0.601,
8.0,val,,70.6,0.934,0.601,
9.0,train,0.001,84.24,0.437,0.601,
9.0,val,,71.8,0.943,0.601,
10.0,train,0.001,83.28,0.452,0.601,
10.0,val,,70.2,0.955,0.601,
11.0,train,0.001,84.24,0.431,0.601,
11.0,val,,70.4,0.924,0.601,
12.0,train,0.001,84.96,0.44,0.601,
12.0,val,,70.8,0.932,0.601,
13.0,train,0.001,85.08,0.432,0.601,
13.0,val,,71.6,0.937,0.601,
14.0,train,0.001,85.28,0.422,0.601,
14.0,val,,69.8,0.933,0.601,
15.0,train,0.001,84.8,0.43,0.601,
15.0,val,,70.2,0.933,0.601,
16.0,train,0.001,85.12,0.423,0.601,
16.0,val,,70.6,0.931,0.601,
17.0,train,0.001,84.56,0.44,0.601,
17.0,val,,69.8,0.943,0.601,
18.0,train,0.001,85.08,0.414,0.601,
18.0,val,,70.0,0.969,0.601,
19.0,train,0.001,85.24,0.404,0.601,
19.0,val,,70.0,0.96,0.601,
20.0,train,0.001,84.84,0.43,0.601,
20.0,val,,70.6,0.959,0.601,
,info,,,,,"2024-11-14 01:10:41,797 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:10:44,152 - root - INFO -"
,info,,,,,"2024-11-14 01:10:44,152 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:10:44,152 - root - INFO - Sparsity range: 0.6 -> 0.7"
0.0,val,,70.6,0.959,0.601,
,info,,,,,"2024-11-14 01:10:44,424 - root - INFO -"
1.0,train,0.001,86.2,0.395,0.653,
1.0,val,,55.4,1.661,0.653,
2.0,train,0.001,80.24,0.517,0.686,
2.0,val,,65.0,1.163,0.686,
3.0,train,0.001,81.04,0.52,0.698,
3.0,val,,62.4,1.203,0.698,
4.0,train,0.001,80.52,0.513,0.701,
4.0,val,,67.8,0.968,0.701,
5.0,train,0.001,81.28,0.52,0.701,
5.0,val,,66.6,0.991,0.701,
6.0,train,0.001,82.24,0.484,0.701,
6.0,val,,68.0,0.95,0.701,
7.0,train,0.001,83.76,0.456,0.701,
7.0,val,,66.6,1.006,0.701,
8.0,train,0.001,82.28,0.47,0.701,
8.0,val,,68.6,0.986,0.701,
9.0,train,0.001,84.2,0.452,0.701,
9.0,val,,68.0,0.995,0.701,
10.0,train,0.001,82.88,0.467,0.701,
10.0,val,,68.6,0.99,0.701,
11.0,train,0.001,84.12,0.449,0.701,
11.0,val,,68.4,0.962,0.701,
12.0,train,0.001,83.48,0.447,0.701,
12.0,val,,68.8,0.96,0.701,
13.0,train,0.001,84.88,0.431,0.701,
13.0,val,,69.6,0.984,0.701,
14.0,train,0.001,84.8,0.433,0.701,
