Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:11:29,913 - root - INFO - Finetune stage..."
1.0,train,0.01,18.36,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,21.12,1.609,0.0,
2.0,val,,32.0,1.601,0.0,
3.0,train,0.01,30.8,1.548,0.0,
3.0,val,,35.8,1.491,0.0,
4.0,train,0.01,35.44,1.48,0.0,
4.0,val,,40.0,1.462,0.0,
5.0,train,0.01,38.36,1.449,0.0,
5.0,val,,38.8,1.39,0.0,
6.0,train,0.01,39.52,1.393,0.0,
6.0,val,,38.4,1.349,0.0,
7.0,train,0.01,42.52,1.304,0.0,
7.0,val,,44.8,1.174,0.0,
8.0,train,0.01,45.28,1.232,0.0,
8.0,val,,49.4,1.23,0.0,
9.0,train,0.01,47.08,1.177,0.0,
9.0,val,,47.4,1.231,0.0,
10.0,train,0.01,48.56,1.154,0.0,
10.0,val,,51.8,1.184,0.0,
11.0,train,0.01,50.48,1.132,0.0,
11.0,val,,50.4,1.094,0.0,
12.0,train,0.01,51.48,1.099,0.0,
12.0,val,,57.0,1.065,0.0,
13.0,train,0.01,53.68,1.069,0.0,
13.0,val,,54.6,1.085,0.0,
14.0,train,0.01,56.76,1.038,0.0,
14.0,val,,56.6,1.051,0.0,
15.0,train,0.01,56.64,1.039,0.0,
15.0,val,,61.6,1.003,0.0,
16.0,train,0.01,58.24,1.0,0.0,
16.0,val,,59.4,1.028,0.0,
17.0,train,0.01,58.2,1.011,0.0,
17.0,val,,56.2,1.186,0.0,
18.0,train,0.01,57.92,1.02,0.0,
18.0,val,,58.2,1.062,0.0,
19.0,train,0.01,59.08,0.99,0.0,
19.0,val,,59.4,0.975,0.0,
20.0,train,0.01,60.84,0.962,0.0,
20.0,val,,60.2,1.007,0.0,
21.0,train,0.01,61.44,0.975,0.0,
21.0,val,,61.8,0.956,0.0,
22.0,train,0.01,60.0,0.965,0.0,
22.0,val,,61.6,0.991,0.0,
