Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:14:10,325 - root - INFO - Finetune stage..."
1.0,train,0.01,19.52,1.61,0.0,
1.0,val,,20.0,1.608,0.0,
2.0,train,0.01,26.6,1.578,0.0,
2.0,val,,32.8,1.473,0.0,
3.0,train,0.01,32.0,1.464,0.0,
3.0,val,,33.6,1.419,0.0,
4.0,train,0.01,33.08,1.434,0.0,
4.0,val,,33.8,1.401,0.0,
5.0,train,0.01,35.04,1.412,0.0,
5.0,val,,38.0,1.342,0.0,
6.0,train,0.01,38.36,1.378,0.0,
6.0,val,,40.2,1.343,0.0,
7.0,train,0.01,40.24,1.365,0.0,
7.0,val,,46.0,1.334,0.0,
8.0,train,0.01,42.56,1.347,0.0,
8.0,val,,48.4,1.244,0.0,
9.0,train,0.01,45.76,1.3,0.0,
9.0,val,,54.0,1.195,0.0,
10.0,train,0.01,47.04,1.269,0.0,
10.0,val,,54.4,1.18,0.0,
11.0,train,0.01,49.76,1.23,0.0,
11.0,val,,55.6,1.13,0.0,
12.0,train,0.01,50.96,1.21,0.0,
12.0,val,,55.6,1.172,0.0,
13.0,train,0.01,51.6,1.208,0.0,
13.0,val,,60.0,1.049,0.0,
14.0,train,0.01,52.24,1.187,0.0,
14.0,val,,60.0,1.077,0.0,
15.0,train,0.01,54.44,1.147,0.0,
15.0,val,,60.6,1.067,0.0,
16.0,train,0.01,53.64,1.122,0.0,
16.0,val,,58.6,1.036,0.0,
17.0,train,0.01,55.84,1.115,0.0,
17.0,val,,60.0,1.009,0.0,
18.0,train,0.01,56.0,1.095,0.0,
18.0,val,,53.6,1.195,0.0,
19.0,train,0.01,54.52,1.122,0.0,
19.0,val,,58.2,1.087,0.0,
20.0,train,0.01,56.6,1.09,0.0,
20.0,val,,61.6,1.001,0.0,
21.0,train,0.01,58.08,1.069,0.0,
21.0,val,,58.4,1.051,0.0,
22.0,train,0.01,58.76,1.045,0.0,
22.0,val,,60.0,1.048,0.0,
23.0,train,0.01,58.4,1.037,0.0,
23.0,val,,65.6,0.926,0.0,
24.0,train,0.01,60.04,1.03,0.0,
24.0,val,,64.8,0.962,0.0,
25.0,train,0.01,59.24,1.03,0.0,
25.0,val,,59.0,1.022,0.0,
26.0,train,0.01,61.52,0.996,0.0,
26.0,val,,64.0,0.921,0.0,
27.0,train,0.01,59.92,1.0,0.0,
27.0,val,,59.8,1.041,0.0,
28.0,train,0.01,62.04,0.984,0.0,
28.0,val,,65.8,0.983,0.0,
29.0,train,0.01,62.44,0.986,0.0,
29.0,val,,68.6,0.862,0.0,
30.0,train,0.01,62.92,0.95,0.0,
30.0,val,,66.4,0.916,0.0,
31.0,train,0.01,64.16,0.935,0.0,
31.0,val,,65.6,0.864,0.0,
32.0,train,0.01,62.16,0.947,0.0,
32.0,val,,66.4,0.895,0.0,
33.0,train,0.01,63.56,0.938,0.0,
33.0,val,,64.4,0.962,0.0,
34.0,train,0.01,62.88,0.946,0.0,
34.0,val,,66.0,0.89,0.0,
35.0,train,0.01,64.84,0.909,0.0,
35.0,val,,64.4,0.947,0.0,
36.0,train,0.01,63.76,0.924,0.0,
36.0,val,,69.0,0.837,0.0,
37.0,train,0.01,65.28,0.89,0.0,
37.0,val,,67.0,0.902,0.0,
38.0,train,0.01,65.76,0.885,0.0,
38.0,val,,66.6,0.922,0.0,
39.0,train,0.01,66.12,0.885,0.0,
39.0,val,,69.2,0.891,0.0,
40.0,train,0.01,66.52,0.877,0.0,
40.0,val,,67.8,0.813,0.0,
41.0,train,0.01,66.64,0.866,0.0,
41.0,val,,71.0,0.797,0.0,
42.0,train,0.01,65.96,0.865,0.0,
42.0,val,,68.4,0.823,0.0,
43.0,train,0.01,66.96,0.86,0.0,
43.0,val,,70.2,0.823,0.0,
44.0,train,0.01,68.84,0.823,0.0,
44.0,val,,71.2,0.854,0.0,
45.0,train,0.01,67.0,0.845,0.0,
45.0,val,,55.4,1.265,0.0,
46.0,train,0.01,66.96,0.857,0.0,
46.0,val,,70.8,0.781,0.0,
47.0,train,0.01,68.76,0.828,0.0,
47.0,val,,71.4,0.769,0.0,
48.0,train,0.01,68.56,0.821,0.0,
48.0,val,,71.2,0.779,0.0,
49.0,train,0.01,68.96,0.813,0.0,
49.0,val,,71.4,0.804,0.0,
50.0,train,0.01,68.0,0.836,0.0,
50.0,val,,70.8,0.808,0.0,
51.0,train,0.001,71.32,0.76,0.0,
51.0,val,,72.4,0.719,0.0,
52.0,train,0.001,72.64,0.727,0.0,
52.0,val,,73.4,0.715,0.0,
53.0,train,0.001,72.28,0.719,0.0,
53.0,val,,73.6,0.702,0.0,
54.0,train,0.001,73.48,0.705,0.0,
54.0,val,,72.8,0.722,0.0,
55.0,train,0.001,73.64,0.702,0.0,
55.0,val,,74.0,0.709,0.0,
56.0,train,0.001,74.76,0.681,0.0,
56.0,val,,73.4,0.718,0.0,
57.0,train,0.001,73.84,0.698,0.0,
57.0,val,,72.8,0.711,0.0,
58.0,train,0.001,73.08,0.695,0.0,
58.0,val,,73.0,0.709,0.0,
59.0,train,0.001,73.84,0.685,0.0,
59.0,val,,73.2,0.709,0.0,
60.0,train,0.001,73.92,0.708,0.0,
60.0,val,,72.6,0.712,0.0,
61.0,train,0.001,74.44,0.701,0.0,
61.0,val,,73.4,0.713,0.0,
62.0,train,0.001,73.44,0.702,0.0,
62.0,val,,73.6,0.706,0.0,
63.0,train,0.001,72.92,0.709,0.0,
63.0,val,,73.2,0.708,0.0,
64.0,train,0.001,74.4,0.685,0.0,
64.0,val,,72.6,0.704,0.0,
65.0,train,0.001,73.4,0.696,0.0,
65.0,val,,73.8,0.701,0.0,
66.0,train,0.001,74.64,0.666,0.0,
66.0,val,,75.0,0.701,0.0,
67.0,train,0.001,73.28,0.687,0.0,
67.0,val,,72.8,0.705,0.0,
68.0,train,0.001,75.32,0.664,0.0,
68.0,val,,73.2,0.714,0.0,
69.0,train,0.001,75.0,0.663,0.0,
69.0,val,,73.6,0.712,0.0,
70.0,train,0.001,73.72,0.681,0.0,
70.0,val,,73.8,0.716,0.0,
71.0,train,0.001,74.56,0.686,0.0,
71.0,val,,73.8,0.705,0.0,
72.0,train,0.001,74.64,0.669,0.0,
72.0,val,,73.6,0.705,0.0,
73.0,train,0.001,74.84,0.683,0.0,
73.0,val,,73.8,0.712,0.0,
74.0,train,0.001,75.08,0.669,0.0,
74.0,val,,74.2,0.716,0.0,
75.0,train,0.001,74.84,0.673,0.0,
75.0,val,,74.2,0.708,0.0,
76.0,train,0.001,75.72,0.644,0.0,
76.0,val,,74.2,0.702,0.0,
77.0,train,0.001,74.76,0.681,0.0,
77.0,val,,73.2,0.717,0.0,
78.0,train,0.001,75.72,0.656,0.0,
78.0,val,,74.4,0.706,0.0,
79.0,train,0.001,74.68,0.654,0.0,
79.0,val,,73.2,0.709,0.0,
80.0,train,0.001,76.2,0.65,0.0,
80.0,val,,73.8,0.699,0.0,
81.0,train,0.0001,75.04,0.669,0.0,
81.0,val,,74.6,0.694,0.0,
82.0,train,0.0001,74.96,0.636,0.0,
82.0,val,,74.6,0.691,0.0,
83.0,train,0.0001,75.84,0.641,0.0,
83.0,val,,74.0,0.701,0.0,
84.0,train,0.0001,75.76,0.628,0.0,
84.0,val,,74.0,0.7,0.0,
85.0,train,0.0001,76.84,0.632,0.0,
85.0,val,,72.8,0.705,0.0,
86.0,train,0.0001,75.8,0.635,0.0,
86.0,val,,73.4,0.708,0.0,
87.0,train,0.0001,75.36,0.658,0.0,
87.0,val,,73.6,0.698,0.0,
88.0,train,0.0001,76.44,0.634,0.0,
88.0,val,,74.0,0.703,0.0,
89.0,train,0.0001,76.12,0.637,0.0,
89.0,val,,74.6,0.698,0.0,
90.0,train,0.0001,76.16,0.62,0.0,
90.0,val,,73.4,0.711,0.0,
91.0,train,0.0001,74.92,0.645,0.0,
91.0,val,,73.8,0.699,0.0,
92.0,train,0.0001,76.08,0.64,0.0,
92.0,val,,73.8,0.708,0.0,
93.0,train,0.0001,75.84,0.641,0.0,
93.0,val,,73.4,0.701,0.0,
94.0,train,0.0001,75.84,0.638,0.0,
94.0,val,,73.6,0.705,0.0,
95.0,train,0.0001,75.92,0.645,0.0,
95.0,val,,73.6,0.704,0.0,
96.0,train,0.0001,75.44,0.639,0.0,
96.0,val,,73.6,0.702,0.0,
97.0,train,0.0001,75.4,0.641,0.0,
97.0,val,,72.8,0.703,0.0,
98.0,train,0.0001,75.96,0.642,0.0,
98.0,val,,73.4,0.702,0.0,
99.0,train,0.0001,76.0,0.642,0.0,
99.0,val,,74.2,0.697,0.0,
100.0,train,0.0001,76.6,0.637,0.0,
100.0,val,,72.4,0.705,0.0,
,info,,,,,"2024-11-14 01:14:53,727 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:14:53,727 - root - INFO - It's time to expand the Network"
,info,,,,,"2024-11-14 01:14:53,727 - root - INFO - Auto expand network"
,info,,,,,"2024-11-14 01:14:56,047 - root - INFO -"
,info,,,,,"2024-11-14 01:14:56,047 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:14:56,047 - root - INFO - Sparsity range: 0.0 -> 0.1"
0.0,val,,72.4,0.705,0.0,
,info,,,,,"2024-11-14 01:14:56,318 - root - INFO -"
1.0,train,0.001,76.12,0.629,0.053,
1.0,val,,74.0,0.7,0.053,
2.0,train,0.001,75.32,0.666,0.086,
2.0,val,,73.8,0.701,0.086,
3.0,train,0.001,75.64,0.653,0.098,
3.0,val,,73.0,0.713,0.098,
4.0,train,0.001,75.6,0.648,0.1,
4.0,val,,72.4,0.702,0.1,
5.0,train,0.001,75.88,0.641,0.1,
5.0,val,,74.8,0.703,0.1,
6.0,train,0.001,75.44,0.639,0.1,
6.0,val,,73.4,0.716,0.1,
7.0,train,0.001,75.36,0.653,0.1,
7.0,val,,74.0,0.704,0.1,
8.0,train,0.001,75.96,0.642,0.1,
8.0,val,,73.0,0.709,0.1,
9.0,train,0.001,76.08,0.643,0.1,
9.0,val,,73.0,0.727,0.1,
10.0,train,0.001,75.36,0.654,0.1,
10.0,val,,74.0,0.71,0.1,
11.0,train,0.001,75.72,0.647,0.1,
11.0,val,,73.4,0.714,0.1,
12.0,train,0.001,75.84,0.638,0.1,
12.0,val,,73.4,0.706,0.1,
13.0,train,0.001,76.12,0.636,0.1,
13.0,val,,73.4,0.714,0.1,
14.0,train,0.001,76.64,0.626,0.1,
14.0,val,,73.0,0.707,0.1,
15.0,train,0.001,76.84,0.636,0.1,
15.0,val,,74.4,0.703,0.1,
16.0,train,0.001,76.52,0.628,0.1,
16.0,val,,73.0,0.714,0.1,
17.0,train,0.001,76.16,0.616,0.1,
17.0,val,,72.6,0.712,0.1,
18.0,train,0.001,75.92,0.63,0.1,
18.0,val,,73.6,0.71,0.1,
19.0,train,0.001,76.68,0.617,0.1,
19.0,val,,73.8,0.712,0.1,
20.0,train,0.001,76.84,0.615,0.1,
20.0,val,,74.2,0.713,0.1,
,info,,,,,"2024-11-14 01:15:05,143 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:15:07,495 - root - INFO -"
,info,,,,,"2024-11-14 01:15:07,495 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:15:07,495 - root - INFO - Sparsity range: 0.1 -> 0.2"
0.0,val,,74.2,0.713,0.1,
,info,,,,,"2024-11-14 01:15:07,766 - root - INFO -"
1.0,train,0.001,78.76,0.587,0.153,
1.0,val,,72.6,0.707,0.153,
2.0,train,0.001,77.4,0.622,0.186,
2.0,val,,73.4,0.709,0.186,
3.0,train,0.001,76.8,0.61,0.198,
3.0,val,,72.8,0.707,0.198,
4.0,train,0.001,77.36,0.604,0.2,
4.0,val,,72.8,0.705,0.2,
5.0,train,0.001,78.04,0.598,0.2,
5.0,val,,74.6,0.711,0.2,
6.0,train,0.001,77.44,0.595,0.2,
6.0,val,,73.0,0.726,0.2,
7.0,train,0.001,77.24,0.612,0.2,
7.0,val,,73.4,0.705,0.2,
8.0,train,0.001,77.48,0.602,0.2,
8.0,val,,72.6,0.716,0.2,
9.0,train,0.001,77.32,0.599,0.2,
9.0,val,,72.4,0.738,0.2,
10.0,train,0.001,77.24,0.61,0.2,
10.0,val,,73.8,0.716,0.2,
11.0,train,0.001,77.24,0.604,0.2,
11.0,val,,74.0,0.719,0.2,
12.0,train,0.001,77.64,0.597,0.2,
12.0,val,,73.4,0.712,0.2,
13.0,train,0.001,78.0,0.596,0.2,
13.0,val,,73.0,0.724,0.2,
14.0,train,0.001,78.12,0.586,0.2,
14.0,val,,73.8,0.714,0.2,
15.0,train,0.001,78.12,0.593,0.2,
15.0,val,,73.4,0.711,0.2,
16.0,train,0.001,77.8,0.586,0.2,
16.0,val,,72.6,0.72,0.2,
17.0,train,0.001,78.52,0.574,0.2,
17.0,val,,73.2,0.725,0.2,
18.0,train,0.001,77.36,0.591,0.2,
18.0,val,,73.4,0.716,0.2,
19.0,train,0.001,78.48,0.575,0.2,
19.0,val,,74.2,0.721,0.2,
20.0,train,0.001,79.04,0.575,0.2,
20.0,val,,74.2,0.721,0.2,
,info,,,,,"2024-11-14 01:15:16,860 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:15:19,213 - root - INFO -"
,info,,,,,"2024-11-14 01:15:19,213 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:15:19,213 - root - INFO - Sparsity range: 0.2 -> 0.3"
0.0,val,,74.2,0.721,0.2,
,info,,,,,"2024-11-14 01:15:19,485 - root - INFO -"
1.0,train,0.001,80.16,0.549,0.253,
1.0,val,,73.2,0.722,0.253,
2.0,train,0.001,78.2,0.587,0.286,
2.0,val,,74.0,0.727,0.286,
3.0,train,0.001,78.68,0.575,0.298,
3.0,val,,73.0,0.736,0.298,
4.0,train,0.001,78.28,0.568,0.301,
4.0,val,,73.2,0.718,0.301,
5.0,train,0.001,79.24,0.562,0.301,
5.0,val,,73.6,0.73,0.301,
6.0,train,0.001,79.72,0.556,0.301,
6.0,val,,74.2,0.74,0.301,
7.0,train,0.001,78.68,0.574,0.301,
7.0,val,,73.4,0.72,0.301,
8.0,train,0.001,79.08,0.565,0.301,
8.0,val,,73.0,0.735,0.301,
9.0,train,0.001,79.0,0.56,0.301,
9.0,val,,72.6,0.758,0.301,
10.0,train,0.001,78.88,0.567,0.301,
10.0,val,,73.4,0.732,0.301,
11.0,train,0.001,79.12,0.563,0.301,
11.0,val,,74.4,0.736,0.301,
12.0,train,0.001,78.92,0.558,0.301,
12.0,val,,74.8,0.73,0.301,
13.0,train,0.001,79.88,0.558,0.301,
13.0,val,,72.4,0.745,0.301,
14.0,train,0.001,79.96,0.547,0.301,
14.0,val,,73.2,0.737,0.301,
15.0,train,0.001,79.72,0.553,0.301,
15.0,val,,73.8,0.729,0.301,
16.0,train,0.001,79.36,0.546,0.301,
16.0,val,,74.0,0.738,0.301,
17.0,train,0.001,79.92,0.537,0.301,
17.0,val,,73.2,0.751,0.301,
18.0,train,0.001,79.0,0.553,0.301,
18.0,val,,73.0,0.74,0.301,
19.0,train,0.001,79.8,0.539,0.301,
19.0,val,,73.8,0.736,0.301,
20.0,train,0.001,80.56,0.538,0.301,
20.0,val,,73.0,0.75,0.301,
,info,,,,,"2024-11-14 01:15:28,393 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:15:30,692 - root - INFO -"
,info,,,,,"2024-11-14 01:15:30,692 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:15:30,692 - root - INFO - Sparsity range: 0.3 -> 0.4"
0.0,val,,73.0,0.75,0.301,
,info,,,,,"2024-11-14 01:15:30,970 - root - INFO -"
1.0,train,0.001,81.04,0.517,0.353,
1.0,val,,72.2,0.753,0.353,
2.0,train,0.001,79.28,0.556,0.386,
2.0,val,,72.4,0.78,0.386,
3.0,train,0.001,79.68,0.548,0.398,
3.0,val,,72.8,0.746,0.398,
4.0,train,0.001,79.96,0.538,0.401,
4.0,val,,73.4,0.733,0.401,
5.0,train,0.001,80.52,0.533,0.401,
5.0,val,,74.4,0.754,0.401,
6.0,train,0.001,80.48,0.52,0.401,
6.0,val,,73.2,0.763,0.401,
7.0,train,0.001,79.32,0.543,0.401,
7.0,val,,72.4,0.74,0.401,
8.0,train,0.001,80.56,0.536,0.401,
8.0,val,,73.4,0.759,0.401,
9.0,train,0.001,80.44,0.525,0.401,
9.0,val,,71.0,0.781,0.401,
10.0,train,0.001,80.12,0.534,0.401,
10.0,val,,72.8,0.756,0.401,
11.0,train,0.001,80.72,0.527,0.401,
11.0,val,,73.0,0.761,0.401,
12.0,train,0.001,80.48,0.525,0.401,
12.0,val,,72.8,0.759,0.401,
13.0,train,0.001,80.64,0.521,0.401,
13.0,val,,72.6,0.772,0.401,
14.0,train,0.001,81.48,0.513,0.401,
14.0,val,,72.8,0.766,0.401,
15.0,train,0.001,80.8,0.518,0.401,
15.0,val,,72.0,0.756,0.401,
16.0,train,0.001,81.12,0.511,0.401,
16.0,val,,73.6,0.765,0.401,
17.0,train,0.001,81.48,0.501,0.401,
17.0,val,,73.2,0.779,0.401,
18.0,train,0.001,80.4,0.519,0.401,
18.0,val,,73.6,0.769,0.401,
19.0,train,0.001,81.16,0.505,0.401,
19.0,val,,73.4,0.764,0.401,
20.0,train,0.001,81.76,0.507,0.401,
20.0,val,,72.0,0.779,0.401,
,info,,,,,"2024-11-14 01:15:39,918 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:15:42,280 - root - INFO -"
,info,,,,,"2024-11-14 01:15:42,280 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:15:42,280 - root - INFO - Sparsity range: 0.4 -> 0.5"
0.0,val,,72.0,0.779,0.401,
,info,,,,,"2024-11-14 01:15:42,546 - root - INFO -"
1.0,train,0.001,82.12,0.485,0.453,
1.0,val,,71.2,0.822,0.453,
2.0,train,0.001,79.92,0.544,0.485,
2.0,val,,71.8,0.817,0.485,
3.0,train,0.001,80.12,0.525,0.498,
3.0,val,,71.6,0.805,0.498,
4.0,train,0.001,80.4,0.52,0.501,
4.0,val,,73.6,0.779,0.501,
5.0,train,0.001,80.76,0.513,0.501,
5.0,val,,72.4,0.782,0.501,
6.0,train,0.001,81.8,0.495,0.501,
6.0,val,,72.6,0.797,0.501,
7.0,train,0.001,81.12,0.513,0.501,
7.0,val,,72.8,0.775,0.501,
8.0,train,0.001,81.0,0.507,0.501,
8.0,val,,72.6,0.792,0.501,
9.0,train,0.001,81.52,0.497,0.501,
9.0,val,,70.4,0.812,0.501,
10.0,train,0.001,81.28,0.502,0.501,
10.0,val,,72.6,0.791,0.501,
11.0,train,0.001,81.72,0.498,0.501,
11.0,val,,73.0,0.797,0.501,
12.0,train,0.001,81.24,0.5,0.501,
12.0,val,,74.0,0.798,0.501,
13.0,train,0.001,81.8,0.493,0.501,
13.0,val,,71.8,0.811,0.501,
14.0,train,0.001,83.08,0.483,0.501,
14.0,val,,73.0,0.803,0.501,
15.0,train,0.001,82.0,0.489,0.501,
15.0,val,,72.0,0.791,0.501,
16.0,train,0.001,82.36,0.479,0.501,
16.0,val,,72.6,0.796,0.501,
17.0,train,0.001,82.68,0.468,0.501,
17.0,val,,72.4,0.812,0.501,
18.0,train,0.001,81.56,0.49,0.501,
18.0,val,,71.6,0.811,0.501,
19.0,train,0.001,82.64,0.474,0.501,
19.0,val,,72.2,0.805,0.501,
20.0,train,0.001,82.04,0.477,0.501,
20.0,val,,71.6,0.814,0.501,
,info,,,,,"2024-11-14 01:15:51,480 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:15:53,760 - root - INFO -"
,info,,,,,"2024-11-14 01:15:53,761 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:15:53,761 - root - INFO - Sparsity range: 0.5 -> 0.6"
0.0,val,,71.6,0.814,0.501,
,info,,,,,"2024-11-14 01:15:54,035 - root - INFO -"
1.0,train,0.001,82.44,0.459,0.553,
1.0,val,,70.8,0.829,0.553,
2.0,train,0.001,81.32,0.533,0.586,
2.0,val,,69.6,0.892,0.586,
3.0,train,0.001,80.2,0.532,0.598,
3.0,val,,71.4,0.843,0.598,
4.0,train,0.001,80.6,0.521,0.601,
4.0,val,,72.2,0.805,0.601,
5.0,train,0.001,82.48,0.492,0.601,
5.0,val,,72.6,0.809,0.601,
6.0,train,0.001,81.32,0.485,0.601,
6.0,val,,71.4,0.828,0.601,
7.0,train,0.001,80.84,0.499,0.601,
7.0,val,,72.0,0.813,0.601,
8.0,train,0.001,82.12,0.488,0.601,
8.0,val,,71.6,0.839,0.601,
9.0,train,0.001,82.4,0.475,0.601,
9.0,val,,70.2,0.848,0.601,
10.0,train,0.001,82.08,0.485,0.601,
10.0,val,,72.8,0.834,0.601,
11.0,train,0.001,83.28,0.478,0.601,
11.0,val,,72.0,0.827,0.601,
12.0,train,0.001,82.0,0.481,0.601,
12.0,val,,71.0,0.828,0.601,
13.0,train,0.001,82.64,0.475,0.601,
13.0,val,,71.6,0.837,0.601,
14.0,train,0.001,84.04,0.458,0.601,
14.0,val,,72.4,0.838,0.601,
15.0,train,0.001,82.88,0.473,0.601,
15.0,val,,71.8,0.835,0.601,
16.0,train,0.001,83.12,0.464,0.601,
16.0,val,,72.4,0.824,0.601,
17.0,train,0.001,83.32,0.449,0.601,
17.0,val,,72.4,0.854,0.601,
18.0,train,0.001,82.56,0.465,0.601,
18.0,val,,71.6,0.85,0.601,
19.0,train,0.001,83.44,0.451,0.601,
19.0,val,,72.6,0.843,0.601,
20.0,train,0.001,83.28,0.46,0.601,
20.0,val,,71.0,0.855,0.601,
,info,,,,,"2024-11-14 01:16:02,822 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:16:05,163 - root - INFO -"
,info,,,,,"2024-11-14 01:16:05,163 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:16:05,163 - root - INFO - Sparsity range: 0.6 -> 0.7"
0.0,val,,71.0,0.855,0.601,
,info,,,,,"2024-11-14 01:16:05,433 - root - INFO -"
1.0,train,0.001,83.72,0.437,0.653,
1.0,val,,65.6,0.978,0.653,
2.0,train,0.001,79.0,0.573,0.685,
2.0,val,,68.2,1.065,0.685,
3.0,train,0.001,78.52,0.579,0.698,
3.0,val,,69.2,0.909,0.698,
4.0,train,0.001,78.68,0.569,0.701,
4.0,val,,69.6,0.92,0.701,
5.0,train,0.001,78.92,0.552,0.701,
5.0,val,,70.8,0.806,0.701,
6.0,train,0.001,80.76,0.515,0.701,
6.0,val,,72.0,0.822,0.701,
7.0,train,0.001,80.72,0.52,0.701,
7.0,val,,71.0,0.797,0.701,
8.0,train,0.001,81.2,0.509,0.701,
8.0,val,,71.0,0.813,0.701,
9.0,train,0.001,81.88,0.489,0.701,
9.0,val,,71.2,0.834,0.701,
10.0,train,0.001,81.12,0.507,0.701,
10.0,val,,70.4,0.819,0.701,
11.0,train,0.001,81.76,0.503,0.701,
11.0,val,,70.6,0.815,0.701,
12.0,train,0.001,81.28,0.498,0.701,
12.0,val,,71.4,0.818,0.701,
13.0,train,0.001,82.92,0.486,0.701,
13.0,val,,70.8,0.822,0.701,
14.0,train,0.001,83.2,0.471,0.701,
14.0,val,,69.8,0.833,0.701,
15.0,train,0.001,82.24,0.477,0.701,
15.0,val,,71.2,0.826,0.701,
16.0,train,0.001,82.92,0.469,0.701,
16.0,val,,71.0,0.823,0.701,
17.0,train,0.001,83.6,0.46,0.701,
17.0,val,,71.2,0.846,0.701,
18.0,train,0.001,82.32,0.476,0.701,
18.0,val,,71.0,0.843,0.701,
19.0,train,0.001,83.32,0.465,0.701,
19.0,val,,71.2,0.832,0.701,
20.0,train,0.001,82.68,0.467,0.701,
20.0,val,,71.0,0.841,0.701,
,info,,,,,"2024-11-14 01:16:14,452 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:16:16,758 - root - INFO -"
,info,,,,,"2024-11-14 01:16:16,758 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:16:16,758 - root - INFO - Sparsity range: 0.7 -> 0.8"
0.0,val,,71.0,0.841,0.701,
,info,,,,,"2024-11-14 01:16:17,029 - root - INFO -"
1.0,train,0.001,83.92,0.44,0.753,
1.0,val,,57.8,1.225,0.753,
2.0,train,0.001,75.64,0.645,0.785,
2.0,val,,63.2,1.171,0.785,
3.0,train,0.001,72.56,0.708,0.798,
3.0,val,,53.4,1.463,0.798,
4.0,train,0.001,73.28,0.709,0.8,
4.0,val,,73.6,0.813,0.8,
5.0,train,0.001,76.04,0.62,0.8,
5.0,val,,73.0,0.775,0.8,
6.0,train,0.001,77.84,0.589,0.8,
6.0,val,,73.6,0.795,0.8,
7.0,train,0.001,79.0,0.574,0.8,
7.0,val,,73.4,0.77,0.8,
8.0,train,0.001,79.24,0.567,0.8,
8.0,val,,73.4,0.794,0.8,
9.0,train,0.001,79.6,0.546,0.8,
9.0,val,,71.2,0.804,0.8,
10.0,train,0.001,79.52,0.553,0.8,
10.0,val,,72.6,0.792,0.8,
11.0,train,0.001,80.0,0.546,0.8,
11.0,val,,72.0,0.785,0.8,
12.0,train,0.001,78.72,0.553,0.8,
12.0,val,,74.0,0.778,0.8,
13.0,train,0.001,79.96,0.536,0.8,
13.0,val,,73.0,0.79,0.8,
14.0,train,0.001,81.12,0.516,0.8,
14.0,val,,72.2,0.795,0.8,
15.0,train,0.001,80.88,0.524,0.8,
15.0,val,,72.0,0.792,0.8,
16.0,train,0.001,80.48,0.516,0.8,
16.0,val,,73.2,0.798,0.8,
17.0,train,0.001,81.16,0.508,0.8,
17.0,val,,72.6,0.809,0.8,
18.0,train,0.001,79.96,0.531,0.8,
18.0,val,,71.4,0.817,0.8,
19.0,train,0.001,80.92,0.51,0.8,
19.0,val,,73.0,0.793,0.8,
20.0,train,0.001,80.32,0.514,0.8,
20.0,val,,71.8,0.802,0.8,
,info,,,,,"2024-11-14 01:16:25,783 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:16:28,077 - root - INFO -"
,info,,,,,"2024-11-14 01:16:28,077 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:16:28,077 - root - INFO - Sparsity range: 0.8 -> 0.9"
0.0,val,,71.8,0.802,0.8,
,info,,,,,"2024-11-14 01:16:28,351 - root - INFO -"
1.0,train,0.001,81.84,0.488,0.853,
1.0,val,,37.2,2.62,0.853,
2.0,train,0.001,59.68,1.095,0.886,
2.0,val,,41.4,1.982,0.886,
3.0,train,0.001,58.64,1.061,0.898,
3.0,val,,55.4,1.197,0.898,
4.0,train,0.001,60.68,1.018,0.901,
4.0,val,,64.0,0.961,0.901,
5.0,train,0.001,63.36,0.937,0.901,
5.0,val,,67.6,0.892,0.901,
6.0,train,0.001,65.08,0.904,0.901,
6.0,val,,67.0,0.879,0.901,
7.0,train,0.001,65.64,0.888,0.901,
7.0,val,,68.0,0.853,0.901,
8.0,train,0.001,65.8,0.889,0.901,
8.0,val,,68.0,0.848,0.901,
9.0,train,0.001,65.52,0.88,0.901,
9.0,val,,67.6,0.855,0.901,
10.0,train,0.001,66.36,0.868,0.901,
10.0,val,,69.0,0.841,0.901,
11.0,train,0.001,67.8,0.83,0.901,
