Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:16:50,977 - root - INFO - Finetune stage..."
1.0,train,0.01,19.0,1.61,0.0,
1.0,val,,20.6,1.609,0.0,
2.0,train,0.01,19.16,1.61,0.0,
2.0,val,,20.0,1.608,0.0,
3.0,train,0.01,24.48,1.607,0.0,
3.0,val,,27.6,1.601,0.0,
4.0,train,0.01,28.4,1.561,0.0,
4.0,val,,38.6,1.523,0.0,
5.0,train,0.01,38.44,1.452,0.0,
5.0,val,,41.8,1.395,0.0,
6.0,train,0.01,42.32,1.354,0.0,
6.0,val,,47.6,1.246,0.0,
7.0,train,0.01,45.92,1.295,0.0,
7.0,val,,48.2,1.239,0.0,
8.0,train,0.01,45.8,1.292,0.0,
8.0,val,,50.2,1.215,0.0,
9.0,train,0.01,48.6,1.265,0.0,
9.0,val,,51.0,1.222,0.0,
10.0,train,0.01,47.92,1.249,0.0,
10.0,val,,52.8,1.179,0.0,
11.0,train,0.01,48.6,1.237,0.0,
11.0,val,,54.4,1.139,0.0,
12.0,train,0.01,49.92,1.203,0.0,
12.0,val,,55.8,1.123,0.0,
13.0,train,0.01,53.0,1.191,0.0,
13.0,val,,56.0,1.142,0.0,
14.0,train,0.01,54.16,1.165,0.0,
14.0,val,,58.8,1.041,0.0,
15.0,train,0.01,53.96,1.147,0.0,
15.0,val,,57.2,1.066,0.0,
16.0,train,0.01,56.48,1.118,0.0,
16.0,val,,57.2,1.065,0.0,
17.0,train,0.01,57.72,1.093,0.0,
17.0,val,,60.8,1.018,0.0,
18.0,train,0.01,60.68,1.042,0.0,
18.0,val,,61.0,1.019,0.0,
19.0,train,0.01,62.04,1.013,0.0,
19.0,val,,53.8,1.362,0.0,
20.0,train,0.01,63.96,1.004,0.0,
20.0,val,,44.0,2.225,0.0,
21.0,train,0.01,63.96,0.977,0.0,
21.0,val,,68.8,0.85,0.0,
22.0,train,0.01,63.52,0.962,0.0,
