Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:22:12,663 - root - INFO - Finetune stage..."
1.0,train,0.01,18.84,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,20.48,1.608,0.0,
2.0,val,,20.0,1.6,0.0,
3.0,train,0.01,32.68,1.55,0.0,
3.0,val,,40.0,1.458,0.0,
4.0,train,0.01,46.44,1.322,0.0,
4.0,val,,51.8,1.159,0.0,
5.0,train,0.01,54.44,1.115,0.0,
5.0,val,,59.4,1.091,0.0,
6.0,train,0.01,58.64,1.048,0.0,
6.0,val,,56.6,1.1,0.0,
7.0,train,0.01,59.64,1.019,0.0,
7.0,val,,60.0,0.966,0.0,
8.0,train,0.01,60.24,1.011,0.0,
8.0,val,,58.2,1.048,0.0,
9.0,train,0.01,63.36,0.957,0.0,
9.0,val,,64.2,0.886,0.0,
10.0,train,0.01,65.56,0.92,0.0,
10.0,val,,67.4,0.914,0.0,
11.0,train,0.01,65.16,0.919,0.0,
11.0,val,,69.2,0.784,0.0,
12.0,train,0.01,68.44,0.823,0.0,
12.0,val,,70.8,0.771,0.0,
13.0,train,0.01,69.52,0.832,0.0,
13.0,val,,65.2,0.862,0.0,
14.0,train,0.01,70.32,0.81,0.0,
14.0,val,,73.4,0.753,0.0,
15.0,train,0.01,69.76,0.8,0.0,
15.0,val,,64.6,0.819,0.0,
16.0,train,0.01,70.48,0.805,0.0,
16.0,val,,71.4,0.757,0.0,
17.0,train,0.01,72.32,0.757,0.0,
17.0,val,,73.0,0.693,0.0,
18.0,train,0.01,73.08,0.73,0.0,
18.0,val,,74.6,0.715,0.0,
19.0,train,0.01,72.08,0.742,0.0,
19.0,val,,73.8,0.669,0.0,
20.0,train,0.01,74.12,0.702,0.0,
20.0,val,,64.0,0.918,0.0,
21.0,train,0.01,73.88,0.728,0.0,
21.0,val,,70.8,0.767,0.0,
22.0,train,0.01,73.28,0.713,0.0,
22.0,val,,42.4,2.91,0.0,
23.0,train,0.01,66.52,0.888,0.0,
23.0,val,,67.8,0.872,0.0,
24.0,train,0.01,71.72,0.757,0.0,
24.0,val,,74.8,0.671,0.0,
25.0,train,0.01,73.6,0.729,0.0,
25.0,val,,75.8,0.701,0.0,
26.0,train,0.01,75.64,0.681,0.0,
26.0,val,,72.2,0.719,0.0,
27.0,train,0.01,72.72,0.721,0.0,
27.0,val,,75.6,0.657,0.0,
28.0,train,0.01,75.44,0.668,0.0,
28.0,val,,68.6,0.785,0.0,
29.0,train,0.01,75.04,0.69,0.0,
29.0,val,,75.6,0.7,0.0,
30.0,train,0.01,75.88,0.645,0.0,
30.0,val,,77.4,0.664,0.0,
31.0,train,0.01,75.32,0.657,0.0,
31.0,val,,72.4,0.766,0.0,
32.0,train,0.01,76.16,0.646,0.0,
32.0,val,,68.0,0.866,0.0,
