Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:24:54,831 - root - INFO - Finetune stage..."
1.0,train,0.01,18.6,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,19.44,1.61,0.0,
2.0,val,,28.2,1.608,0.0,
3.0,train,0.01,24.64,1.604,0.0,
3.0,val,,33.6,1.581,0.0,
4.0,train,0.01,33.08,1.512,0.0,
4.0,val,,36.6,1.427,0.0,
5.0,train,0.01,36.72,1.432,0.0,
5.0,val,,41.2,1.367,0.0,
6.0,train,0.01,40.0,1.391,0.0,
6.0,val,,42.4,1.342,0.0,
7.0,train,0.01,43.76,1.358,0.0,
7.0,val,,46.0,1.275,0.0,
8.0,train,0.01,44.24,1.332,0.0,
8.0,val,,48.4,1.233,0.0,
9.0,train,0.01,45.2,1.28,0.0,
9.0,val,,42.8,1.274,0.0,
10.0,train,0.01,46.32,1.277,0.0,
10.0,val,,50.0,1.181,0.0,
11.0,train,0.01,48.48,1.236,0.0,
11.0,val,,52.4,1.166,0.0,
12.0,train,0.01,49.52,1.23,0.0,
12.0,val,,50.0,1.159,0.0,
13.0,train,0.01,49.08,1.209,0.0,
13.0,val,,48.6,1.164,0.0,
14.0,train,0.01,49.6,1.204,0.0,
14.0,val,,43.8,1.393,0.0,
15.0,train,0.01,50.32,1.185,0.0,
15.0,val,,50.6,1.185,0.0,
16.0,train,0.01,51.48,1.179,0.0,
16.0,val,,50.0,1.117,0.0,
17.0,train,0.01,51.36,1.168,0.0,
17.0,val,,53.2,1.082,0.0,
18.0,train,0.01,51.92,1.155,0.0,
18.0,val,,53.8,1.108,0.0,
19.0,train,0.01,52.92,1.152,0.0,
19.0,val,,50.6,1.209,0.0,
20.0,train,0.01,55.28,1.117,0.0,
20.0,val,,54.2,1.117,0.0,
21.0,train,0.01,54.8,1.129,0.0,
21.0,val,,55.2,1.072,0.0,
22.0,train,0.01,56.48,1.097,0.0,
22.0,val,,53.6,1.098,0.0,
23.0,train,0.01,57.56,1.076,0.0,
23.0,val,,55.0,1.058,0.0,
24.0,train,0.01,58.52,1.066,0.0,
24.0,val,,54.4,1.133,0.0,
25.0,train,0.01,57.8,1.07,0.0,
25.0,val,,55.6,1.074,0.0,
26.0,train,0.01,58.6,1.054,0.0,
26.0,val,,56.6,1.118,0.0,
27.0,train,0.01,57.36,1.052,0.0,
27.0,val,,59.2,1.018,0.0,
28.0,train,0.01,59.68,1.031,0.0,
28.0,val,,55.4,1.077,0.0,
29.0,train,0.01,59.04,1.024,0.0,
29.0,val,,58.0,1.021,0.0,
30.0,train,0.01,59.48,1.017,0.0,
30.0,val,,58.2,1.012,0.0,
31.0,train,0.01,60.24,1.02,0.0,
31.0,val,,59.8,1.023,0.0,
32.0,train,0.01,59.88,1.016,0.0,
32.0,val,,54.4,1.096,0.0,
33.0,train,0.01,61.12,1.001,0.0,
33.0,val,,59.6,0.995,0.0,
34.0,train,0.01,62.24,0.98,0.0,
34.0,val,,59.6,0.993,0.0,
35.0,train,0.01,62.24,0.983,0.0,
35.0,val,,56.4,1.082,0.0,
36.0,train,0.01,63.0,0.966,0.0,
36.0,val,,55.4,1.065,0.0,
37.0,train,0.01,63.0,0.954,0.0,
37.0,val,,56.4,1.05,0.0,
38.0,train,0.01,63.0,0.951,0.0,
