Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:27:36,667 - root - INFO - Finetune stage..."
1.0,train,0.01,18.76,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,19.76,1.61,0.0,
2.0,val,,20.0,1.607,0.0,
3.0,train,0.01,23.92,1.602,0.0,
3.0,val,,21.6,1.569,0.0,
4.0,train,0.01,32.28,1.484,0.0,
4.0,val,,36.2,1.39,0.0,
5.0,train,0.01,37.84,1.39,0.0,
5.0,val,,39.0,1.363,0.0,
6.0,train,0.01,38.36,1.37,0.0,
6.0,val,,44.6,1.288,0.0,
7.0,train,0.01,43.32,1.296,0.0,
7.0,val,,48.4,1.247,0.0,
8.0,train,0.01,47.6,1.234,0.0,
8.0,val,,52.6,1.158,0.0,
9.0,train,0.01,48.68,1.206,0.0,
9.0,val,,51.4,1.202,0.0,
10.0,train,0.01,49.96,1.18,0.0,
10.0,val,,57.2,1.078,0.0,
11.0,train,0.01,51.68,1.155,0.0,
11.0,val,,53.6,1.184,0.0,
12.0,train,0.01,52.92,1.116,0.0,
12.0,val,,53.4,1.151,0.0,
13.0,train,0.01,53.64,1.107,0.0,
13.0,val,,59.2,1.045,0.0,
14.0,train,0.01,55.76,1.072,0.0,
14.0,val,,59.0,1.036,0.0,
15.0,train,0.01,55.2,1.058,0.0,
15.0,val,,62.6,0.956,0.0,
16.0,train,0.01,57.6,1.031,0.0,
16.0,val,,56.6,0.999,0.0,
17.0,train,0.01,58.52,1.017,0.0,
17.0,val,,61.2,0.968,0.0,
18.0,train,0.01,59.88,0.997,0.0,
18.0,val,,59.4,1.053,0.0,
19.0,train,0.01,59.48,0.992,0.0,
19.0,val,,56.2,1.12,0.0,
20.0,train,0.01,60.84,0.998,0.0,
20.0,val,,60.4,0.992,0.0,
21.0,train,0.01,60.68,0.971,0.0,
21.0,val,,65.2,0.895,0.0,
22.0,train,0.01,63.2,0.944,0.0,
22.0,val,,64.0,0.954,0.0,
23.0,train,0.01,63.32,0.923,0.0,
23.0,val,,65.8,0.874,0.0,
24.0,train,0.01,65.2,0.891,0.0,
