Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:33:36,750 - root - INFO - Finetune stage..."
1.0,train,0.01,18.64,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,19.04,1.611,0.0,
2.0,val,,20.0,1.609,0.0,
3.0,train,0.01,19.48,1.61,0.0,
3.0,val,,20.0,1.609,0.0,
4.0,train,0.01,20.0,1.61,0.0,
4.0,val,,25.2,1.608,0.0,
5.0,train,0.01,21.76,1.609,0.0,
5.0,val,,28.0,1.606,0.0,
6.0,train,0.01,24.84,1.602,0.0,
6.0,val,,26.8,1.581,0.0,
7.0,train,0.01,26.24,1.586,0.0,
7.0,val,,30.4,1.558,0.0,
8.0,train,0.01,25.84,1.577,0.0,
8.0,val,,28.6,1.548,0.0,
9.0,train,0.01,26.2,1.576,0.0,
9.0,val,,29.0,1.545,0.0,
10.0,train,0.01,27.4,1.575,0.0,
10.0,val,,28.0,1.552,0.0,
11.0,train,0.01,27.32,1.569,0.0,
11.0,val,,28.6,1.544,0.0,
12.0,train,0.01,28.68,1.562,0.0,
12.0,val,,31.2,1.543,0.0,
13.0,train,0.01,28.04,1.564,0.0,
13.0,val,,29.8,1.539,0.0,
14.0,train,0.01,29.84,1.549,0.0,
14.0,val,,29.6,1.531,0.0,
15.0,train,0.01,30.32,1.541,0.0,
15.0,val,,26.8,1.583,0.0,
16.0,train,0.01,30.2,1.546,0.0,
16.0,val,,31.6,1.541,0.0,
17.0,train,0.01,32.28,1.53,0.0,
17.0,val,,32.2,1.518,0.0,
18.0,train,0.01,31.36,1.526,0.0,
18.0,val,,31.6,1.513,0.0,
19.0,train,0.01,33.28,1.52,0.0,
19.0,val,,32.4,1.511,0.0,
20.0,train,0.01,33.4,1.509,0.0,
20.0,val,,32.8,1.501,0.0,
21.0,train,0.01,32.52,1.518,0.0,
21.0,val,,34.8,1.484,0.0,
22.0,train,0.01,35.44,1.501,0.0,
22.0,val,,31.4,1.513,0.0,
23.0,train,0.01,35.12,1.5,0.0,
23.0,val,,33.8,1.478,0.0,
24.0,train,0.01,35.44,1.497,0.0,
24.0,val,,34.2,1.487,0.0,
25.0,train,0.01,37.44,1.476,0.0,
25.0,val,,35.0,1.47,0.0,
26.0,train,0.01,35.6,1.483,0.0,
26.0,val,,34.0,1.475,0.0,
27.0,train,0.01,37.56,1.477,0.0,
27.0,val,,34.0,1.464,0.0,
28.0,train,0.01,36.44,1.468,0.0,
28.0,val,,35.6,1.468,0.0,
29.0,train,0.01,36.12,1.474,0.0,
29.0,val,,36.0,1.448,0.0,
30.0,train,0.01,38.4,1.451,0.0,
30.0,val,,35.0,1.488,0.0,
31.0,train,0.01,38.8,1.451,0.0,
31.0,val,,34.2,1.47,0.0,
32.0,train,0.01,37.32,1.456,0.0,
32.0,val,,35.0,1.461,0.0,
33.0,train,0.01,38.52,1.447,0.0,
33.0,val,,36.2,1.452,0.0,
34.0,train,0.01,39.08,1.448,0.0,
34.0,val,,34.0,1.457,0.0,
35.0,train,0.01,39.72,1.443,0.0,
35.0,val,,38.0,1.426,0.0,
36.0,train,0.01,40.04,1.442,0.0,
36.0,val,,38.4,1.418,0.0,
37.0,train,0.01,39.8,1.429,0.0,
37.0,val,,37.8,1.405,0.0,
38.0,train,0.01,39.4,1.43,0.0,
38.0,val,,37.4,1.431,0.0,
39.0,train,0.01,41.0,1.411,0.0,
39.0,val,,36.2,1.457,0.0,
40.0,train,0.01,38.8,1.423,0.0,
40.0,val,,40.8,1.406,0.0,
41.0,train,0.01,40.56,1.413,0.0,
41.0,val,,37.0,1.414,0.0,
42.0,train,0.01,39.44,1.426,0.0,
42.0,val,,38.2,1.404,0.0,
43.0,train,0.01,40.96,1.406,0.0,
43.0,val,,35.0,1.434,0.0,
44.0,train,0.01,40.4,1.403,0.0,
44.0,val,,38.0,1.409,0.0,
45.0,train,0.01,40.84,1.397,0.0,
45.0,val,,36.0,1.423,0.0,
46.0,train,0.01,41.6,1.396,0.0,
46.0,val,,38.6,1.435,0.0,
47.0,train,0.01,42.36,1.381,0.0,
47.0,val,,37.8,1.411,0.0,
48.0,train,0.01,42.0,1.383,0.0,
48.0,val,,35.6,1.458,0.0,
49.0,train,0.01,42.76,1.364,0.0,
49.0,val,,36.6,1.456,0.0,
50.0,train,0.01,43.2,1.372,0.0,
50.0,val,,36.6,1.437,0.0,
51.0,train,0.001,44.0,1.349,0.0,
51.0,val,,35.0,1.417,0.0,
52.0,train,0.001,45.4,1.336,0.0,
52.0,val,,37.6,1.414,0.0,
53.0,train,0.001,45.68,1.318,0.0,
53.0,val,,37.2,1.42,0.0,
54.0,train,0.001,45.48,1.324,0.0,
54.0,val,,36.2,1.421,0.0,
55.0,train,0.001,45.8,1.308,0.0,
55.0,val,,37.4,1.416,0.0,
56.0,train,0.001,46.12,1.325,0.0,
56.0,val,,37.6,1.419,0.0,
57.0,train,0.001,44.92,1.319,0.0,
57.0,val,,37.2,1.412,0.0,
58.0,train,0.001,46.68,1.308,0.0,
58.0,val,,37.0,1.411,0.0,
59.0,train,0.001,44.68,1.324,0.0,
59.0,val,,37.4,1.416,0.0,
60.0,train,0.001,46.04,1.314,0.0,
60.0,val,,38.4,1.424,0.0,
61.0,train,0.001,45.8,1.31,0.0,
61.0,val,,37.2,1.42,0.0,
62.0,train,0.001,46.16,1.302,0.0,
62.0,val,,37.8,1.416,0.0,
63.0,train,0.001,45.72,1.31,0.0,
63.0,val,,36.6,1.416,0.0,
64.0,train,0.001,45.96,1.311,0.0,
64.0,val,,37.0,1.423,0.0,
65.0,train,0.001,46.44,1.299,0.0,
65.0,val,,36.2,1.418,0.0,
66.0,train,0.001,46.76,1.306,0.0,
66.0,val,,37.0,1.421,0.0,
67.0,train,0.001,45.8,1.303,0.0,
67.0,val,,37.0,1.42,0.0,
68.0,train,0.001,46.72,1.305,0.0,
68.0,val,,37.2,1.421,0.0,
69.0,train,0.001,47.12,1.306,0.0,
69.0,val,,37.0,1.418,0.0,
70.0,train,0.001,46.0,1.287,0.0,
70.0,val,,37.8,1.417,0.0,
71.0,train,0.001,47.32,1.292,0.0,
71.0,val,,38.0,1.415,0.0,
72.0,train,0.001,45.92,1.297,0.0,
72.0,val,,38.4,1.412,0.0,
73.0,train,0.001,46.56,1.29,0.0,
73.0,val,,37.2,1.416,0.0,
74.0,train,0.001,47.44,1.292,0.0,
74.0,val,,37.8,1.431,0.0,
75.0,train,0.001,44.92,1.306,0.0,
75.0,val,,38.2,1.408,0.0,
76.0,train,0.001,46.96,1.287,0.0,
76.0,val,,39.2,1.42,0.0,
77.0,train,0.001,47.0,1.3,0.0,
77.0,val,,39.2,1.42,0.0,
78.0,train,0.001,47.8,1.286,0.0,
78.0,val,,38.0,1.424,0.0,
79.0,train,0.001,47.56,1.292,0.0,
79.0,val,,38.6,1.414,0.0,
80.0,train,0.001,47.64,1.282,0.0,
80.0,val,,38.8,1.43,0.0,
81.0,train,0.0001,47.92,1.283,0.0,
81.0,val,,37.8,1.425,0.0,
82.0,train,0.0001,48.44,1.27,0.0,
82.0,val,,39.0,1.42,0.0,
83.0,train,0.0001,48.16,1.274,0.0,
83.0,val,,37.6,1.42,0.0,
84.0,train,0.0001,47.4,1.274,0.0,
84.0,val,,38.2,1.42,0.0,
85.0,train,0.0001,49.36,1.262,0.0,
85.0,val,,38.2,1.423,0.0,
86.0,train,0.0001,48.24,1.273,0.0,
86.0,val,,38.6,1.416,0.0,
87.0,train,0.0001,46.8,1.291,0.0,
87.0,val,,38.4,1.424,0.0,
88.0,train,0.0001,47.48,1.286,0.0,
88.0,val,,39.8,1.42,0.0,
89.0,train,0.0001,47.44,1.274,0.0,
89.0,val,,37.8,1.421,0.0,
90.0,train,0.0001,48.36,1.262,0.0,
90.0,val,,39.2,1.425,0.0,
91.0,train,0.0001,47.44,1.272,0.0,
91.0,val,,39.4,1.433,0.0,
92.0,train,0.0001,47.08,1.277,0.0,
92.0,val,,38.0,1.427,0.0,
93.0,train,0.0001,47.48,1.278,0.0,
93.0,val,,38.8,1.42,0.0,
94.0,train,0.0001,48.32,1.274,0.0,
94.0,val,,38.2,1.421,0.0,
95.0,train,0.0001,47.84,1.274,0.0,
95.0,val,,38.8,1.419,0.0,
96.0,train,0.0001,47.4,1.274,0.0,
96.0,val,,39.6,1.422,0.0,
97.0,train,0.0001,48.56,1.268,0.0,
97.0,val,,38.8,1.425,0.0,
98.0,train,0.0001,47.08,1.278,0.0,
98.0,val,,38.2,1.425,0.0,
99.0,train,0.0001,47.12,1.279,0.0,
99.0,val,,39.2,1.421,0.0,
100.0,train,0.0001,47.52,1.279,0.0,
100.0,val,,39.0,1.424,0.0,
,info,,,,,"2024-11-14 01:34:22,750 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:34:22,750 - root - INFO - It's time to expand the Network"
,info,,,,,"2024-11-14 01:34:22,750 - root - INFO - Auto expand network"
,info,,,,,"2024-11-14 01:34:25,066 - root - INFO -"
,info,,,,,"2024-11-14 01:34:25,066 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:34:25,066 - root - INFO - Sparsity range: 0.0 -> 0.1"
0.0,val,,39.0,1.424,0.0,
,info,,,,,"2024-11-14 01:34:25,347 - root - INFO -"
1.0,train,0.001,45.84,1.29,0.053,
1.0,val,,39.4,1.423,0.053,
2.0,train,0.001,47.56,1.279,0.086,
2.0,val,,38.4,1.424,0.086,
3.0,train,0.001,47.2,1.297,0.098,
3.0,val,,38.6,1.418,0.098,
4.0,train,0.001,47.4,1.278,0.101,
4.0,val,,38.0,1.429,0.101,
5.0,train,0.001,47.04,1.285,0.101,
5.0,val,,38.8,1.439,0.101,
