Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:39:03,485 - root - INFO - Finetune stage..."
1.0,train,0.01,18.76,1.61,0.0,
1.0,val,,26.2,1.609,0.0,
2.0,train,0.01,20.32,1.61,0.0,
2.0,val,,29.0,1.606,0.0,
3.0,train,0.01,30.68,1.567,0.0,
3.0,val,,30.6,1.531,0.0,
4.0,train,0.01,34.6,1.466,0.0,
4.0,val,,33.8,1.462,0.0,
5.0,train,0.01,35.92,1.43,0.0,
5.0,val,,36.6,1.452,0.0,
6.0,train,0.01,37.68,1.41,0.0,
6.0,val,,34.6,1.452,0.0,
7.0,train,0.01,39.52,1.396,0.0,
7.0,val,,38.6,1.416,0.0,
8.0,train,0.01,39.36,1.39,0.0,
8.0,val,,42.6,1.387,0.0,
9.0,train,0.01,41.2,1.371,0.0,
9.0,val,,43.4,1.373,0.0,
10.0,train,0.01,42.68,1.339,0.0,
10.0,val,,45.4,1.377,0.0,
11.0,train,0.01,43.4,1.336,0.0,
11.0,val,,43.4,1.355,0.0,
12.0,train,0.01,46.0,1.316,0.0,
12.0,val,,46.0,1.333,0.0,
13.0,train,0.01,44.28,1.311,0.0,
13.0,val,,45.0,1.33,0.0,
14.0,train,0.01,45.32,1.294,0.0,
14.0,val,,47.6,1.335,0.0,
15.0,train,0.01,44.68,1.29,0.0,
15.0,val,,48.2,1.273,0.0,
16.0,train,0.01,46.32,1.27,0.0,
16.0,val,,49.4,1.324,0.0,
17.0,train,0.01,46.96,1.268,0.0,
17.0,val,,49.0,1.278,0.0,
18.0,train,0.01,48.2,1.249,0.0,
18.0,val,,49.8,1.287,0.0,
19.0,train,0.01,47.76,1.24,0.0,
19.0,val,,48.0,1.288,0.0,
20.0,train,0.01,47.84,1.236,0.0,
20.0,val,,49.4,1.262,0.0,
21.0,train,0.01,48.88,1.212,0.0,
21.0,val,,50.0,1.281,0.0,
22.0,train,0.01,50.28,1.21,0.0,
22.0,val,,51.0,1.276,0.0,
23.0,train,0.01,50.24,1.212,0.0,
23.0,val,,48.6,1.276,0.0,
24.0,train,0.01,51.28,1.188,0.0,
24.0,val,,48.0,1.249,0.0,
25.0,train,0.01,51.32,1.19,0.0,
25.0,val,,47.4,1.264,0.0,
26.0,train,0.01,52.72,1.159,0.0,
26.0,val,,48.8,1.222,0.0,
27.0,train,0.01,51.68,1.175,0.0,
27.0,val,,49.6,1.271,0.0,
28.0,train,0.01,51.0,1.181,0.0,
28.0,val,,51.6,1.209,0.0,
29.0,train,0.01,53.28,1.147,0.0,
29.0,val,,53.6,1.192,0.0,
30.0,train,0.01,53.28,1.137,0.0,
30.0,val,,51.4,1.197,0.0,
31.0,train,0.01,53.2,1.134,0.0,
31.0,val,,53.6,1.168,0.0,
32.0,train,0.01,55.48,1.121,0.0,
32.0,val,,50.8,1.202,0.0,
33.0,train,0.01,53.72,1.121,0.0,
33.0,val,,54.0,1.182,0.0,
34.0,train,0.01,54.96,1.118,0.0,
34.0,val,,52.4,1.2,0.0,
35.0,train,0.01,55.84,1.095,0.0,
35.0,val,,51.4,1.249,0.0,
36.0,train,0.01,56.68,1.085,0.0,
36.0,val,,52.4,1.209,0.0,
37.0,train,0.01,56.12,1.068,0.0,
37.0,val,,53.8,1.156,0.0,
38.0,train,0.01,56.48,1.071,0.0,
38.0,val,,50.0,1.21,0.0,
39.0,train,0.01,56.76,1.076,0.0,
39.0,val,,53.6,1.151,0.0,
40.0,train,0.01,57.16,1.061,0.0,
40.0,val,,51.0,1.233,0.0,
41.0,train,0.01,58.08,1.048,0.0,
41.0,val,,50.2,1.338,0.0,
42.0,train,0.01,58.36,1.054,0.0,
42.0,val,,51.0,1.22,0.0,
43.0,train,0.01,57.76,1.054,0.0,
43.0,val,,51.6,1.205,0.0,
44.0,train,0.01,59.64,1.027,0.0,
44.0,val,,53.4,1.146,0.0,
45.0,train,0.01,57.72,1.039,0.0,
45.0,val,,54.6,1.183,0.0,
46.0,train,0.01,59.32,1.023,0.0,
46.0,val,,54.4,1.138,0.0,
47.0,train,0.01,60.92,1.005,0.0,
47.0,val,,51.6,1.239,0.0,
48.0,train,0.01,58.48,1.038,0.0,
48.0,val,,50.0,1.272,0.0,
49.0,train,0.01,59.04,1.018,0.0,
49.0,val,,51.0,1.208,0.0,
50.0,train,0.01,60.84,1.001,0.0,
50.0,val,,54.2,1.194,0.0,
51.0,train,0.001,62.64,0.96,0.0,
51.0,val,,53.6,1.154,0.0,
52.0,train,0.001,62.8,0.934,0.0,
52.0,val,,54.8,1.142,0.0,
53.0,train,0.001,64.16,0.905,0.0,
53.0,val,,54.2,1.144,0.0,
54.0,train,0.001,64.56,0.917,0.0,
54.0,val,,54.6,1.144,0.0,
55.0,train,0.001,63.2,0.911,0.0,
55.0,val,,53.4,1.153,0.0,
56.0,train,0.001,62.76,0.909,0.0,
56.0,val,,54.4,1.143,0.0,
57.0,train,0.001,64.8,0.9,0.0,
57.0,val,,54.0,1.148,0.0,
58.0,train,0.001,63.76,0.908,0.0,
58.0,val,,55.6,1.139,0.0,
59.0,train,0.001,63.56,0.899,0.0,
59.0,val,,53.4,1.159,0.0,
60.0,train,0.001,65.12,0.898,0.0,
60.0,val,,54.8,1.153,0.0,
61.0,train,0.001,65.68,0.891,0.0,
61.0,val,,54.8,1.147,0.0,
62.0,train,0.001,64.08,0.892,0.0,
62.0,val,,55.4,1.142,0.0,
63.0,train,0.001,64.88,0.887,0.0,
63.0,val,,55.4,1.165,0.0,
64.0,train,0.001,65.76,0.888,0.0,
64.0,val,,55.6,1.161,0.0,
65.0,train,0.001,65.36,0.89,0.0,
65.0,val,,54.6,1.168,0.0,
66.0,train,0.001,63.92,0.864,0.0,
66.0,val,,52.8,1.18,0.0,
67.0,train,0.001,65.2,0.876,0.0,
67.0,val,,54.0,1.158,0.0,
68.0,train,0.001,65.04,0.883,0.0,
68.0,val,,53.6,1.166,0.0,
69.0,train,0.001,66.2,0.873,0.0,
69.0,val,,56.2,1.161,0.0,
70.0,train,0.001,64.88,0.879,0.0,
70.0,val,,53.4,1.158,0.0,
71.0,train,0.001,65.72,0.882,0.0,
71.0,val,,54.4,1.172,0.0,
72.0,train,0.001,65.4,0.878,0.0,
72.0,val,,53.4,1.171,0.0,
73.0,train,0.001,65.92,0.862,0.0,
73.0,val,,55.0,1.159,0.0,
74.0,train,0.001,64.88,0.871,0.0,
74.0,val,,55.4,1.161,0.0,
75.0,train,0.001,65.56,0.869,0.0,
75.0,val,,55.2,1.164,0.0,
76.0,train,0.001,65.44,0.865,0.0,
76.0,val,,54.8,1.175,0.0,
77.0,train,0.001,65.8,0.86,0.0,
77.0,val,,55.0,1.172,0.0,
78.0,train,0.001,66.32,0.876,0.0,
78.0,val,,55.4,1.175,0.0,
79.0,train,0.001,66.04,0.852,0.0,
79.0,val,,54.2,1.178,0.0,
80.0,train,0.001,66.84,0.861,0.0,
80.0,val,,52.6,1.168,0.0,
81.0,train,0.0001,66.6,0.847,0.0,
81.0,val,,54.2,1.175,0.0,
82.0,train,0.0001,66.28,0.852,0.0,
82.0,val,,54.2,1.164,0.0,
83.0,train,0.0001,67.28,0.849,0.0,
83.0,val,,55.0,1.165,0.0,
84.0,train,0.0001,66.96,0.846,0.0,
84.0,val,,55.4,1.17,0.0,
85.0,train,0.0001,66.4,0.844,0.0,
85.0,val,,54.2,1.161,0.0,
86.0,train,0.0001,67.6,0.84,0.0,
86.0,val,,54.8,1.17,0.0,
87.0,train,0.0001,65.96,0.848,0.0,
87.0,val,,54.4,1.17,0.0,
88.0,train,0.0001,66.96,0.849,0.0,
