Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:41:45,287 - root - INFO - Finetune stage..."
1.0,train,0.01,19.04,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,19.2,1.61,0.0,
2.0,val,,20.8,1.608,0.0,
3.0,train,0.01,19.76,1.608,0.0,
3.0,val,,23.8,1.603,0.0,
4.0,train,0.01,28.44,1.583,0.0,
4.0,val,,31.8,1.507,0.0,
5.0,train,0.01,32.32,1.491,0.0,
5.0,val,,39.0,1.436,0.0,
6.0,train,0.01,38.32,1.447,0.0,
6.0,val,,40.0,1.375,0.0,
7.0,train,0.01,41.92,1.401,0.0,
7.0,val,,40.2,1.4,0.0,
8.0,train,0.01,40.2,1.38,0.0,
8.0,val,,45.0,1.291,0.0,
9.0,train,0.01,45.52,1.298,0.0,
9.0,val,,45.0,1.426,0.0,
10.0,train,0.01,46.08,1.281,0.0,
10.0,val,,45.8,1.352,0.0,
11.0,train,0.01,47.4,1.256,0.0,
11.0,val,,49.2,1.224,0.0,
12.0,train,0.01,47.36,1.241,0.0,
12.0,val,,48.6,1.231,0.0,
13.0,train,0.01,49.6,1.229,0.0,
13.0,val,,42.6,1.44,0.0,
14.0,train,0.01,50.96,1.2,0.0,
14.0,val,,49.8,1.283,0.0,
15.0,train,0.01,51.16,1.178,0.0,
15.0,val,,51.6,1.257,0.0,
16.0,train,0.01,52.68,1.173,0.0,
16.0,val,,52.2,1.186,0.0,
17.0,train,0.01,54.6,1.158,0.0,
17.0,val,,53.8,1.131,0.0,
18.0,train,0.01,55.4,1.136,0.0,
18.0,val,,54.2,1.158,0.0,
19.0,train,0.01,55.4,1.116,0.0,
19.0,val,,51.6,1.15,0.0,
20.0,train,0.01,57.6,1.084,0.0,
20.0,val,,53.6,1.112,0.0,
21.0,train,0.01,57.68,1.07,0.0,
21.0,val,,54.4,1.235,0.0,
22.0,train,0.01,58.52,1.076,0.0,
22.0,val,,54.4,1.11,0.0,
23.0,train,0.01,58.32,1.068,0.0,
23.0,val,,54.6,1.106,0.0,
24.0,train,0.01,58.8,1.053,0.0,
24.0,val,,55.6,1.106,0.0,
25.0,train,0.01,57.68,1.057,0.0,
25.0,val,,56.4,1.067,0.0,
26.0,train,0.01,60.68,1.01,0.0,
26.0,val,,56.6,1.048,0.0,
27.0,train,0.01,60.6,1.016,0.0,
27.0,val,,57.2,1.068,0.0,
28.0,train,0.01,61.4,1.007,0.0,
28.0,val,,56.6,1.156,0.0,
29.0,train,0.01,60.72,1.0,0.0,
29.0,val,,58.6,1.032,0.0,
30.0,train,0.01,60.72,1.014,0.0,
30.0,val,,59.8,1.04,0.0,
31.0,train,0.01,61.36,0.997,0.0,
31.0,val,,57.8,1.029,0.0,
32.0,train,0.01,61.08,0.99,0.0,
32.0,val,,55.4,1.168,0.0,
33.0,train,0.01,61.04,0.998,0.0,
33.0,val,,54.8,1.158,0.0,
34.0,train,0.01,60.84,0.991,0.0,
34.0,val,,60.4,1.002,0.0,
35.0,train,0.01,60.6,0.976,0.0,
35.0,val,,58.6,1.012,0.0,
36.0,train,0.01,63.68,0.936,0.0,
36.0,val,,60.6,1.037,0.0,
37.0,train,0.01,63.92,0.942,0.0,
37.0,val,,56.8,1.052,0.0,
38.0,train,0.01,63.96,0.941,0.0,
38.0,val,,57.8,1.029,0.0,
39.0,train,0.01,63.56,0.933,0.0,
39.0,val,,59.4,1.075,0.0,
40.0,train,0.01,64.56,0.928,0.0,
40.0,val,,58.4,1.049,0.0,
41.0,train,0.01,62.44,0.943,0.0,
41.0,val,,61.4,1.005,0.0,
42.0,train,0.01,63.8,0.911,0.0,
42.0,val,,61.4,0.97,0.0,
43.0,train,0.01,65.36,0.919,0.0,
43.0,val,,59.0,0.993,0.0,
44.0,train,0.01,64.52,0.9,0.0,
44.0,val,,59.6,1.029,0.0,
45.0,train,0.01,65.68,0.91,0.0,
45.0,val,,59.8,0.984,0.0,
46.0,train,0.01,64.8,0.908,0.0,
46.0,val,,62.6,1.012,0.0,
47.0,train,0.01,64.68,0.904,0.0,
47.0,val,,56.4,1.183,0.0,
48.0,train,0.01,65.4,0.888,0.0,
48.0,val,,57.4,1.05,0.0,
49.0,train,0.01,65.44,0.887,0.0,
49.0,val,,54.6,1.195,0.0,
50.0,train,0.01,65.56,0.895,0.0,
50.0,val,,61.0,1.069,0.0,
51.0,train,0.001,67.76,0.837,0.0,
51.0,val,,63.6,0.948,0.0,
52.0,train,0.001,67.96,0.826,0.0,
52.0,val,,61.8,0.938,0.0,
53.0,train,0.001,69.24,0.804,0.0,
53.0,val,,61.4,0.952,0.0,
54.0,train,0.001,69.32,0.812,0.0,
54.0,val,,63.6,0.953,0.0,
55.0,train,0.001,69.0,0.81,0.0,
55.0,val,,62.6,0.931,0.0,
56.0,train,0.001,70.04,0.791,0.0,
56.0,val,,63.4,0.924,0.0,
57.0,train,0.001,68.92,0.801,0.0,
57.0,val,,62.4,0.925,0.0,
58.0,train,0.001,69.08,0.803,0.0,
58.0,val,,62.0,0.939,0.0,
59.0,train,0.001,69.76,0.8,0.0,
59.0,val,,63.6,0.921,0.0,
60.0,train,0.001,69.68,0.787,0.0,
60.0,val,,63.2,0.917,0.0,
61.0,train,0.001,69.0,0.808,0.0,
61.0,val,,62.8,0.921,0.0,
62.0,train,0.001,69.16,0.793,0.0,
62.0,val,,63.8,0.929,0.0,
63.0,train,0.001,69.96,0.787,0.0,
63.0,val,,61.8,0.943,0.0,
64.0,train,0.001,69.6,0.779,0.0,
64.0,val,,64.0,0.929,0.0,
65.0,train,0.001,70.6,0.776,0.0,
65.0,val,,62.4,0.934,0.0,
66.0,train,0.001,70.92,0.772,0.0,
66.0,val,,64.4,0.918,0.0,
67.0,train,0.001,70.72,0.769,0.0,
67.0,val,,64.4,0.921,0.0,
68.0,train,0.001,70.52,0.784,0.0,
68.0,val,,63.8,0.925,0.0,
69.0,train,0.001,71.88,0.76,0.0,
69.0,val,,63.0,0.926,0.0,
70.0,train,0.001,70.64,0.757,0.0,
70.0,val,,63.6,0.928,0.0,
71.0,train,0.001,70.16,0.773,0.0,
71.0,val,,63.0,0.922,0.0,
72.0,train,0.001,70.56,0.77,0.0,
72.0,val,,64.0,0.927,0.0,
73.0,train,0.001,70.28,0.773,0.0,
73.0,val,,64.4,0.919,0.0,
74.0,train,0.001,70.68,0.769,0.0,
74.0,val,,62.8,0.948,0.0,
75.0,train,0.001,70.44,0.778,0.0,
75.0,val,,63.2,0.935,0.0,
76.0,train,0.001,71.08,0.756,0.0,
76.0,val,,62.0,0.942,0.0,
77.0,train,0.001,69.4,0.781,0.0,
77.0,val,,64.6,0.913,0.0,
78.0,train,0.001,70.24,0.764,0.0,
78.0,val,,63.0,0.922,0.0,
79.0,train,0.001,71.36,0.756,0.0,
79.0,val,,65.4,0.916,0.0,
80.0,train,0.001,70.48,0.755,0.0,
80.0,val,,64.0,0.918,0.0,
81.0,train,0.0001,70.8,0.766,0.0,
81.0,val,,63.6,0.922,0.0,
82.0,train,0.0001,70.28,0.75,0.0,
82.0,val,,64.2,0.919,0.0,
83.0,train,0.0001,71.64,0.747,0.0,
83.0,val,,63.8,0.922,0.0,
