Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:47:09,873 - root - INFO - Finetune stage..."
1.0,train,0.01,19.2,1.61,0.0,
1.0,val,,28.2,1.608,0.0,
2.0,train,0.01,25.8,1.605,0.0,
2.0,val,,24.8,1.581,0.0,
3.0,train,0.01,27.68,1.523,0.0,
3.0,val,,37.2,1.46,0.0,
4.0,train,0.01,43.36,1.357,0.0,
4.0,val,,41.6,1.322,0.0,
5.0,train,0.01,45.96,1.225,0.0,
5.0,val,,35.4,1.353,0.0,
6.0,train,0.01,44.96,1.179,0.0,
6.0,val,,50.4,1.078,0.0,
7.0,train,0.01,49.12,1.136,0.0,
7.0,val,,52.2,1.041,0.0,
8.0,train,0.01,50.04,1.121,0.0,
8.0,val,,53.6,1.062,0.0,
9.0,train,0.01,53.04,1.08,0.0,
9.0,val,,56.0,0.991,0.0,
10.0,train,0.01,54.08,1.059,0.0,
10.0,val,,57.0,0.997,0.0,
11.0,train,0.01,55.44,1.033,0.0,
11.0,val,,57.8,0.952,0.0,
12.0,train,0.01,59.16,0.974,0.0,
12.0,val,,63.6,0.924,0.0,
13.0,train,0.01,60.04,0.96,0.0,
13.0,val,,57.8,0.952,0.0,
14.0,train,0.01,60.4,0.941,0.0,
14.0,val,,59.8,0.894,0.0,
15.0,train,0.01,60.68,0.927,0.0,
15.0,val,,63.2,0.877,0.0,
16.0,train,0.01,60.92,0.907,0.0,
16.0,val,,62.4,0.862,0.0,
17.0,train,0.01,62.76,0.889,0.0,
17.0,val,,62.8,0.86,0.0,
18.0,train,0.01,64.0,0.882,0.0,
18.0,val,,65.0,0.844,0.0,
19.0,train,0.01,64.4,0.86,0.0,
19.0,val,,65.0,0.87,0.0,
20.0,train,0.01,66.0,0.864,0.0,
20.0,val,,66.8,0.84,0.0,
21.0,train,0.01,69.04,0.808,0.0,
21.0,val,,71.0,0.795,0.0,
22.0,train,0.01,68.64,0.801,0.0,
22.0,val,,70.4,0.798,0.0,
23.0,train,0.01,68.48,0.793,0.0,
23.0,val,,70.8,0.753,0.0,
24.0,train,0.01,69.8,0.773,0.0,
24.0,val,,73.8,0.73,0.0,
25.0,train,0.01,68.48,0.776,0.0,
25.0,val,,68.2,0.934,0.0,
26.0,train,0.01,71.24,0.753,0.0,
26.0,val,,72.6,0.711,0.0,
27.0,train,0.01,71.04,0.742,0.0,
27.0,val,,72.6,0.707,0.0,
28.0,train,0.01,71.8,0.711,0.0,
28.0,val,,74.6,0.675,0.0,
29.0,train,0.01,72.68,0.707,0.0,
29.0,val,,70.2,0.851,0.0,
30.0,train,0.01,72.32,0.708,0.0,
30.0,val,,74.2,0.693,0.0,
31.0,train,0.01,72.8,0.7,0.0,
31.0,val,,74.6,0.713,0.0,
32.0,train,0.01,73.96,0.671,0.0,
32.0,val,,72.2,0.787,0.0,
33.0,train,0.01,72.36,0.721,0.0,
33.0,val,,77.6,0.629,0.0,
34.0,train,0.01,74.6,0.666,0.0,
34.0,val,,71.6,0.764,0.0,
35.0,train,0.01,72.88,0.694,0.0,
35.0,val,,77.4,0.651,0.0,
36.0,train,0.01,74.64,0.636,0.0,
36.0,val,,77.0,0.601,0.0,
37.0,train,0.01,74.88,0.655,0.0,
37.0,val,,75.8,0.636,0.0,
38.0,train,0.01,76.56,0.635,0.0,
38.0,val,,76.0,0.632,0.0,
39.0,train,0.01,75.76,0.641,0.0,
39.0,val,,74.6,0.649,0.0,
40.0,train,0.01,75.96,0.607,0.0,
40.0,val,,78.8,0.592,0.0,
41.0,train,0.01,76.0,0.634,0.0,
41.0,val,,77.8,0.591,0.0,
42.0,train,0.01,76.6,0.625,0.0,
42.0,val,,79.6,0.56,0.0,
43.0,train,0.01,77.76,0.605,0.0,
43.0,val,,77.2,0.608,0.0,
44.0,train,0.01,75.84,0.606,0.0,
44.0,val,,80.4,0.559,0.0,
45.0,train,0.01,76.76,0.607,0.0,
45.0,val,,76.6,0.646,0.0,
46.0,train,0.01,77.72,0.586,0.0,
46.0,val,,76.2,0.635,0.0,
47.0,train,0.01,77.6,0.58,0.0,
47.0,val,,75.2,0.653,0.0,
48.0,train,0.01,77.56,0.575,0.0,
48.0,val,,79.4,0.599,0.0,
49.0,train,0.01,76.8,0.598,0.0,
49.0,val,,78.2,0.566,0.0,
50.0,train,0.01,77.8,0.585,0.0,
50.0,val,,80.6,0.558,0.0,
51.0,train,0.001,80.36,0.539,0.0,
51.0,val,,81.0,0.524,0.0,
52.0,train,0.001,81.92,0.503,0.0,
52.0,val,,81.2,0.509,0.0,
53.0,train,0.001,80.76,0.5,0.0,
53.0,val,,81.2,0.518,0.0,
54.0,train,0.001,81.56,0.49,0.0,
54.0,val,,81.2,0.505,0.0,
55.0,train,0.001,81.36,0.478,0.0,
55.0,val,,81.8,0.515,0.0,
56.0,train,0.001,81.24,0.498,0.0,
56.0,val,,81.6,0.528,0.0,
57.0,train,0.001,82.16,0.46,0.0,
57.0,val,,82.8,0.494,0.0,
58.0,train,0.001,82.96,0.467,0.0,
58.0,val,,82.2,0.488,0.0,
59.0,train,0.001,81.56,0.473,0.0,
59.0,val,,81.2,0.5,0.0,
60.0,train,0.001,82.8,0.464,0.0,
60.0,val,,81.6,0.509,0.0,
61.0,train,0.001,82.32,0.467,0.0,
61.0,val,,80.6,0.509,0.0,
62.0,train,0.001,82.48,0.467,0.0,
62.0,val,,82.4,0.495,0.0,
63.0,train,0.001,81.92,0.469,0.0,
63.0,val,,80.8,0.499,0.0,
64.0,train,0.001,82.32,0.475,0.0,
64.0,val,,82.2,0.501,0.0,
65.0,train,0.001,83.24,0.465,0.0,
65.0,val,,80.8,0.505,0.0,
66.0,train,0.001,82.84,0.452,0.0,
66.0,val,,81.4,0.502,0.0,
67.0,train,0.001,82.36,0.456,0.0,
67.0,val,,82.0,0.502,0.0,
68.0,train,0.001,83.08,0.444,0.0,
68.0,val,,81.4,0.506,0.0,
69.0,train,0.001,81.76,0.462,0.0,
69.0,val,,81.6,0.528,0.0,
70.0,train,0.001,82.32,0.45,0.0,
70.0,val,,81.6,0.511,0.0,
71.0,train,0.001,83.36,0.442,0.0,
71.0,val,,80.6,0.507,0.0,
72.0,train,0.001,82.48,0.456,0.0,
72.0,val,,82.2,0.498,0.0,
73.0,train,0.001,82.4,0.462,0.0,
73.0,val,,80.4,0.505,0.0,
74.0,train,0.001,82.96,0.453,0.0,
74.0,val,,81.4,0.497,0.0,
75.0,train,0.001,82.88,0.446,0.0,
75.0,val,,82.0,0.499,0.0,
76.0,train,0.001,82.52,0.456,0.0,
76.0,val,,80.6,0.522,0.0,
77.0,train,0.001,82.12,0.457,0.0,
77.0,val,,81.4,0.506,0.0,
78.0,train,0.001,84.84,0.419,0.0,
78.0,val,,83.2,0.498,0.0,
79.0,train,0.001,83.8,0.443,0.0,
79.0,val,,80.8,0.509,0.0,
80.0,train,0.001,83.64,0.429,0.0,
80.0,val,,81.2,0.497,0.0,
81.0,train,0.0001,83.92,0.428,0.0,
81.0,val,,81.4,0.495,0.0,
82.0,train,0.0001,83.88,0.433,0.0,
82.0,val,,81.0,0.497,0.0,
83.0,train,0.0001,83.76,0.431,0.0,
83.0,val,,80.8,0.505,0.0,
84.0,train,0.0001,84.56,0.414,0.0,
84.0,val,,81.2,0.498,0.0,
85.0,train,0.0001,83.16,0.437,0.0,
85.0,val,,81.0,0.504,0.0,
86.0,train,0.0001,83.32,0.435,0.0,
86.0,val,,80.8,0.499,0.0,
87.0,train,0.0001,82.88,0.433,0.0,
87.0,val,,80.4,0.503,0.0,
88.0,train,0.0001,83.36,0.425,0.0,
88.0,val,,81.4,0.502,0.0,
89.0,train,0.0001,83.96,0.438,0.0,
89.0,val,,81.4,0.506,0.0,
90.0,train,0.0001,83.76,0.428,0.0,
90.0,val,,80.8,0.501,0.0,
91.0,train,0.0001,83.64,0.43,0.0,
91.0,val,,81.6,0.498,0.0,
92.0,train,0.0001,83.32,0.435,0.0,
92.0,val,,81.6,0.505,0.0,
93.0,train,0.0001,84.44,0.419,0.0,
93.0,val,,80.8,0.508,0.0,
94.0,train,0.0001,82.88,0.434,0.0,
94.0,val,,80.0,0.512,0.0,
95.0,train,0.0001,84.92,0.419,0.0,
95.0,val,,81.2,0.497,0.0,
96.0,train,0.0001,84.6,0.415,0.0,
96.0,val,,82.0,0.491,0.0,
97.0,train,0.0001,83.6,0.431,0.0,
97.0,val,,82.2,0.493,0.0,
98.0,train,0.0001,83.24,0.433,0.0,
98.0,val,,83.0,0.49,0.0,
99.0,train,0.0001,83.88,0.423,0.0,
99.0,val,,81.6,0.497,0.0,
100.0,train,0.0001,84.76,0.429,0.0,
100.0,val,,81.6,0.499,0.0,
,info,,,,,"2024-11-14 01:47:53,392 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:47:53,392 - root - INFO - It's time to expand the Network"
,info,,,,,"2024-11-14 01:47:53,392 - root - INFO - Auto expand network"
,info,,,,,"2024-11-14 01:47:55,744 - root - INFO -"
,info,,,,,"2024-11-14 01:47:55,745 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:47:55,745 - root - INFO - Sparsity range: 0.0 -> 0.1"
0.0,val,,81.6,0.499,0.0,
,info,,,,,"2024-11-14 01:47:56,020 - root - INFO -"
1.0,train,0.001,83.08,0.443,0.053,
1.0,val,,81.6,0.496,0.053,
2.0,train,0.001,84.56,0.428,0.086,
2.0,val,,82.0,0.506,0.086,
3.0,train,0.001,83.88,0.435,0.098,
3.0,val,,81.4,0.499,0.098,
4.0,train,0.001,83.88,0.435,0.1,
4.0,val,,82.0,0.502,0.1,
5.0,train,0.001,84.0,0.42,0.1,
5.0,val,,81.2,0.504,0.1,
6.0,train,0.001,82.64,0.442,0.1,
6.0,val,,83.0,0.488,0.1,
7.0,train,0.001,84.52,0.407,0.1,
7.0,val,,82.0,0.493,0.1,
8.0,train,0.001,83.68,0.43,0.1,
8.0,val,,82.2,0.498,0.1,
9.0,train,0.001,83.08,0.435,0.1,
9.0,val,,82.6,0.497,0.1,
10.0,train,0.001,84.16,0.41,0.1,
10.0,val,,82.2,0.503,0.1,
11.0,train,0.001,83.6,0.436,0.1,
11.0,val,,82.4,0.492,0.1,
12.0,train,0.001,83.28,0.431,0.1,
12.0,val,,81.8,0.496,0.1,
13.0,train,0.001,83.48,0.42,0.1,
13.0,val,,82.2,0.499,0.1,
14.0,train,0.001,83.4,0.435,0.1,
14.0,val,,81.2,0.517,0.1,
15.0,train,0.001,84.0,0.426,0.1,
15.0,val,,83.6,0.5,0.1,
16.0,train,0.001,84.16,0.412,0.1,
16.0,val,,82.6,0.488,0.1,
17.0,train,0.001,84.16,0.419,0.1,
17.0,val,,79.8,0.514,0.1,
18.0,train,0.001,84.68,0.405,0.1,
18.0,val,,82.2,0.49,0.1,
19.0,train,0.001,84.4,0.407,0.1,
19.0,val,,82.6,0.498,0.1,
20.0,train,0.001,84.08,0.411,0.1,
20.0,val,,81.6,0.506,0.1,
,info,,,,,"2024-11-14 01:48:04,838 - root - INFO - ----------------"
,info,,,,,"2024-11-14 01:48:07,173 - root - INFO -"
,info,,,,,"2024-11-14 01:48:07,173 - root - INFO - Before pruning:"
,info,,,,,"2024-11-14 01:48:07,173 - root - INFO - Sparsity range: 0.1 -> 0.2"
0.0,val,,81.6,0.506,0.1,
,info,,,,,"2024-11-14 01:48:07,448 - root - INFO -"
1.0,train,0.001,83.92,0.411,0.153,
1.0,val,,81.8,0.497,0.153,
2.0,train,0.001,85.44,0.402,0.186,
2.0,val,,82.2,0.517,0.186,
3.0,train,0.001,84.52,0.409,0.198,
3.0,val,,82.8,0.501,0.198,
4.0,train,0.001,84.6,0.409,0.2,
4.0,val,,81.4,0.51,0.2,
5.0,train,0.001,85.52,0.388,0.2,
5.0,val,,81.4,0.504,0.2,
