epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.6108492612838745,1.60933518409729,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6098157167434692,1.6088762283325195,0.20000000298023224,0.01,0.0,1.0,0.0
3,1.6091786623001099,1.6064198017120361,0.31200000643730164,0.01,0.0,1.0,0.0
4,1.5718389749526978,1.4849441051483154,0.32199999690055847,0.01,0.0,1.0,0.0
5,1.4331872463226318,1.4387882947921753,0.32600000500679016,0.01,0.0,1.0,0.0
6,1.3897773027420044,1.4377188682556152,0.3700000047683716,0.01,0.0,1.0,0.0
7,1.3568966388702393,1.3255163431167603,0.3959999978542328,0.01,0.0,1.0,0.0
8,1.2833051681518555,1.2532085180282593,0.43799999356269836,0.01,0.0,1.0,0.0
9,1.2307794094085693,1.2505236864089966,0.47999998927116394,0.01,0.0,1.0,0.0
10,1.191118597984314,1.347739577293396,0.4480000138282776,0.01,0.0,1.0,0.0
11,1.1458370685577393,1.2044594287872314,0.5120000243186951,0.01,0.0,1.0,0.0
12,1.1129893064498901,1.1391780376434326,0.5339999794960022,0.01,0.0,1.0,0.0
13,1.0900205373764038,1.1632128953933716,0.47999998927116394,0.01,0.0,1.0,0.0
14,1.0633974075317383,1.0422369241714478,0.5920000076293945,0.01,0.0,1.0,0.0
15,1.0446902513504028,1.1523419618606567,0.5699999928474426,0.01,0.0,1.0,0.0
16,1.0258208513259888,1.0290557146072388,0.5920000076293945,0.01,0.0,1.0,0.0
17,0.9954748153686523,1.0221600532531738,0.5839999914169312,0.01,0.0,1.0,0.0
18,0.9612216949462891,0.9539699554443359,0.6240000128746033,0.01,0.0,1.0,0.0
19,0.9632968902587891,0.9304870963096619,0.6359999775886536,0.01,0.0,1.0,0.0
20,0.9537037014961243,0.9354321360588074,0.6399999856948853,0.01,0.0,1.0,0.0
21,0.9174732565879822,0.9584592580795288,0.6340000033378601,0.01,0.0,1.0,0.0
22,0.9184855222702026,0.9122104644775391,0.6460000276565552,0.01,0.0,1.0,0.0
23,0.9121922850608826,0.9429865479469299,0.6420000195503235,0.01,0.0,1.0,0.0
24,0.9119190573692322,0.9110124707221985,0.6539999842643738,0.01,0.0,1.0,0.0
25,0.8781033158302307,0.9116188883781433,0.6579999923706055,0.01,0.0,1.0,0.0
26,0.8585295081138611,0.8979825973510742,0.6539999842643738,0.01,0.0,1.0,0.0
27,0.8743309378623962,0.9548578858375549,0.6420000195503235,0.01,0.0,1.0,0.0
28,0.848523736000061,0.9114490747451782,0.6660000085830688,0.01,0.0,1.0,0.0
29,0.8566281199455261,0.9184947609901428,0.6660000085830688,0.01,0.0,1.0,0.0
30,0.8288416862487793,1.1145551204681396,0.5860000252723694,0.01,0.0,1.0,0.0
31,0.8629491329193115,0.9152251482009888,0.6579999923706055,0.01,0.0,1.0,0.0
32,0.8265299797058105,1.0795069932937622,0.6100000143051147,0.01,0.0,1.0,0.0
33,0.8558489084243774,0.8792913556098938,0.6579999923706055,0.01,0.0,1.0,0.0
34,0.8136704564094543,0.9342416524887085,0.6800000071525574,0.01,0.0,1.0,0.0
35,0.8062841296195984,0.8919435739517212,0.6759999990463257,0.01,0.0,1.0,0.0
36,0.8030761480331421,0.8556418418884277,0.656000018119812,0.01,0.0,1.0,0.0
37,0.7996975183486938,0.9244780540466309,0.6520000100135803,0.01,0.0,1.0,0.0
38,0.812725305557251,0.8985609412193298,0.6840000152587891,0.01,0.0,1.0,0.0
39,0.792684018611908,0.8667029142379761,0.6800000071525574,0.01,0.0,1.0,0.0
40,0.7812172770500183,0.8862844705581665,0.6679999828338623,0.01,0.0,1.0,0.0
41,0.7981449961662292,0.9130198955535889,0.6480000019073486,0.01,0.0,1.0,0.0
42,0.7815027236938477,0.8748518824577332,0.6579999923706055,0.01,0.0,1.0,0.0
43,0.775658369064331,0.9281875491142273,0.6539999842643738,0.01,0.0,1.0,0.0
44,0.7691167593002319,0.9075998663902283,0.6639999747276306,0.01,0.0,1.0,0.0
45,0.7481241226196289,0.8761800527572632,0.6779999732971191,0.01,0.0,1.0,0.0
46,0.7430710196495056,0.9179291725158691,0.6800000071525574,0.01,0.0,1.0,0.0
