epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.610840082168579,1.609313726425171,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6097724437713623,1.6087031364440918,0.21799999475479126,0.01,0.0,1.0,0.0
3,1.608816146850586,1.6050071716308594,0.3580000102519989,0.01,0.0,1.0,0.0
4,1.5574887990951538,1.4235186576843262,0.3479999899864197,0.01,0.0,1.0,0.0
5,1.4328309297561646,1.3941022157669067,0.3580000102519989,0.01,0.0,1.0,0.0
6,1.4072060585021973,1.3837491273880005,0.3959999978542328,0.01,0.0,1.0,0.0
7,1.388346552848816,1.356844425201416,0.41200000047683716,0.01,0.0,1.0,0.0
8,1.3604280948638916,1.3806045055389404,0.39800000190734863,0.01,0.0,1.0,0.0
9,1.337478756904602,1.3634511232376099,0.40400001406669617,0.01,0.0,1.0,0.0
10,1.3150286674499512,1.3294167518615723,0.4560000002384186,0.01,0.0,1.0,0.0
11,1.285796046257019,1.2176035642623901,0.527999997138977,0.01,0.0,1.0,0.0
12,1.2579741477966309,1.6069166660308838,0.4440000057220459,0.01,0.0,1.0,0.0
13,1.2632163763046265,1.200441598892212,0.5419999957084656,0.01,0.0,1.0,0.0
14,1.2332416772842407,1.1764014959335327,0.5479999780654907,0.01,0.0,1.0,0.0
15,1.2230913639068604,1.1514664888381958,0.5799999833106995,0.01,0.0,1.0,0.0
16,1.2107203006744385,1.158565640449524,0.5680000185966492,0.01,0.0,1.0,0.0
17,1.183057427406311,1.2278178930282593,0.5,0.01,0.0,1.0,0.0
18,1.1673067808151245,1.085207223892212,0.5899999737739563,0.01,0.0,1.0,0.0
19,1.1453945636749268,1.0530180931091309,0.5960000157356262,0.01,0.0,1.0,0.0
20,1.1681071519851685,1.026053786277771,0.5979999899864197,0.01,0.0,1.0,0.0
21,1.114798903465271,1.011566162109375,0.6259999871253967,0.01,0.0,1.0,0.0
22,1.1185078620910645,1.025722861289978,0.6039999723434448,0.01,0.0,1.0,0.0
23,1.0947433710098267,1.004433274269104,0.6240000128746033,0.01,0.0,1.0,0.0
24,1.109145164489746,0.9822605848312378,0.6399999856948853,0.01,0.0,1.0,0.0
25,1.0773576498031616,0.9955253005027771,0.6399999856948853,0.01,0.0,1.0,0.0
26,1.068567156791687,1.0836668014526367,0.5720000267028809,0.01,0.0,1.0,0.0
27,1.057971715927124,0.9517583250999451,0.6420000195503235,0.01,0.0,1.0,0.0
28,1.062872052192688,0.9407850503921509,0.6539999842643738,0.01,0.0,1.0,0.0
