epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.6108736991882324,1.6094211339950562,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6100000143051147,1.6092305183410645,0.20000000298023224,0.01,0.0,1.0,0.0
3,1.6101510524749756,1.6090153455734253,0.20000000298023224,0.01,0.0,1.0,0.0
4,1.6095669269561768,1.6084638833999634,0.20000000298023224,0.01,0.0,1.0,0.0
5,1.6083378791809082,1.6058030128479004,0.28600001335144043,0.01,0.0,1.0,0.0
6,1.5977376699447632,1.5754127502441406,0.35199999809265137,0.01,0.0,1.0,0.0
7,1.487104058265686,1.3594614267349243,0.4560000002384186,0.01,0.0,1.0,0.0
8,1.2984036207199097,1.2202308177947998,0.4819999933242798,0.01,0.0,1.0,0.0
9,1.1911976337432861,1.3376129865646362,0.46799999475479126,0.01,0.0,1.0,0.0
10,1.1617224216461182,1.0182199478149414,0.5860000252723694,0.01,0.0,1.0,0.0
11,1.0325508117675781,1.123275876045227,0.5640000104904175,0.01,0.0,1.0,0.0
12,0.9964032173156738,0.9855488538742065,0.6019999980926514,0.01,0.0,1.0,0.0
13,0.9549834132194519,1.023703932762146,0.578000009059906,0.01,0.0,1.0,0.0
14,0.9301992058753967,1.0157227516174316,0.6140000224113464,0.01,0.0,1.0,0.0
15,0.9094849824905396,0.9152586460113525,0.6359999775886536,0.01,0.0,1.0,0.0
16,0.8885693550109863,0.8944615721702576,0.6460000276565552,0.01,0.0,1.0,0.0
17,0.8868954181671143,0.8879255652427673,0.6359999775886536,0.01,0.0,1.0,0.0
18,0.8648601770401001,0.8752493858337402,0.656000018119812,0.01,0.0,1.0,0.0
19,0.8502569198608398,1.0168871879577637,0.6359999775886536,0.01,0.0,1.0,0.0
20,0.8641461133956909,0.9884594678878784,0.6399999856948853,0.01,0.0,1.0,0.0
21,0.8380963802337646,0.8784832954406738,0.6639999747276306,0.01,0.0,1.0,0.0
22,0.8322477340698242,0.8670925498008728,0.6779999732971191,0.01,0.0,1.0,0.0
23,0.82968670129776,0.8621049523353577,0.6840000152587891,0.01,0.0,1.0,0.0
24,0.8234771490097046,0.8203120231628418,0.7120000123977661,0.01,0.0,1.0,0.0
25,0.7773786783218384,0.7960328459739685,0.6859999895095825,0.01,0.0,1.0,0.0
26,0.802119255065918,0.931625247001648,0.628000020980835,0.01,0.0,1.0,0.0
27,0.8180475831031799,0.8575831055641174,0.6759999990463257,0.01,0.0,1.0,0.0
28,0.7747301459312439,0.8968262076377869,0.6539999842643738,0.01,0.0,1.0,0.0
29,0.7820462584495544,0.7672363519668579,0.7120000123977661,0.01,0.0,1.0,0.0
30,0.7652782201766968,1.0858122110366821,0.6019999980926514,0.01,0.0,1.0,0.0
31,0.8287125825881958,0.9107126593589783,0.6679999828338623,0.01,0.0,1.0,0.0
32,0.7960225343704224,0.8135231733322144,0.7099999785423279,0.01,0.0,1.0,0.0
33,0.7492340803146362,0.8659869432449341,0.6880000233650208,0.01,0.0,1.0,0.0
34,0.7347040772438049,0.9138317704200745,0.6819999814033508,0.01,0.0,1.0,0.0
35,0.7619946599006653,0.7795644402503967,0.6980000138282776,0.01,0.0,1.0,0.0
36,0.729692280292511,1.1143726110458374,0.6000000238418579,0.01,0.0,1.0,0.0
37,0.7489640712738037,0.8326760530471802,0.6880000233650208,0.01,0.0,1.0,0.0
38,0.7324507832527161,0.916979968547821,0.6700000166893005,0.01,0.0,1.0,0.0
39,0.7751247882843018,0.7882506847381592,0.7120000123977661,0.01,0.0,1.0,0.0
40,0.736054003238678,0.8847076296806335,0.6359999775886536,0.01,0.0,1.0,0.0
41,0.7598927021026611,0.8800339698791504,0.699999988079071,0.01,0.0,1.0,0.0
42,0.7238355875015259,0.7495899796485901,0.7200000286102295,0.01,0.0,1.0,0.0
43,0.6917202472686768,0.8353647589683533,0.6980000138282776,0.01,0.0,1.0,0.0
44,0.7058181166648865,0.7119960784912109,0.7480000257492065,0.01,0.0,1.0,0.0
45,0.6858175992965698,0.8314084410667419,0.7059999704360962,0.01,0.0,1.0,0.0
46,0.6882898211479187,0.8392736911773682,0.7039999961853027,0.01,0.0,1.0,0.0
47,0.686819851398468,0.8424959778785706,0.7080000042915344,0.01,0.0,1.0,0.0
48,0.6926514506340027,1.0486881732940674,0.6079999804496765,0.01,0.0,1.0,0.0
49,0.7498465776443481,0.8738071322441101,0.6520000100135803,0.01,0.0,1.0,0.0
50,0.6824207901954651,0.763945460319519,0.7440000176429749,0.001,0.0,1.0,0.0
51,0.612463653087616,0.713731586933136,0.7459999918937683,0.001,0.0,1.0,0.0
52,0.5705597400665283,0.710749089717865,0.7519999742507935,0.001,0.0,1.0,0.0
53,0.5553290843963623,0.7062132358551025,0.7519999742507935,0.001,0.0,1.0,0.0
54,0.5668452978134155,0.7210113406181335,0.7419999837875366,0.001,0.0,1.0,0.0
55,0.5571388006210327,0.6948764324188232,0.7519999742507935,0.001,0.0,1.0,0.0
56,0.5474218130111694,0.7019076347351074,0.7440000176429749,0.001,0.0,1.0,0.0
57,0.5492964386940002,0.7127070426940918,0.75,0.001,0.0,1.0,0.0
58,0.5355932116508484,0.7021920084953308,0.7620000243186951,0.001,0.0,1.0,0.0
59,0.5527163147926331,0.7036015391349792,0.75,0.001,0.0,1.0,0.0
60,0.5438989996910095,0.7193842530250549,0.7459999918937683,0.001,0.0,1.0,0.0
61,0.5189787745475769,0.71378093957901,0.7559999823570251,0.001,0.0,1.0,0.0
62,0.5265458226203918,0.7088382244110107,0.7559999823570251,0.001,0.0,1.0,0.0
63,0.5087880492210388,0.6987937688827515,0.7540000081062317,0.001,0.0,1.0,0.0
64,0.513574481010437,0.7243102788925171,0.7459999918937683,0.001,0.0,1.0,0.0
65,0.5350318551063538,0.748073935508728,0.7300000190734863,0.001,0.0,1.0,0.0
66,0.5215587615966797,0.7021213173866272,0.7480000257492065,0.001,0.0,1.0,0.0
67,0.5139228701591492,0.7107791900634766,0.7620000243186951,0.001,0.0,1.0,0.0
