epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.6107609272003174,1.609105110168457,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.60909104347229,1.6064414978027344,0.20600000023841858,0.01,0.0,1.0,0.0
3,1.5644816160202026,1.470623254776001,0.3720000088214874,0.01,0.0,1.0,0.0
4,1.397253394126892,1.3183071613311768,0.44999998807907104,0.01,0.0,1.0,0.0
5,1.2565374374389648,1.2260676622390747,0.5040000081062317,0.01,0.0,1.0,0.0
6,1.147216558456421,1.2054485082626343,0.5580000281333923,0.01,0.0,1.0,0.0
7,1.0927497148513794,1.0722301006317139,0.5860000252723694,0.01,0.0,1.0,0.0
8,1.0547953844070435,1.0446195602416992,0.6019999980926514,0.01,0.0,1.0,0.0
9,1.0296673774719238,0.9888600707054138,0.6240000128746033,0.01,0.0,1.0,0.0
10,1.0043470859527588,1.133845329284668,0.5580000281333923,0.01,0.0,1.0,0.0
11,0.9804654121398926,1.0021286010742188,0.621999979019165,0.01,0.0,1.0,0.0
12,0.9386374950408936,0.9628913998603821,0.6460000276565552,0.01,0.0,1.0,0.0
13,0.929161548614502,1.019153118133545,0.6240000128746033,0.01,0.0,1.0,0.0
14,0.9156352281570435,0.9255678653717041,0.6499999761581421,0.01,0.0,1.0,0.0
15,0.8778553009033203,0.8501688241958618,0.6660000085830688,0.01,0.0,1.0,0.0
16,0.8672297596931458,0.8797482848167419,0.6899999976158142,0.01,0.0,1.0,0.0
17,0.8322789072990417,0.9838711023330688,0.6779999732971191,0.01,0.0,1.0,0.0
18,0.8318077921867371,0.8334166407585144,0.7139999866485596,0.01,0.0,1.0,0.0
19,0.8112930059432983,0.7943242192268372,0.6959999799728394,0.01,0.0,1.0,0.0
20,0.7884238362312317,0.9309034943580627,0.6439999938011169,0.01,0.0,1.0,0.0
21,0.817866861820221,0.9314737319946289,0.6919999718666077,0.01,0.0,1.0,0.0
22,0.7839702367782593,0.7678176164627075,0.7279999852180481,0.01,0.0,1.0,0.0
23,0.7800264954566956,0.7952790260314941,0.7200000286102295,0.01,0.0,1.0,0.0
24,0.7415352463722229,0.7959362268447876,0.7279999852180481,0.01,0.0,1.0,0.0
25,0.7792591452598572,0.7968639135360718,0.7099999785423279,0.01,0.0,1.0,0.0
26,0.779118001461029,0.7581043839454651,0.7239999771118164,0.01,0.0,1.0,0.0
27,0.7290177941322327,0.7822835445404053,0.7179999947547913,0.01,0.0,1.0,0.0
28,0.7061943411827087,0.7303161025047302,0.7319999933242798,0.01,0.0,1.0,0.0
29,0.6884779334068298,0.730552613735199,0.7260000109672546,0.01,0.0,1.0,0.0
30,0.7097832560539246,0.7893797159194946,0.699999988079071,0.01,0.0,1.0,0.0
31,0.6846763491630554,0.6991720795631409,0.7379999756813049,0.01,0.0,1.0,0.0
32,0.7038155794143677,0.7151548266410828,0.7480000257492065,0.01,0.0,1.0,0.0
33,0.6967697143554688,1.0779423713684082,0.5699999928474426,0.01,0.0,1.0,0.0
34,0.816443681716919,0.7398124933242798,0.7440000176429749,0.01,0.0,1.0,0.0
35,0.7082498073577881,0.728594958782196,0.7279999852180481,0.01,0.0,1.0,0.0
36,0.6887810826301575,0.7654994130134583,0.7379999756813049,0.01,0.0,1.0,0.0
37,0.6565868854522705,0.6661474704742432,0.7580000162124634,0.01,0.0,1.0,0.0
38,0.6472151279449463,0.7857911586761475,0.7059999704360962,0.01,0.0,1.0,0.0
39,0.676494836807251,0.667173445224762,0.7680000066757202,0.01,0.0,1.0,0.0
40,0.6524885296821594,0.827255368232727,0.7179999947547913,0.01,0.0,1.0,0.0
41,0.638228714466095,0.6751977801322937,0.7620000243186951,0.01,0.0,1.0,0.0
42,0.6204665303230286,0.7052956819534302,0.7599999904632568,0.01,0.0,1.0,0.0
43,0.6029523015022278,0.740769624710083,0.75,0.01,0.0,1.0,0.0
44,0.6159024834632874,0.6401433944702148,0.7879999876022339,0.01,0.0,1.0,0.0
45,0.5894702076911926,0.6982184052467346,0.7599999904632568,0.01,0.0,1.0,0.0
46,0.6282784938812256,0.6980432271957397,0.7440000176429749,0.01,0.0,1.0,0.0
47,0.5873262286186218,0.7401721477508545,0.75,0.01,0.0,1.0,0.0
48,0.5968356728553772,0.767363965511322,0.7300000190734863,0.01,0.0,1.0,0.0
49,0.6044888496398926,0.6217651963233948,0.7739999890327454,0.01,0.0,1.0,0.0
50,0.5927830338478088,0.6866424679756165,0.7639999985694885,0.001,0.0,1.0,0.0
51,0.49881869554519653,0.6163897514343262,0.7900000214576721,0.001,0.0,1.0,0.0
52,0.4939771890640259,0.6152640581130981,0.7919999957084656,0.001,0.0,1.0,0.0
53,0.4702216386795044,0.6195195317268372,0.7879999876022339,0.001,0.0,1.0,0.0
54,0.4752345085144043,0.5984763503074646,0.7860000133514404,0.001,0.0,1.0,0.0
55,0.4590222239494324,0.6049531102180481,0.7820000052452087,0.001,0.0,1.0,0.0
56,0.4496075212955475,0.6127622127532959,0.7900000214576721,0.001,0.0,1.0,0.0
57,0.46686068177223206,0.6067916750907898,0.7799999713897705,0.001,0.0,1.0,0.0
58,0.454435795545578,0.6040252447128296,0.7960000038146973,0.001,0.0,1.0,0.0
59,0.4630453586578369,0.6091334223747253,0.7879999876022339,0.001,0.0,1.0,0.0
60,0.4561064839363098,0.6108422875404358,0.7940000295639038,0.001,0.0,1.0,0.0
61,0.43570712208747864,0.604611873626709,0.7839999794960022,0.001,0.0,1.0,0.0
62,0.44497931003570557,0.5936439037322998,0.7919999957084656,0.001,0.0,1.0,0.0
63,0.44411376118659973,0.6011977195739746,0.7940000295639038,0.001,0.0,1.0,0.0
