epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.6108815670013428,1.6094530820846558,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6100584268569946,1.609327793121338,0.20000000298023224,0.01,0.0,1.0,0.0
3,1.6102962493896484,1.6092450618743896,0.20000000298023224,0.01,0.0,1.0,0.0
4,1.609894871711731,1.6090127229690552,0.20000000298023224,0.01,0.0,1.0,0.0
5,1.6094989776611328,1.6080402135849,0.26600000262260437,0.01,0.0,1.0,0.0
6,1.6061807870864868,1.5977771282196045,0.2540000081062317,0.01,0.0,1.0,0.0
7,1.5752148628234863,1.5533392429351807,0.29600000381469727,0.01,0.0,1.0,0.0
8,1.5349879264831543,1.5263233184814453,0.32600000500679016,0.01,0.0,1.0,0.0
9,1.5130243301391602,1.5777519941329956,0.2919999957084656,0.01,0.0,1.0,0.0
10,1.4900405406951904,1.4611449241638184,0.34200000762939453,0.01,0.0,1.0,0.0
11,1.4393091201782227,1.423783540725708,0.3799999952316284,0.01,0.0,1.0,0.0
12,1.3958044052124023,1.447484016418457,0.36399999260902405,0.01,0.0,1.0,0.0
13,1.3876173496246338,1.411016583442688,0.41200000047683716,0.01,0.0,1.0,0.0
14,1.3710527420043945,1.4032981395721436,0.38600000739097595,0.01,0.0,1.0,0.0
15,1.3649886846542358,1.35561203956604,0.3919999897480011,0.01,0.0,1.0,0.0
16,1.3367823362350464,1.3333810567855835,0.4320000112056732,0.01,0.0,1.0,0.0
17,1.318392038345337,1.3065773248672485,0.4320000112056732,0.01,0.0,1.0,0.0
18,1.2903245687484741,1.3219373226165771,0.4580000042915344,0.01,0.0,1.0,0.0
19,1.2675343751907349,1.3598875999450684,0.4320000112056732,0.01,0.0,1.0,0.0
20,1.2850857973098755,1.2818520069122314,0.4620000123977661,0.01,0.0,1.0,0.0
21,1.2266618013381958,1.3815531730651855,0.4580000042915344,0.01,0.0,1.0,0.0
22,1.2146004438400269,1.244234323501587,0.4699999988079071,0.01,0.0,1.0,0.0
23,1.2093513011932373,1.2597373723983765,0.5120000243186951,0.01,0.0,1.0,0.0
24,1.196267008781433,1.6306097507476807,0.40799999237060547,0.01,0.0,1.0,0.0
25,1.2077683210372925,1.167942762374878,0.5320000052452087,0.01,0.0,1.0,0.0
26,1.1610791683197021,1.2028990983963013,0.515999972820282,0.01,0.0,1.0,0.0
27,1.1615855693817139,1.175600528717041,0.5099999904632568,0.01,0.0,1.0,0.0
28,1.1464775800704956,1.182322382926941,0.5199999809265137,0.01,0.0,1.0,0.0
29,1.1238305568695068,1.2012726068496704,0.5320000052452087,0.01,0.0,1.0,0.0
