epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.6108741760253906,1.6094238758087158,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6100233793258667,1.6092607975006104,0.20000000298023224,0.01,0.0,1.0,0.0
3,1.6102125644683838,1.60908842086792,0.20200000703334808,0.01,0.0,1.0,0.0
4,1.6096303462982178,1.6084975004196167,0.20200000703334808,0.01,0.0,1.0,0.0
5,1.608196496963501,1.6044310331344604,0.28999999165534973,0.01,0.0,1.0,0.0
6,1.5702857971191406,1.508449912071228,0.3179999887943268,0.01,0.0,1.0,0.0
7,1.449144959449768,1.4395043849945068,0.36000001430511475,0.01,0.0,1.0,0.0
8,1.4197402000427246,1.4580105543136597,0.39399999380111694,0.01,0.0,1.0,0.0
9,1.4044562578201294,1.4297096729278564,0.38600000739097595,0.01,0.0,1.0,0.0
10,1.384460210800171,1.4270395040512085,0.4000000059604645,0.01,0.0,1.0,0.0
11,1.3745661973953247,1.4654109477996826,0.3720000088214874,0.01,0.0,1.0,0.0
12,1.363525390625,1.4204360246658325,0.4099999964237213,0.01,0.0,1.0,0.0
13,1.364983081817627,1.3882977962493896,0.3959999978542328,0.01,0.0,1.0,0.0
14,1.3576680421829224,1.401558518409729,0.4000000059604645,0.01,0.0,1.0,0.0
15,1.3624193668365479,1.372375249862671,0.4099999964237213,0.01,0.0,1.0,0.0
16,1.3397350311279297,1.37638258934021,0.39800000190734863,0.01,0.0,1.0,0.0
17,1.3308782577514648,1.4002634286880493,0.38199999928474426,0.01,0.0,1.0,0.0
18,1.3231909275054932,1.3438585996627808,0.4180000126361847,0.01,0.0,1.0,0.0
19,1.3172167539596558,1.3551177978515625,0.4180000126361847,0.01,0.0,1.0,0.0
20,1.316846251487732,1.3435986042022705,0.4359999895095825,0.01,0.0,1.0,0.0
21,1.2795746326446533,1.375321388244629,0.4020000100135803,0.01,0.0,1.0,0.0
22,1.2934931516647339,1.3447144031524658,0.46799999475479126,0.01,0.0,1.0,0.0
23,1.272969365119934,1.3239805698394775,0.4480000138282776,0.01,0.0,1.0,0.0
24,1.2669532299041748,1.341789722442627,0.4699999988079071,0.01,0.0,1.0,0.0
25,1.2517244815826416,1.4243921041488647,0.44600000977516174,0.01,0.0,1.0,0.0
26,1.2374908924102783,1.3753068447113037,0.4620000123977661,0.01,0.0,1.0,0.0
27,1.2529596090316772,1.3217602968215942,0.49000000953674316,0.01,0.0,1.0,0.0
28,1.235169529914856,1.3131239414215088,0.4399999976158142,0.01,0.0,1.0,0.0
29,1.2264710664749146,1.3141669034957886,0.47999998927116394,0.01,0.0,1.0,0.0
30,1.2352062463760376,1.287821650505066,0.48399999737739563,0.01,0.0,1.0,0.0
31,1.218473196029663,1.277193307876587,0.47999998927116394,0.01,0.0,1.0,0.0
32,1.2072160243988037,1.2908049821853638,0.492000013589859,0.01,0.0,1.0,0.0
33,1.216676115989685,1.3116536140441895,0.46000000834465027,0.01,0.0,1.0,0.0
34,1.2040269374847412,1.2740174531936646,0.4860000014305115,0.01,0.0,1.0,0.0
35,1.213192105293274,1.291560411453247,0.46799999475479126,0.01,0.0,1.0,0.0
36,1.1715893745422363,1.3123438358306885,0.48399999737739563,0.01,0.0,1.0,0.0
37,1.179849624633789,1.2573388814926147,0.48399999737739563,0.01,0.0,1.0,0.0
38,1.1787488460540771,1.237248420715332,0.49399998784065247,0.01,0.0,1.0,0.0
39,1.1684603691101074,1.264800786972046,0.5120000243186951,0.01,0.0,1.0,0.0
40,1.1438244581222534,1.3388347625732422,0.49000000953674316,0.01,0.0,1.0,0.0
41,1.1605836153030396,1.2698851823806763,0.4880000054836273,0.01,0.0,1.0,0.0
42,1.1505534648895264,1.3195935487747192,0.49399998784065247,0.01,0.0,1.0,0.0
43,1.1491351127624512,1.2468856573104858,0.49799999594688416,0.01,0.0,1.0,0.0
44,1.136164903640747,1.2429991960525513,0.5040000081062317,0.01,0.0,1.0,0.0
45,1.132392406463623,1.2669953107833862,0.49000000953674316,0.01,0.0,1.0,0.0
46,1.1235359907150269,1.2645740509033203,0.5,0.01,0.0,1.0,0.0
47,1.1178213357925415,1.3194189071655273,0.47999998927116394,0.01,0.0,1.0,0.0
