Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,20.92,1.61,0.0
1,val,,24.6,1.607,0.0
2,train,0.01,30.32,1.59,0.0
2,val,,31.6,1.491,0.0
3,train,0.01,37.2,1.367,0.0
3,val,,41.4,1.284,0.0
4,train,0.01,45.28,1.243,0.0
4,val,,46.2,1.167,0.0
5,train,0.01,51.4,1.175,0.0
5,val,,53.4,1.167,0.0
6,train,0.01,55.2,1.113,0.0
6,val,,57.0,1.027,0.0
7,train,0.01,58.4,1.055,0.0
7,val,,56.2,1.066,0.0
8,train,0.01,60.96,1.028,0.0
8,val,,61.8,1.0,0.0
9,train,0.01,62.04,0.99,0.0
9,val,,61.8,0.999,0.0
10,train,0.01,63.32,0.971,0.0
10,val,,60.4,1.047,0.0
11,train,0.01,64.16,0.948,0.0
11,val,,63.2,0.999,0.0
12,train,0.01,65.4,0.922,0.0
12,val,,65.6,0.951,0.0
13,train,0.01,65.76,0.901,0.0
13,val,,62.6,0.955,0.0
14,train,0.01,64.08,0.923,0.0
14,val,,69.2,0.854,0.0
15,train,0.01,66.92,0.891,0.0
15,val,,64.6,0.964,0.0
16,train,0.01,67.2,0.878,0.0
16,val,,67.8,0.845,0.0
17,train,0.01,66.8,0.865,0.0
17,val,,67.8,0.842,0.0
18,train,0.01,66.84,0.867,0.0
18,val,,66.4,0.862,0.0
19,train,0.01,69.28,0.834,0.0
19,val,,68.2,0.841,0.0
20,train,0.01,68.8,0.827,0.0
20,val,,66.8,0.885,0.0
21,train,0.01,68.24,0.817,0.0
21,val,,70.0,0.811,0.0
22,train,0.01,68.48,0.824,0.0
22,val,,69.0,0.786,0.0
23,train,0.01,69.48,0.796,0.0
23,val,,68.8,0.828,0.0
24,train,0.01,70.36,0.78,0.0
24,val,,68.8,0.798,0.0
25,train,0.01,69.16,0.806,0.0
25,val,,70.2,0.809,0.0
26,train,0.01,70.24,0.771,0.0
26,val,,70.8,0.784,0.0
27,train,0.01,72.28,0.757,0.0
27,val,,69.0,0.829,0.0
28,train,0.01,71.64,0.763,0.0
28,val,,67.8,0.872,0.0
29,train,0.01,70.84,0.755,0.0
29,val,,70.2,0.802,0.0
30,train,0.01,70.76,0.765,0.0
30,val,,68.6,0.775,0.0
31,train,0.01,71.76,0.733,0.0
31,val,,72.4,0.786,0.0
32,train,0.01,71.96,0.737,0.0
32,val,,68.4,0.826,0.0
33,train,0.01,71.48,0.73,0.0
33,val,,68.8,0.864,0.0
34,train,0.01,72.0,0.727,0.0
34,val,,69.4,0.819,0.0
35,train,0.01,71.44,0.741,0.0
35,val,,69.0,0.819,0.0
36,train,0.01,73.76,0.697,0.0
36,val,,69.2,0.851,0.0
37,train,0.01,73.96,0.7,0.0
37,val,,68.6,0.812,0.0
38,train,0.01,71.8,0.743,0.0
38,val,,69.4,0.805,0.0
39,train,0.01,73.64,0.698,0.0
39,val,,69.4,0.854,0.0
40,train,0.01,73.36,0.68,0.0
40,val,,68.6,0.842,0.0
41,train,0.01,72.88,0.698,0.0
41,val,,69.4,0.778,0.0
42,train,0.01,73.8,0.7,0.0
42,val,,68.4,0.825,0.0
43,train,0.01,74.48,0.674,0.0
43,val,,68.2,0.858,0.0
44,train,0.01,74.96,0.678,0.0
44,val,,68.0,0.847,0.0
45,train,0.01,75.28,0.676,0.0
45,val,,70.4,0.812,0.0
46,train,0.01,73.96,0.673,0.0
46,val,,71.0,0.777,0.0
47,train,0.01,75.52,0.654,0.0
47,val,,70.2,0.817,0.0
48,train,0.01,76.0,0.643,0.0
48,val,,70.8,0.787,0.0
49,train,0.01,75.04,0.666,0.0
49,val,,68.2,0.829,0.0
50,train,0.01,74.64,0.67,0.0
50,val,,70.0,0.839,0.0
51,train,0.001,77.96,0.595,0.0
51,val,,68.8,0.795,0.0
52,train,0.001,78.52,0.579,0.0
52,val,,69.8,0.772,0.0
53,train,0.001,78.32,0.584,0.0
53,val,,70.8,0.765,0.0
54,train,0.001,78.76,0.559,0.0
54,val,,71.6,0.761,0.0
55,train,0.001,78.76,0.556,0.0
55,val,,71.4,0.766,0.0
56,train,0.001,78.16,0.56,0.0
56,val,,71.0,0.757,0.0
57,train,0.001,79.28,0.554,0.0
57,val,,70.8,0.773,0.0
58,train,0.001,80.0,0.535,0.0
58,val,,71.8,0.759,0.0
59,train,0.001,79.92,0.544,0.0
59,val,,71.2,0.757,0.0
60,train,0.001,80.08,0.545,0.0
60,val,,72.2,0.756,0.0
61,train,0.001,79.92,0.543,0.0
61,val,,72.2,0.75,0.0
62,train,0.001,79.96,0.538,0.0
62,val,,72.0,0.781,0.0
63,train,0.001,79.28,0.55,0.0
63,val,,72.0,0.755,0.0
64,train,0.001,80.28,0.519,0.0
64,val,,71.8,0.77,0.0
65,train,0.001,79.44,0.538,0.0
65,val,,72.6,0.755,0.0
66,train,0.001,79.72,0.542,0.0
66,val,,72.4,0.76,0.0
67,train,0.001,81.52,0.512,0.0
67,val,,73.0,0.779,0.0
68,train,0.001,79.16,0.543,0.0
68,val,,70.6,0.769,0.0
69,train,0.001,80.56,0.527,0.0
69,val,,72.2,0.751,0.0
70,train,0.001,80.2,0.521,0.0
70,val,,72.0,0.777,0.0
71,train,0.001,79.96,0.54,0.0
71,val,,72.2,0.77,0.0
72,train,0.001,80.96,0.527,0.0
72,val,,72.6,0.774,0.0
73,train,0.001,80.76,0.508,0.0
73,val,,72.2,0.767,0.0
74,train,0.001,80.4,0.513,0.0
74,val,,71.0,0.763,0.0
75,train,0.001,80.6,0.519,0.0
75,val,,71.8,0.779,0.0
76,train,0.001,82.0,0.492,0.0
76,val,,73.0,0.775,0.0
77,train,0.001,80.84,0.515,0.0
77,val,,71.8,0.771,0.0
78,train,0.001,80.76,0.523,0.0
78,val,,72.6,0.763,0.0
79,train,0.001,81.92,0.498,0.0
79,val,,73.0,0.774,0.0
80,train,0.001,80.36,0.516,0.0
80,val,,72.6,0.782,0.0
81,train,0.0001,81.08,0.502,0.0
81,val,,73.2,0.783,0.0
82,train,0.0001,81.84,0.491,0.0
82,val,,73.2,0.766,0.0
83,train,0.0001,81.96,0.49,0.0
83,val,,73.4,0.771,0.0
84,train,0.0001,81.72,0.499,0.0
84,val,,73.0,0.759,0.0
85,train,0.0001,81.24,0.495,0.0
85,val,,72.2,0.757,0.0
86,train,0.0001,81.0,0.501,0.0
86,val,,73.8,0.77,0.0
87,train,0.0001,81.88,0.478,0.0
87,val,,73.0,0.769,0.0
88,train,0.0001,81.52,0.493,0.0
88,val,,73.4,0.785,0.0
89,train,0.0001,82.04,0.486,0.0
89,val,,73.4,0.779,0.0
90,train,0.0001,81.24,0.494,0.0
90,val,,73.2,0.771,0.0
91,train,0.0001,81.12,0.489,0.0
91,val,,72.6,0.763,0.0
92,train,0.0001,81.72,0.487,0.0
92,val,,73.0,0.772,0.0
93,train,0.0001,81.2,0.494,0.0
93,val,,73.0,0.77,0.0
94,train,0.0001,82.68,0.483,0.0
94,val,,71.4,0.771,0.0
95,train,0.0001,81.76,0.496,0.0
95,val,,72.4,0.762,0.0
96,train,0.0001,81.96,0.484,0.0
96,val,,73.0,0.786,0.0
97,train,0.0001,81.48,0.493,0.0
97,val,,72.8,0.776,0.0
98,train,0.0001,81.96,0.485,0.0
98,val,,73.0,0.757,0.0
99,train,0.0001,81.84,0.497,0.0
99,val,,73.0,0.761,0.0
100,train,0.0001,80.96,0.496,0.0
100,val,,73.0,0.776,0.0
