Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.92,1.61,0.0
1,val,,20.0,1.608,0.0
2,train,0.01,25.04,1.605,0.0
2,val,,32.2,1.589,0.0
3,train,0.01,38.4,1.492,0.0
3,val,,48.6,1.383,0.0
4,train,0.01,46.32,1.345,0.0
4,val,,53.0,1.194,0.0
5,train,0.01,50.12,1.22,0.0
5,val,,47.0,1.205,0.0
6,train,0.01,50.96,1.196,0.0
6,val,,54.6,1.076,0.0
7,train,0.01,52.24,1.156,0.0
7,val,,53.2,1.107,0.0
8,train,0.01,51.84,1.162,0.0
8,val,,58.2,1.046,0.0
9,train,0.01,55.2,1.114,0.0
9,val,,60.0,1.029,0.0
10,train,0.01,55.72,1.104,0.0
10,val,,58.0,1.015,0.0
11,train,0.01,56.48,1.075,0.0
11,val,,54.0,1.118,0.0
12,train,0.01,56.16,1.067,0.0
12,val,,58.0,1.041,0.0
13,train,0.01,57.0,1.049,0.0
13,val,,59.4,0.994,0.0
14,train,0.01,56.36,1.067,0.0
14,val,,60.8,1.035,0.0
15,train,0.01,57.56,1.044,0.0
15,val,,59.2,0.999,0.0
16,train,0.01,57.04,1.061,0.0
16,val,,56.8,1.053,0.0
17,train,0.01,58.0,1.028,0.0
17,val,,59.2,1.024,0.0
18,train,0.01,56.56,1.035,0.0
18,val,,60.4,0.992,0.0
19,train,0.01,58.8,1.008,0.0
19,val,,61.0,1.005,0.0
20,train,0.01,60.92,0.992,0.0
20,val,,63.2,0.933,0.0
21,train,0.01,60.76,0.975,0.0
21,val,,60.8,0.967,0.0
22,train,0.01,60.76,0.965,0.0
22,val,,62.6,0.955,0.0
23,train,0.01,60.8,0.969,0.0
23,val,,62.8,0.949,0.0
24,train,0.01,61.28,0.957,0.0
24,val,,61.0,0.951,0.0
25,train,0.01,61.2,0.952,0.0
25,val,,59.4,1.006,0.0
26,train,0.01,61.84,0.939,0.0
26,val,,61.4,0.959,0.0
27,train,0.01,62.92,0.928,0.0
27,val,,66.2,0.868,0.0
28,train,0.01,62.36,0.923,0.0
28,val,,62.0,0.937,0.0
29,train,0.01,63.76,0.903,0.0
29,val,,61.4,0.912,0.0
30,train,0.01,63.52,0.901,0.0
30,val,,68.4,0.863,0.0
31,train,0.01,62.68,0.901,0.0
31,val,,64.2,0.877,0.0
32,train,0.01,63.92,0.899,0.0
32,val,,66.8,0.886,0.0
33,train,0.01,63.84,0.897,0.0
33,val,,64.6,0.903,0.0
34,train,0.01,65.08,0.868,0.0
34,val,,65.8,0.853,0.0
35,train,0.01,65.2,0.866,0.0
35,val,,67.2,0.845,0.0
36,train,0.01,65.16,0.875,0.0
36,val,,64.8,0.863,0.0
37,train,0.01,65.6,0.85,0.0
37,val,,64.6,0.882,0.0
38,train,0.01,65.08,0.85,0.0
38,val,,66.4,0.846,0.0
39,train,0.01,65.56,0.844,0.0
39,val,,65.8,0.921,0.0
40,train,0.01,66.28,0.831,0.0
40,val,,65.8,0.891,0.0
41,train,0.01,66.08,0.828,0.0
41,val,,68.0,0.833,0.0
42,train,0.01,67.96,0.798,0.0
42,val,,67.4,0.861,0.0
43,train,0.01,68.32,0.792,0.0
43,val,,68.8,0.858,0.0
44,train,0.01,66.92,0.821,0.0
44,val,,66.4,0.867,0.0
45,train,0.01,69.56,0.789,0.0
45,val,,65.2,0.872,0.0
46,train,0.01,67.76,0.804,0.0
46,val,,70.4,0.815,0.0
47,train,0.01,69.04,0.758,0.0
47,val,,67.0,0.861,0.0
48,train,0.01,68.68,0.77,0.0
48,val,,65.6,0.847,0.0
49,train,0.01,68.2,0.786,0.0
49,val,,69.6,0.804,0.0
50,train,0.01,68.92,0.764,0.0
50,val,,70.8,0.828,0.0
51,train,0.001,71.88,0.703,0.0
51,val,,71.4,0.774,0.0
52,train,0.001,73.24,0.672,0.0
52,val,,71.0,0.779,0.0
53,train,0.001,72.2,0.681,0.0
53,val,,71.0,0.787,0.0
54,train,0.001,73.92,0.668,0.0
54,val,,70.6,0.771,0.0
55,train,0.001,74.08,0.648,0.0
55,val,,70.0,0.788,0.0
56,train,0.001,73.8,0.669,0.0
56,val,,70.0,0.794,0.0
57,train,0.001,74.48,0.657,0.0
57,val,,69.8,0.79,0.0
58,train,0.001,73.68,0.655,0.0
58,val,,69.6,0.802,0.0
59,train,0.001,73.6,0.648,0.0
59,val,,71.0,0.774,0.0
60,train,0.001,73.32,0.644,0.0
60,val,,70.4,0.794,0.0
61,train,0.001,74.08,0.656,0.0
61,val,,71.0,0.776,0.0
62,train,0.001,74.72,0.655,0.0
62,val,,69.8,0.803,0.0
63,train,0.001,74.56,0.637,0.0
63,val,,69.4,0.814,0.0
64,train,0.001,75.52,0.626,0.0
