Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.4,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,21.0,1.609,0.0
2,val,,20.0,1.607,0.0
3,train,0.01,26.2,1.6,0.0
3,val,,27.6,1.58,0.0
4,train,0.01,30.48,1.519,0.0
4,val,,34.0,1.479,0.0
5,train,0.01,33.64,1.452,0.0
5,val,,36.4,1.46,0.0
6,train,0.01,38.4,1.41,0.0
6,val,,41.6,1.333,0.0
7,train,0.01,41.16,1.348,0.0
7,val,,38.6,1.428,0.0
8,train,0.01,47.16,1.255,0.0
8,val,,47.8,1.269,0.0
9,train,0.01,50.04,1.179,0.0
9,val,,56.2,1.09,0.0
10,train,0.01,52.68,1.135,0.0
10,val,,62.2,1.016,0.0
11,train,0.01,53.68,1.103,0.0
11,val,,60.8,0.995,0.0
12,train,0.01,58.32,1.038,0.0
12,val,,54.2,1.099,0.0
13,train,0.01,56.52,1.047,0.0
13,val,,63.2,0.938,0.0
14,train,0.01,61.36,0.993,0.0
14,val,,60.6,1.041,0.0
15,train,0.01,60.72,0.995,0.0
15,val,,63.6,0.983,0.0
16,train,0.01,60.68,0.969,0.0
16,val,,60.6,0.986,0.0
17,train,0.01,62.44,0.937,0.0
17,val,,66.4,0.894,0.0
18,train,0.01,62.76,0.931,0.0
18,val,,68.8,0.898,0.0
19,train,0.01,64.92,0.902,0.0
19,val,,68.4,0.917,0.0
20,train,0.01,64.84,0.89,0.0
20,val,,68.6,0.839,0.0
21,train,0.01,66.76,0.872,0.0
21,val,,67.0,0.893,0.0
22,train,0.01,66.04,0.893,0.0
22,val,,70.2,0.849,0.0
23,train,0.01,66.36,0.856,0.0
23,val,,64.6,0.916,0.0
24,train,0.01,67.32,0.851,0.0
24,val,,69.2,0.809,0.0
25,train,0.01,68.96,0.81,0.0
25,val,,71.6,0.791,0.0
26,train,0.01,69.08,0.81,0.0
26,val,,73.8,0.756,0.0
27,train,0.01,69.48,0.787,0.0
27,val,,72.4,0.775,0.0
28,train,0.01,69.6,0.796,0.0
28,val,,71.8,0.772,0.0
29,train,0.01,69.8,0.787,0.0
29,val,,71.8,0.807,0.0
30,train,0.01,71.36,0.752,0.0
30,val,,71.6,0.814,0.0
31,train,0.01,69.52,0.765,0.0
31,val,,71.8,0.747,0.0
32,train,0.01,71.64,0.752,0.0
32,val,,72.4,0.768,0.0
33,train,0.01,70.88,0.746,0.0
33,val,,72.4,0.791,0.0
34,train,0.01,71.56,0.733,0.0
34,val,,69.6,0.786,0.0
35,train,0.01,71.68,0.726,0.0
35,val,,68.8,0.863,0.0
36,train,0.01,70.96,0.731,0.0
36,val,,72.2,0.807,0.0
37,train,0.01,72.04,0.756,0.0
37,val,,72.0,0.798,0.0
38,train,0.01,72.56,0.702,0.0
38,val,,73.6,0.783,0.0
39,train,0.01,73.76,0.707,0.0
39,val,,71.6,0.814,0.0
40,train,0.01,73.48,0.668,0.0
40,val,,73.8,0.813,0.0
41,train,0.01,73.92,0.67,0.0
41,val,,69.8,0.852,0.0
42,train,0.01,74.52,0.663,0.0
42,val,,73.8,0.782,0.0
43,train,0.01,73.44,0.679,0.0
43,val,,71.4,0.804,0.0
44,train,0.01,75.04,0.653,0.0
44,val,,71.4,0.806,0.0
45,train,0.01,74.52,0.656,0.0
45,val,,71.8,0.816,0.0
46,train,0.01,75.84,0.645,0.0
46,val,,73.4,0.733,0.0
47,train,0.01,76.48,0.624,0.0
47,val,,71.8,0.77,0.0
48,train,0.01,76.44,0.642,0.0
48,val,,71.2,0.821,0.0
49,train,0.01,75.24,0.65,0.0
49,val,,70.2,0.794,0.0
50,train,0.01,74.72,0.659,0.0
50,val,,73.6,0.776,0.0
51,train,0.001,77.76,0.578,0.0
51,val,,73.8,0.762,0.0
52,train,0.001,78.76,0.568,0.0
52,val,,75.4,0.761,0.0
53,train,0.001,78.8,0.552,0.0
53,val,,74.6,0.749,0.0
54,train,0.001,79.44,0.555,0.0
54,val,,74.6,0.751,0.0
55,train,0.001,80.28,0.542,0.0
55,val,,75.0,0.758,0.0
56,train,0.001,79.4,0.542,0.0
56,val,,73.8,0.762,0.0
57,train,0.001,81.12,0.522,0.0
57,val,,73.8,0.759,0.0
58,train,0.001,80.76,0.524,0.0
58,val,,74.4,0.774,0.0
59,train,0.001,79.0,0.534,0.0
59,val,,74.4,0.752,0.0
60,train,0.001,79.96,0.536,0.0
60,val,,74.4,0.757,0.0
61,train,0.001,80.68,0.522,0.0
61,val,,74.8,0.751,0.0
62,train,0.001,80.32,0.518,0.0
62,val,,73.8,0.767,0.0
63,train,0.001,80.32,0.523,0.0
63,val,,74.4,0.762,0.0
64,train,0.001,80.28,0.518,0.0
64,val,,74.6,0.769,0.0
65,train,0.001,80.88,0.523,0.0
65,val,,74.6,0.764,0.0
66,train,0.001,81.04,0.512,0.0
66,val,,74.6,0.767,0.0
67,train,0.001,80.6,0.513,0.0
67,val,,74.4,0.768,0.0
68,train,0.001,80.52,0.508,0.0
68,val,,74.0,0.767,0.0
69,train,0.001,80.76,0.514,0.0
69,val,,73.8,0.764,0.0
70,train,0.001,81.08,0.505,0.0
70,val,,75.2,0.763,0.0
71,train,0.001,81.24,0.499,0.0
71,val,,75.8,0.758,0.0
72,train,0.001,80.6,0.508,0.0
72,val,,73.6,0.775,0.0
73,train,0.001,81.04,0.499,0.0
73,val,,74.0,0.77,0.0
