Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.52,1.61,0.0
1,val,,20.2,1.608,0.0
2,train,0.01,26.0,1.603,0.0
2,val,,29.4,1.563,0.0
3,train,0.01,39.6,1.434,0.0
3,val,,44.8,1.327,0.0
4,train,0.01,44.28,1.293,0.0
4,val,,44.4,1.313,0.0
5,train,0.01,48.8,1.223,0.0
5,val,,54.4,1.062,0.0
6,train,0.01,52.4,1.161,0.0
6,val,,57.8,1.122,0.0
7,train,0.01,56.56,1.073,0.0
7,val,,61.0,0.952,0.0
8,train,0.01,60.2,1.02,0.0
8,val,,66.4,0.944,0.0
9,train,0.01,63.4,0.943,0.0
9,val,,66.6,0.852,0.0
10,train,0.01,63.48,0.951,0.0
10,val,,64.6,0.896,0.0
11,train,0.01,63.96,0.918,0.0
11,val,,68.2,0.847,0.0
12,train,0.01,65.84,0.899,0.0
12,val,,69.2,0.841,0.0
13,train,0.01,66.16,0.872,0.0
13,val,,68.4,0.845,0.0
14,train,0.01,67.12,0.867,0.0
14,val,,69.4,0.835,0.0
15,train,0.01,66.48,0.854,0.0
15,val,,67.2,0.87,0.0
16,train,0.01,66.84,0.841,0.0
16,val,,72.2,0.798,0.0
17,train,0.01,67.2,0.829,0.0
17,val,,68.8,0.786,0.0
18,train,0.01,67.6,0.833,0.0
18,val,,70.0,0.828,0.0
19,train,0.01,69.96,0.795,0.0
19,val,,70.6,0.808,0.0
20,train,0.01,70.6,0.792,0.0
20,val,,71.0,0.756,0.0
21,train,0.01,70.52,0.779,0.0
21,val,,70.4,0.758,0.0
22,train,0.01,70.16,0.779,0.0
22,val,,72.8,0.767,0.0
23,train,0.01,70.32,0.779,0.0
23,val,,67.6,0.867,0.0
24,train,0.01,69.84,0.772,0.0
24,val,,68.8,0.758,0.0
25,train,0.01,70.2,0.768,0.0
25,val,,70.8,0.753,0.0
26,train,0.01,70.8,0.753,0.0
26,val,,72.0,0.709,0.0
27,train,0.01,70.76,0.74,0.0
27,val,,71.8,0.739,0.0
28,train,0.01,71.24,0.734,0.0
28,val,,73.6,0.731,0.0
29,train,0.01,72.28,0.714,0.0
29,val,,68.8,0.775,0.0
30,train,0.01,72.08,0.718,0.0
30,val,,72.0,0.802,0.0
31,train,0.01,72.28,0.719,0.0
31,val,,72.8,0.743,0.0
32,train,0.01,72.8,0.715,0.0
32,val,,73.2,0.708,0.0
33,train,0.01,73.44,0.696,0.0
33,val,,72.2,0.698,0.0
34,train,0.01,73.92,0.694,0.0
34,val,,75.2,0.675,0.0
35,train,0.01,74.68,0.666,0.0
35,val,,73.4,0.676,0.0
36,train,0.01,74.84,0.67,0.0
36,val,,75.0,0.663,0.0
37,train,0.01,74.48,0.671,0.0
37,val,,71.4,0.732,0.0
38,train,0.01,73.72,0.683,0.0
38,val,,76.6,0.677,0.0
39,train,0.01,75.32,0.651,0.0
39,val,,75.8,0.697,0.0
40,train,0.01,74.88,0.65,0.0
40,val,,75.6,0.656,0.0
41,train,0.01,75.76,0.63,0.0
41,val,,73.4,0.725,0.0
42,train,0.01,74.6,0.654,0.0
42,val,,74.4,0.736,0.0
43,train,0.01,76.64,0.622,0.0
43,val,,74.2,0.688,0.0
44,train,0.01,76.48,0.623,0.0
44,val,,77.0,0.625,0.0
45,train,0.01,76.64,0.608,0.0
45,val,,74.8,0.693,0.0
46,train,0.01,75.32,0.61,0.0
46,val,,75.4,0.647,0.0
47,train,0.01,77.16,0.604,0.0
47,val,,77.6,0.645,0.0
48,train,0.01,77.32,0.593,0.0
48,val,,75.0,0.663,0.0
49,train,0.01,78.6,0.586,0.0
49,val,,76.4,0.662,0.0
50,train,0.01,77.72,0.592,0.0
50,val,,78.2,0.602,0.0
51,train,0.001,79.92,0.523,0.0
51,val,,77.8,0.601,0.0
52,train,0.001,81.56,0.502,0.0
52,val,,78.8,0.589,0.0
53,train,0.001,81.8,0.492,0.0
53,val,,78.0,0.584,0.0
54,train,0.001,82.12,0.483,0.0
54,val,,79.0,0.587,0.0
55,train,0.001,81.24,0.493,0.0
55,val,,78.8,0.58,0.0
56,train,0.001,82.2,0.48,0.0
56,val,,79.0,0.587,0.0
57,train,0.001,82.96,0.469,0.0
57,val,,78.6,0.589,0.0
58,train,0.001,82.56,0.467,0.0
58,val,,79.0,0.586,0.0
59,train,0.001,82.8,0.462,0.0
59,val,,78.4,0.587,0.0
60,train,0.001,82.6,0.472,0.0
60,val,,79.0,0.592,0.0
61,train,0.001,82.36,0.468,0.0
61,val,,79.0,0.591,0.0
62,train,0.001,81.76,0.472,0.0
62,val,,79.2,0.59,0.0
63,train,0.001,82.28,0.466,0.0
63,val,,78.4,0.584,0.0
64,train,0.001,82.6,0.463,0.0
64,val,,78.0,0.59,0.0
65,train,0.001,83.04,0.443,0.0
65,val,,78.8,0.587,0.0
66,train,0.001,82.32,0.477,0.0
66,val,,79.2,0.587,0.0
67,train,0.001,84.04,0.45,0.0
67,val,,78.0,0.587,0.0
68,train,0.001,83.12,0.456,0.0
68,val,,79.2,0.574,0.0
69,train,0.001,83.2,0.448,0.0
69,val,,77.8,0.579,0.0
70,train,0.001,83.0,0.445,0.0
70,val,,79.0,0.586,0.0
71,train,0.001,83.4,0.449,0.0
71,val,,79.2,0.583,0.0
72,train,0.001,83.2,0.45,0.0
72,val,,78.2,0.586,0.0
73,train,0.001,82.32,0.449,0.0
73,val,,79.0,0.576,0.0
74,train,0.001,83.64,0.438,0.0
74,val,,78.6,0.578,0.0
75,train,0.001,83.24,0.438,0.0
75,val,,78.4,0.578,0.0
76,train,0.001,82.48,0.439,0.0
76,val,,79.4,0.588,0.0
77,train,0.001,83.12,0.447,0.0
77,val,,79.6,0.584,0.0
78,train,0.001,83.48,0.435,0.0
78,val,,80.2,0.588,0.0
79,train,0.001,83.88,0.436,0.0
79,val,,78.6,0.585,0.0
80,train,0.001,83.76,0.434,0.0
80,val,,79.0,0.58,0.0
81,train,0.0001,83.72,0.438,0.0
81,val,,78.4,0.583,0.0
82,train,0.0001,83.56,0.437,0.0
82,val,,79.0,0.581,0.0
83,train,0.0001,83.48,0.427,0.0
83,val,,79.0,0.589,0.0
84,train,0.0001,83.76,0.426,0.0
84,val,,79.0,0.583,0.0
85,train,0.0001,84.28,0.413,0.0
85,val,,78.6,0.592,0.0
86,train,0.0001,84.32,0.43,0.0
86,val,,78.6,0.587,0.0
87,train,0.0001,83.56,0.433,0.0
87,val,,78.4,0.583,0.0
88,train,0.0001,84.24,0.429,0.0
88,val,,78.8,0.577,0.0
89,train,0.0001,84.48,0.433,0.0
89,val,,78.6,0.585,0.0
90,train,0.0001,83.96,0.411,0.0
90,val,,78.2,0.583,0.0
91,train,0.0001,84.48,0.425,0.0
91,val,,78.4,0.586,0.0
92,train,0.0001,83.96,0.428,0.0
92,val,,78.6,0.592,0.0
93,train,0.0001,84.32,0.412,0.0
93,val,,79.8,0.583,0.0
94,train,0.0001,85.04,0.413,0.0
94,val,,78.4,0.587,0.0
95,train,0.0001,84.0,0.415,0.0
95,val,,78.6,0.585,0.0
96,train,0.0001,84.48,0.415,0.0
96,val,,78.4,0.585,0.0
97,train,0.0001,83.64,0.424,0.0
97,val,,79.8,0.58,0.0
98,train,0.0001,84.36,0.426,0.0
98,val,,79.2,0.581,0.0
99,train,0.0001,84.16,0.419,0.0
99,val,,78.0,0.581,0.0
100,train,0.0001,84.52,0.417,0.0
100,val,,78.6,0.582,0.0
