Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.08,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,20.4,1.61,0.0
2,val,,20.2,1.608,0.0
3,train,0.01,20.64,1.608,0.0
3,val,,30.6,1.605,0.0
4,train,0.01,27.92,1.598,0.0
4,val,,28.2,1.577,0.0
5,train,0.01,27.72,1.571,0.0
5,val,,28.6,1.539,0.0
6,train,0.01,33.44,1.522,0.0
6,val,,33.2,1.475,0.0
7,train,0.01,36.0,1.487,0.0
7,val,,34.8,1.521,0.0
8,train,0.01,37.88,1.456,0.0
8,val,,40.6,1.384,0.0
9,train,0.01,43.0,1.375,0.0
9,val,,45.2,1.31,0.0
10,train,0.01,44.8,1.338,0.0
10,val,,48.8,1.233,0.0
11,train,0.01,48.16,1.279,0.0
11,val,,46.4,1.392,0.0
12,train,0.01,51.8,1.238,0.0
12,val,,58.0,1.126,0.0
13,train,0.01,52.72,1.188,0.0
13,val,,57.4,1.112,0.0
14,train,0.01,52.96,1.176,0.0
14,val,,58.6,1.112,0.0
15,train,0.01,56.8,1.126,0.0
15,val,,56.6,1.16,0.0
16,train,0.01,57.32,1.108,0.0
16,val,,54.2,1.206,0.0
17,train,0.01,57.44,1.085,0.0
17,val,,58.6,1.071,0.0
18,train,0.01,59.0,1.054,0.0
18,val,,61.2,1.005,0.0
19,train,0.01,60.44,1.047,0.0
19,val,,57.4,1.21,0.0
20,train,0.01,61.0,1.022,0.0
20,val,,60.0,1.089,0.0
21,train,0.01,62.6,0.992,0.0
21,val,,61.8,1.003,0.0
22,train,0.01,61.96,0.972,0.0
22,val,,63.6,0.981,0.0
23,train,0.01,64.2,0.951,0.0
23,val,,61.0,1.049,0.0
24,train,0.01,63.92,0.942,0.0
24,val,,66.0,0.957,0.0
25,train,0.01,63.8,0.928,0.0
25,val,,65.8,0.968,0.0
26,train,0.01,65.36,0.914,0.0
26,val,,60.2,1.101,0.0
27,train,0.01,67.04,0.889,0.0
27,val,,53.0,1.44,0.0
28,train,0.01,65.2,0.931,0.0
28,val,,64.8,0.919,0.0
29,train,0.01,67.64,0.865,0.0
29,val,,60.2,1.08,0.0
30,train,0.01,66.48,0.871,0.0
30,val,,65.0,1.003,0.0
31,train,0.01,68.8,0.837,0.0
31,val,,63.4,1.032,0.0
32,train,0.01,70.72,0.821,0.0
32,val,,65.0,0.98,0.0
33,train,0.01,69.52,0.806,0.0
33,val,,67.8,0.919,0.0
34,train,0.01,70.2,0.795,0.0
34,val,,64.8,0.944,0.0
35,train,0.01,70.52,0.788,0.0
35,val,,66.0,0.997,0.0
36,train,0.01,71.36,0.773,0.0
36,val,,67.0,0.937,0.0
37,train,0.01,71.88,0.783,0.0
37,val,,66.2,0.96,0.0
38,train,0.01,72.68,0.751,0.0
38,val,,65.2,1.05,0.0
39,train,0.01,72.0,0.743,0.0
39,val,,71.0,0.858,0.0
40,train,0.01,73.6,0.741,0.0
40,val,,68.8,0.857,0.0
41,train,0.01,72.92,0.743,0.0
41,val,,65.0,0.971,0.0
42,train,0.01,73.64,0.723,0.0
42,val,,66.0,1.001,0.0
43,train,0.01,74.08,0.696,0.0
43,val,,70.2,0.87,0.0
44,train,0.01,74.48,0.692,0.0
44,val,,68.2,0.933,0.0
45,train,0.01,74.64,0.691,0.0
45,val,,69.2,0.9,0.0
46,train,0.01,73.68,0.686,0.0
46,val,,55.6,1.808,0.0
47,train,0.01,72.8,0.714,0.0
47,val,,68.6,0.947,0.0
48,train,0.01,75.12,0.685,0.0
48,val,,66.0,0.985,0.0
49,train,0.01,75.64,0.663,0.0
49,val,,63.4,1.134,0.0
50,train,0.01,75.12,0.656,0.0
50,val,,69.6,0.861,0.0
51,train,0.001,77.72,0.599,0.0
51,val,,70.4,0.849,0.0
52,train,0.001,80.44,0.551,0.0
52,val,,70.6,0.852,0.0
53,train,0.001,80.56,0.539,0.0
53,val,,71.8,0.851,0.0
54,train,0.001,80.76,0.538,0.0
54,val,,70.8,0.855,0.0
55,train,0.001,80.8,0.533,0.0
55,val,,71.0,0.847,0.0
56,train,0.001,81.32,0.527,0.0
56,val,,71.2,0.843,0.0
57,train,0.001,81.6,0.514,0.0
57,val,,70.4,0.839,0.0
58,train,0.001,81.24,0.528,0.0
58,val,,70.8,0.862,0.0
59,train,0.001,81.64,0.502,0.0
59,val,,70.8,0.851,0.0
60,train,0.001,82.48,0.512,0.0
60,val,,70.6,0.846,0.0
61,train,0.001,82.64,0.489,0.0
61,val,,71.6,0.833,0.0
62,train,0.001,81.64,0.51,0.0
62,val,,70.2,0.869,0.0
63,train,0.001,82.08,0.5,0.0
63,val,,70.6,0.867,0.0
64,train,0.001,82.84,0.474,0.0
64,val,,70.4,0.899,0.0
65,train,0.001,82.64,0.49,0.0
65,val,,70.6,0.89,0.0
66,train,0.001,82.48,0.487,0.0
66,val,,71.2,0.839,0.0
67,train,0.001,83.08,0.479,0.0
67,val,,70.8,0.868,0.0
68,train,0.001,82.0,0.486,0.0
68,val,,71.8,0.864,0.0
69,train,0.001,82.88,0.469,0.0
69,val,,71.8,0.855,0.0
70,train,0.001,83.0,0.477,0.0
70,val,,69.4,0.875,0.0
71,train,0.001,82.88,0.475,0.0
71,val,,71.6,0.851,0.0
72,train,0.001,82.76,0.468,0.0
72,val,,71.4,0.861,0.0
73,train,0.001,83.2,0.465,0.0
73,val,,71.8,0.846,0.0
74,train,0.001,83.8,0.463,0.0
74,val,,72.2,0.839,0.0
75,train,0.001,82.72,0.466,0.0
75,val,,70.0,0.865,0.0
76,train,0.001,83.88,0.441,0.0
76,val,,71.4,0.84,0.0
77,train,0.001,83.92,0.47,0.0
77,val,,72.0,0.848,0.0
78,train,0.001,83.4,0.464,0.0
78,val,,71.6,0.869,0.0
79,train,0.001,83.72,0.456,0.0
79,val,,71.4,0.863,0.0
80,train,0.001,83.36,0.452,0.0
80,val,,71.6,0.844,0.0
81,train,0.0001,84.12,0.445,0.0
81,val,,71.6,0.849,0.0
82,train,0.0001,83.32,0.449,0.0
82,val,,70.8,0.856,0.0
83,train,0.0001,83.4,0.453,0.0
83,val,,70.6,0.857,0.0
84,train,0.0001,84.68,0.425,0.0
84,val,,71.4,0.848,0.0
85,train,0.0001,85.68,0.429,0.0
