Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,21.56,1.609,0.0
1,val,,29.4,1.605,0.0
2,train,0.01,30.4,1.567,0.0
2,val,,34.8,1.498,0.0
3,train,0.01,34.36,1.46,0.0
3,val,,38.0,1.386,0.0
4,train,0.01,39.24,1.369,0.0
4,val,,44.0,1.265,0.0
5,train,0.01,43.92,1.279,0.0
5,val,,44.8,1.313,0.0
6,train,0.01,45.8,1.201,0.0
6,val,,45.6,1.254,0.0
7,train,0.01,47.0,1.179,0.0
7,val,,44.0,1.305,0.0
8,train,0.01,47.92,1.161,0.0
8,val,,50.4,1.139,0.0
9,train,0.01,50.92,1.119,0.0
9,val,,52.6,1.199,0.0
10,train,0.01,51.76,1.108,0.0
10,val,,54.0,1.062,0.0
11,train,0.01,55.56,1.071,0.0
11,val,,54.8,1.141,0.0
12,train,0.01,56.96,1.024,0.0
12,val,,55.8,1.101,0.0
13,train,0.01,56.6,1.031,0.0
13,val,,57.6,1.046,0.0
14,train,0.01,58.08,1.017,0.0
14,val,,57.8,1.093,0.0
15,train,0.01,58.68,1.003,0.0
15,val,,60.0,1.026,0.0
16,train,0.01,59.84,0.975,0.0
16,val,,59.2,0.998,0.0
17,train,0.01,59.84,0.97,0.0
17,val,,61.8,0.978,0.0
18,train,0.01,60.76,0.945,0.0
18,val,,56.4,1.256,0.0
19,train,0.01,61.24,0.937,0.0
19,val,,59.4,1.012,0.0
20,train,0.01,62.4,0.922,0.0
20,val,,62.6,0.925,0.0
21,train,0.01,63.12,0.91,0.0
21,val,,64.8,0.914,0.0
22,train,0.01,63.52,0.888,0.0
22,val,,64.4,0.899,0.0
23,train,0.01,64.92,0.874,0.0
23,val,,60.2,1.101,0.0
24,train,0.01,63.44,0.884,0.0
24,val,,62.2,0.985,0.0
25,train,0.01,64.64,0.887,0.0
25,val,,62.6,0.968,0.0
26,train,0.01,66.68,0.857,0.0
26,val,,65.8,0.892,0.0
27,train,0.01,65.4,0.853,0.0
27,val,,65.2,0.913,0.0
28,train,0.01,67.48,0.821,0.0
28,val,,65.8,0.887,0.0
29,train,0.01,68.32,0.809,0.0
29,val,,66.0,0.874,0.0
30,train,0.01,67.6,0.816,0.0
30,val,,67.2,0.9,0.0
31,train,0.01,69.0,0.79,0.0
31,val,,65.8,0.863,0.0
32,train,0.01,69.64,0.79,0.0
32,val,,65.8,0.937,0.0
33,train,0.01,68.16,0.802,0.0
33,val,,67.4,0.886,0.0
34,train,0.01,69.36,0.775,0.0
34,val,,67.8,0.857,0.0
35,train,0.01,70.64,0.754,0.0
35,val,,67.2,0.967,0.0
36,train,0.01,71.28,0.741,0.0
36,val,,65.8,0.871,0.0
37,train,0.01,70.84,0.754,0.0
37,val,,68.6,0.85,0.0
38,train,0.01,70.28,0.747,0.0
38,val,,70.4,0.827,0.0
39,train,0.01,71.04,0.726,0.0
39,val,,65.4,0.881,0.0
40,train,0.01,69.8,0.756,0.0
40,val,,68.6,0.792,0.0
41,train,0.01,71.16,0.722,0.0
41,val,,67.4,0.882,0.0
42,train,0.01,71.68,0.728,0.0
42,val,,68.4,0.842,0.0
43,train,0.01,72.92,0.696,0.0
43,val,,69.6,0.807,0.0
44,train,0.01,73.32,0.681,0.0
44,val,,68.0,0.87,0.0
45,train,0.01,73.36,0.676,0.0
45,val,,69.2,0.877,0.0
46,train,0.01,72.84,0.699,0.0
46,val,,65.0,0.935,0.0
47,train,0.01,73.16,0.689,0.0
47,val,,68.4,0.953,0.0
48,train,0.01,73.68,0.659,0.0
48,val,,71.2,0.792,0.0
49,train,0.01,74.92,0.646,0.0
49,val,,70.2,0.849,0.0
50,train,0.01,74.68,0.657,0.0
50,val,,69.0,0.843,0.0
51,train,0.001,76.24,0.611,0.0
51,val,,72.2,0.762,0.0
52,train,0.001,77.96,0.57,0.0
52,val,,72.0,0.766,0.0
53,train,0.001,78.2,0.56,0.0
