Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,22.08,1.609,0.0
1,val,,35.0,1.602,0.0
2,train,0.01,30.64,1.527,0.0
2,val,,41.2,1.44,0.0
3,train,0.01,33.48,1.451,0.0
3,val,,34.2,1.41,0.0
4,train,0.01,33.56,1.428,0.0
4,val,,35.0,1.375,0.0
5,train,0.01,36.16,1.394,0.0
5,val,,41.2,1.344,0.0
6,train,0.01,40.0,1.382,0.0
6,val,,45.4,1.3,0.0
7,train,0.01,43.08,1.332,0.0
7,val,,47.8,1.263,0.0
8,train,0.01,45.92,1.283,0.0
8,val,,48.4,1.236,0.0
9,train,0.01,49.76,1.234,0.0
9,val,,52.4,1.193,0.0
10,train,0.01,51.44,1.204,0.0
10,val,,57.0,1.127,0.0
11,train,0.01,52.88,1.176,0.0
11,val,,55.2,1.109,0.0
12,train,0.01,54.4,1.153,0.0
12,val,,58.4,1.068,0.0
13,train,0.01,55.48,1.124,0.0
13,val,,60.4,1.028,0.0
14,train,0.01,54.6,1.118,0.0
14,val,,61.2,0.986,0.0
15,train,0.01,57.68,1.083,0.0
15,val,,62.6,1.025,0.0
16,train,0.01,58.04,1.066,0.0
16,val,,61.8,0.997,0.0
17,train,0.01,58.0,1.063,0.0
17,val,,59.6,1.094,0.0
18,train,0.01,58.12,1.076,0.0
18,val,,64.4,0.95,0.0
19,train,0.01,60.08,1.028,0.0
19,val,,61.4,0.96,0.0
20,train,0.01,61.44,1.009,0.0
20,val,,63.0,0.908,0.0
21,train,0.01,61.36,0.991,0.0
21,val,,65.0,0.956,0.0
22,train,0.01,61.16,0.996,0.0
22,val,,64.8,0.963,0.0
23,train,0.01,61.84,0.989,0.0
23,val,,63.8,0.954,0.0
24,train,0.01,61.92,0.972,0.0
24,val,,65.2,0.899,0.0
25,train,0.01,62.68,0.962,0.0
25,val,,68.0,0.865,0.0
26,train,0.01,61.92,0.957,0.0
26,val,,64.8,0.897,0.0
27,train,0.01,64.36,0.933,0.0
27,val,,69.2,0.871,0.0
28,train,0.01,64.72,0.932,0.0
28,val,,70.2,0.838,0.0
29,train,0.01,65.08,0.914,0.0
29,val,,70.8,0.827,0.0
30,train,0.01,65.2,0.885,0.0
30,val,,68.8,0.842,0.0
31,train,0.01,65.4,0.883,0.0
31,val,,66.8,0.848,0.0
32,train,0.01,65.44,0.889,0.0
32,val,,67.6,0.889,0.0
33,train,0.01,65.0,0.884,0.0
33,val,,71.0,0.808,0.0
34,train,0.01,68.24,0.852,0.0
34,val,,70.4,0.836,0.0
35,train,0.01,67.44,0.871,0.0
35,val,,69.4,0.813,0.0
36,train,0.01,68.4,0.834,0.0
36,val,,71.0,0.867,0.0
37,train,0.01,67.96,0.85,0.0
37,val,,67.6,0.885,0.0
38,train,0.01,68.6,0.847,0.0
38,val,,71.8,0.792,0.0
39,train,0.01,69.56,0.809,0.0
39,val,,70.4,0.811,0.0
40,train,0.01,69.6,0.802,0.0
40,val,,65.2,0.98,0.0
41,train,0.01,70.0,0.798,0.0
41,val,,72.0,0.783,0.0
42,train,0.01,69.84,0.8,0.0
42,val,,69.8,0.805,0.0
43,train,0.01,69.24,0.797,0.0
43,val,,68.2,0.875,0.0
44,train,0.01,70.28,0.795,0.0
44,val,,73.2,0.805,0.0
45,train,0.01,71.28,0.746,0.0
45,val,,73.8,0.79,0.0
46,train,0.01,70.88,0.762,0.0
46,val,,73.0,0.792,0.0
47,train,0.01,72.16,0.736,0.0
47,val,,72.6,0.787,0.0
48,train,0.01,71.72,0.747,0.0
48,val,,72.6,0.758,0.0
49,train,0.01,72.84,0.734,0.0
49,val,,70.2,0.797,0.0
50,train,0.01,71.92,0.738,0.0
50,val,,72.4,0.764,0.0
51,train,0.001,74.52,0.68,0.0
51,val,,73.6,0.737,0.0
52,train,0.001,76.28,0.622,0.0
52,val,,74.8,0.734,0.0
53,train,0.001,75.56,0.639,0.0
53,val,,74.8,0.736,0.0
54,train,0.001,75.88,0.633,0.0
54,val,,73.8,0.737,0.0
55,train,0.001,76.52,0.624,0.0
55,val,,73.6,0.742,0.0
56,train,0.001,77.16,0.606,0.0
56,val,,74.4,0.739,0.0
57,train,0.001,77.24,0.604,0.0
57,val,,73.8,0.752,0.0
58,train,0.001,77.8,0.606,0.0
58,val,,73.0,0.741,0.0
59,train,0.001,76.84,0.61,0.0
59,val,,73.2,0.744,0.0
60,train,0.001,78.0,0.6,0.0
60,val,,74.0,0.758,0.0
61,train,0.001,77.56,0.605,0.0
61,val,,73.6,0.756,0.0
62,train,0.001,77.12,0.602,0.0
62,val,,74.2,0.738,0.0
63,train,0.001,78.12,0.584,0.0
63,val,,74.2,0.748,0.0
64,train,0.001,77.84,0.577,0.0
64,val,,74.2,0.742,0.0
65,train,0.001,78.12,0.591,0.0
65,val,,74.6,0.745,0.0
66,train,0.001,78.4,0.588,0.0
66,val,,74.6,0.743,0.0
67,train,0.001,79.08,0.579,0.0
67,val,,73.6,0.754,0.0
68,train,0.001,78.16,0.58,0.0
68,val,,73.2,0.744,0.0
69,train,0.001,78.6,0.581,0.0
69,val,,73.2,0.748,0.0
70,train,0.001,78.76,0.568,0.0
70,val,,74.0,0.742,0.0
71,train,0.001,79.2,0.578,0.0
71,val,,74.4,0.736,0.0
72,train,0.001,78.56,0.564,0.0
72,val,,73.8,0.752,0.0
73,train,0.001,78.48,0.581,0.0
73,val,,74.2,0.75,0.0
74,train,0.001,79.12,0.563,0.0
74,val,,74.6,0.748,0.0
