Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.52,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,20.4,1.609,0.0
2,val,,20.0,1.606,0.0
3,train,0.01,30.8,1.6,0.0
3,val,,37.2,1.573,0.0
4,train,0.01,38.84,1.462,0.0
4,val,,42.8,1.304,0.0
5,train,0.01,43.64,1.338,0.0
5,val,,48.4,1.23,0.0
6,train,0.01,45.28,1.295,0.0
6,val,,45.8,1.204,0.0
7,train,0.01,47.16,1.269,0.0
7,val,,51.8,1.198,0.0
8,train,0.01,46.6,1.269,0.0
8,val,,51.4,1.183,0.0
9,train,0.01,49.56,1.241,0.0
9,val,,53.6,1.141,0.0
10,train,0.01,49.72,1.217,0.0
10,val,,53.8,1.129,0.0
11,train,0.01,53.48,1.184,0.0
11,val,,54.0,1.081,0.0
12,train,0.01,53.84,1.154,0.0
12,val,,51.8,1.155,0.0
13,train,0.01,55.28,1.13,0.0
13,val,,58.4,1.049,0.0
14,train,0.01,54.84,1.134,0.0
14,val,,58.0,1.068,0.0
15,train,0.01,57.76,1.092,0.0
15,val,,52.2,1.242,0.0
16,train,0.01,57.84,1.098,0.0
16,val,,58.4,1.02,0.0
17,train,0.01,60.36,1.043,0.0
17,val,,58.2,1.074,0.0
18,train,0.01,61.76,1.024,0.0
18,val,,63.8,0.922,0.0
19,train,0.01,63.0,0.993,0.0
19,val,,63.8,0.934,0.0
20,train,0.01,63.4,0.986,0.0
20,val,,60.4,1.041,0.0
21,train,0.01,63.88,0.962,0.0
21,val,,64.8,0.931,0.0
22,train,0.01,65.4,0.953,0.0
22,val,,63.4,0.971,0.0
23,train,0.01,65.84,0.928,0.0
23,val,,69.6,0.835,0.0
24,train,0.01,67.12,0.905,0.0
24,val,,66.6,0.908,0.0
25,train,0.01,66.4,0.9,0.0
25,val,,61.0,1.011,0.0
26,train,0.01,65.64,0.899,0.0
26,val,,65.6,0.956,0.0
27,train,0.01,66.44,0.879,0.0
27,val,,66.8,0.866,0.0
28,train,0.01,69.04,0.858,0.0
28,val,,67.0,0.856,0.0
29,train,0.01,69.6,0.819,0.0
29,val,,70.8,0.826,0.0
30,train,0.01,69.36,0.813,0.0
30,val,,68.8,0.854,0.0
31,train,0.01,71.44,0.791,0.0
31,val,,65.8,0.924,0.0
32,train,0.01,71.48,0.774,0.0
