Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.76,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,22.0,1.609,0.0
2,val,,20.0,1.607,0.0
3,train,0.01,22.56,1.605,0.0
3,val,,36.0,1.597,0.0
4,train,0.01,34.32,1.534,0.0
4,val,,37.0,1.409,0.0
5,train,0.01,43.64,1.337,0.0
5,val,,47.6,1.281,0.0
6,train,0.01,50.12,1.197,0.0
6,val,,48.8,1.262,0.0
7,train,0.01,52.04,1.137,0.0
7,val,,58.8,1.032,0.0
8,train,0.01,59.32,1.022,0.0
8,val,,63.0,0.951,0.0
9,train,0.01,61.92,0.949,0.0
9,val,,65.2,0.876,0.0
10,train,0.01,65.44,0.884,0.0
10,val,,64.8,0.896,0.0
11,train,0.01,66.44,0.858,0.0
11,val,,69.6,0.813,0.0
12,train,0.01,67.72,0.821,0.0
12,val,,62.8,0.942,0.0
13,train,0.01,68.76,0.828,0.0
13,val,,66.6,0.876,0.0
14,train,0.01,68.44,0.813,0.0
14,val,,71.2,0.78,0.0
15,train,0.01,68.4,0.794,0.0
15,val,,69.4,0.784,0.0
16,train,0.01,70.16,0.789,0.0
16,val,,69.6,0.795,0.0
17,train,0.01,70.88,0.753,0.0
17,val,,68.8,0.837,0.0
18,train,0.01,71.64,0.753,0.0
18,val,,70.2,0.771,0.0
19,train,0.01,72.72,0.724,0.0
19,val,,74.8,0.719,0.0
20,train,0.01,72.12,0.71,0.0
20,val,,71.8,0.736,0.0
21,train,0.01,73.2,0.703,0.0
21,val,,70.8,0.746,0.0
22,train,0.01,72.64,0.706,0.0
22,val,,74.0,0.726,0.0
23,train,0.01,73.96,0.676,0.0
23,val,,73.0,0.728,0.0
24,train,0.01,75.48,0.661,0.0
24,val,,71.2,0.77,0.0
25,train,0.01,74.28,0.676,0.0
25,val,,74.0,0.707,0.0
26,train,0.01,74.6,0.662,0.0
26,val,,74.0,0.713,0.0
27,train,0.01,75.84,0.64,0.0
27,val,,71.8,0.797,0.0
28,train,0.01,75.52,0.632,0.0
