Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.48,1.61,0.0
1,val,,20.0,1.607,0.0
2,train,0.01,25.36,1.599,0.0
2,val,,45.0,1.556,0.0
3,train,0.01,43.36,1.366,0.0
3,val,,46.6,1.233,0.0
4,train,0.01,51.64,1.164,0.0
4,val,,51.0,1.153,0.0
5,train,0.01,55.68,1.095,0.0
5,val,,56.2,1.088,0.0
6,train,0.01,57.16,1.05,0.0
6,val,,57.0,1.105,0.0
7,train,0.01,60.12,1.006,0.0
7,val,,62.2,0.95,0.0
8,train,0.01,62.8,0.956,0.0
8,val,,67.2,0.865,0.0
9,train,0.01,67.64,0.862,0.0
9,val,,66.2,0.901,0.0
10,train,0.01,67.88,0.856,0.0
10,val,,71.6,0.784,0.0
11,train,0.01,69.68,0.82,0.0
11,val,,69.6,0.796,0.0
12,train,0.01,70.88,0.798,0.0
12,val,,71.6,0.769,0.0
13,train,0.01,72.12,0.766,0.0
13,val,,74.4,0.684,0.0
14,train,0.01,72.16,0.746,0.0
14,val,,73.4,0.676,0.0
15,train,0.01,72.04,0.744,0.0
15,val,,72.6,0.757,0.0
16,train,0.01,73.52,0.731,0.0
16,val,,74.4,0.718,0.0
17,train,0.01,72.72,0.738,0.0
17,val,,72.8,0.713,0.0
18,train,0.01,74.2,0.7,0.0
18,val,,63.4,0.938,0.0
19,train,0.01,75.12,0.692,0.0
19,val,,71.8,0.73,0.0
20,train,0.01,75.12,0.682,0.0
20,val,,52.4,1.39,0.0
21,train,0.01,74.52,0.684,0.0
21,val,,77.8,0.635,0.0
22,train,0.01,75.88,0.66,0.0
22,val,,73.6,0.709,0.0
23,train,0.01,75.48,0.66,0.0
23,val,,61.8,1.043,0.0
24,train,0.01,75.28,0.651,0.0
24,val,,75.0,0.679,0.0
25,train,0.01,77.16,0.614,0.0
25,val,,76.8,0.662,0.0
26,train,0.01,77.2,0.622,0.0
26,val,,77.2,0.674,0.0
27,train,0.01,75.92,0.649,0.0
27,val,,77.2,0.669,0.0
28,train,0.01,75.76,0.64,0.0
28,val,,76.6,0.627,0.0
29,train,0.01,77.56,0.621,0.0
29,val,,78.2,0.703,0.0
30,train,0.01,77.64,0.611,0.0
30,val,,77.6,0.669,0.0
31,train,0.01,77.76,0.61,0.0
31,val,,77.8,0.615,0.0
32,train,0.01,77.76,0.598,0.0
32,val,,54.0,1.526,0.0
33,train,0.01,76.96,0.634,0.0
33,val,,76.2,0.635,0.0
