Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,33.4,1.526,0.0
1,val,,42.0,1.365,0.0
2,train,0.01,45.08,1.302,0.0
2,val,,53.0,1.172,0.0
3,train,0.01,50.88,1.209,0.0
3,val,,51.4,1.159,0.0
4,train,0.01,54.32,1.14,0.0
4,val,,54.2,1.09,0.0
5,train,0.01,56.12,1.108,0.0
5,val,,55.0,1.098,0.0
6,train,0.01,57.4,1.083,0.0
6,val,,58.2,1.091,0.0
7,train,0.01,58.04,1.077,0.0
7,val,,58.0,1.017,0.0
8,train,0.01,60.28,1.032,0.0
8,val,,57.6,1.059,0.0
9,train,0.01,60.76,1.016,0.0
9,val,,56.2,1.065,0.0
10,train,0.01,61.64,0.995,0.0
10,val,,62.8,0.969,0.0
11,train,0.01,62.68,0.974,0.0
11,val,,61.4,1.006,0.0
12,train,0.01,62.92,0.968,0.0
12,val,,60.8,0.973,0.0
13,train,0.01,63.92,0.927,0.0
13,val,,62.6,1.0,0.0
14,train,0.01,64.72,0.917,0.0
14,val,,63.2,0.971,0.0
15,train,0.01,64.36,0.924,0.0
15,val,,65.4,0.908,0.0
16,train,0.01,66.2,0.892,0.0
16,val,,63.6,0.964,0.0
17,train,0.01,66.4,0.894,0.0
17,val,,61.4,0.986,0.0
18,train,0.01,66.96,0.878,0.0
18,val,,63.2,0.962,0.0
19,train,0.01,66.64,0.875,0.0
19,val,,61.2,0.98,0.0
20,train,0.01,66.72,0.871,0.0
20,val,,57.0,1.153,0.0
21,train,0.01,67.8,0.846,0.0
21,val,,60.8,1.025,0.0
22,train,0.01,67.4,0.849,0.0
22,val,,61.6,1.031,0.0
23,train,0.01,69.72,0.827,0.0
23,val,,65.6,0.907,0.0
24,train,0.01,68.76,0.847,0.0
24,val,,63.4,0.947,0.0
25,train,0.01,69.28,0.808,0.0
25,val,,65.4,0.89,0.0
26,train,0.01,68.76,0.806,0.0
26,val,,66.2,0.919,0.0
27,train,0.01,70.0,0.795,0.0
27,val,,64.0,0.927,0.0
28,train,0.01,70.0,0.778,0.0
28,val,,59.4,1.013,0.0
29,train,0.01,71.56,0.772,0.0
29,val,,64.4,0.923,0.0
30,train,0.01,71.28,0.767,0.0
30,val,,65.4,0.931,0.0
31,train,0.01,70.48,0.776,0.0
31,val,,66.0,0.905,0.0
32,train,0.01,71.2,0.755,0.0
32,val,,64.6,0.953,0.0
33,train,0.01,71.76,0.758,0.0
33,val,,65.8,0.882,0.0
34,train,0.01,73.68,0.698,0.0
34,val,,65.4,0.981,0.0
35,train,0.01,72.64,0.717,0.0
35,val,,66.8,0.923,0.0
36,train,0.01,73.16,0.734,0.0
36,val,,67.4,0.859,0.0
37,train,0.01,73.2,0.684,0.0
37,val,,66.8,0.965,0.0
38,train,0.01,74.44,0.697,0.0
38,val,,69.2,0.874,0.0
39,train,0.01,73.52,0.682,0.0
39,val,,60.6,1.065,0.0
40,train,0.01,74.6,0.683,0.0
40,val,,65.2,0.997,0.0
41,train,0.01,75.04,0.675,0.0
41,val,,68.6,0.868,0.0
42,train,0.01,74.32,0.681,0.0
42,val,,69.8,0.868,0.0
43,train,0.01,74.88,0.683,0.0
43,val,,66.2,0.956,0.0
44,train,0.01,75.52,0.652,0.0
44,val,,68.6,0.891,0.0
45,train,0.01,75.08,0.661,0.0
45,val,,68.2,0.851,0.0
46,train,0.01,77.12,0.65,0.0
46,val,,68.2,0.903,0.0
47,train,0.01,76.6,0.653,0.0
47,val,,67.4,0.86,0.0
48,train,0.01,75.8,0.653,0.0
48,val,,68.4,0.985,0.0
49,train,0.01,75.76,0.651,0.0
49,val,,66.6,0.988,0.0
50,train,0.01,76.24,0.642,0.0
50,val,,66.8,0.956,0.0
51,train,0.001,78.4,0.593,0.0
51,val,,71.8,0.816,0.0
52,train,0.001,79.68,0.543,0.0
52,val,,70.8,0.828,0.0
53,train,0.001,80.4,0.54,0.0
53,val,,72.2,0.816,0.0
54,train,0.001,79.76,0.545,0.0
54,val,,71.6,0.803,0.0
55,train,0.001,81.56,0.519,0.0
55,val,,72.2,0.816,0.0
56,train,0.001,83.0,0.489,0.0
56,val,,72.0,0.825,0.0
57,train,0.001,82.4,0.501,0.0
57,val,,71.6,0.842,0.0
58,train,0.001,80.92,0.52,0.0
58,val,,71.6,0.802,0.0
59,train,0.001,81.72,0.508,0.0
59,val,,71.8,0.814,0.0
60,train,0.001,81.16,0.507,0.0
60,val,,70.8,0.821,0.0
61,train,0.001,82.4,0.498,0.0
61,val,,71.0,0.815,0.0
62,train,0.001,82.92,0.483,0.0
62,val,,71.8,0.831,0.0
63,train,0.001,81.2,0.511,0.0
63,val,,72.0,0.801,0.0
64,train,0.001,81.52,0.5,0.0
64,val,,69.8,0.842,0.0
65,train,0.001,82.0,0.493,0.0
65,val,,70.2,0.81,0.0
66,train,0.001,81.2,0.492,0.0
66,val,,71.4,0.811,0.0
67,train,0.001,82.28,0.481,0.0
67,val,,73.0,0.823,0.0
68,train,0.001,82.56,0.484,0.0
68,val,,72.4,0.815,0.0
69,train,0.001,82.92,0.476,0.0
69,val,,72.2,0.845,0.0
70,train,0.001,82.8,0.494,0.0
70,val,,72.0,0.844,0.0
71,train,0.001,82.12,0.492,0.0
71,val,,72.2,0.815,0.0
72,train,0.001,83.24,0.466,0.0
72,val,,72.6,0.819,0.0
73,train,0.001,82.64,0.483,0.0
73,val,,72.2,0.83,0.0
74,train,0.001,82.2,0.47,0.0
74,val,,72.0,0.82,0.0
75,train,0.001,84.48,0.448,0.0
75,val,,71.0,0.824,0.0
76,train,0.001,83.32,0.475,0.0
76,val,,71.8,0.827,0.0
77,train,0.001,83.24,0.472,0.0
77,val,,72.8,0.824,0.0
78,train,0.001,83.64,0.438,0.0
78,val,,71.6,0.823,0.0
79,train,0.001,82.64,0.476,0.0
79,val,,73.4,0.812,0.0
80,train,0.001,84.56,0.443,0.0
80,val,,71.6,0.813,0.0
81,train,0.0001,83.72,0.448,0.0
