Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,33.68,1.521,0.0
1,val,,42.6,1.318,0.0
2,train,0.01,49.92,1.237,0.0
2,val,,54.6,1.115,0.0
3,train,0.01,54.92,1.11,0.0
3,val,,59.0,1.077,0.0
4,train,0.01,58.72,1.04,0.0
4,val,,63.2,0.967,0.0
5,train,0.01,60.64,1.003,0.0
5,val,,58.6,1.017,0.0
6,train,0.01,61.68,0.98,0.0
6,val,,64.6,0.898,0.0
7,train,0.01,62.92,0.93,0.0
7,val,,64.0,0.926,0.0
8,train,0.01,65.28,0.894,0.0
8,val,,65.0,0.927,0.0
9,train,0.01,65.24,0.89,0.0
9,val,,65.2,0.935,0.0
10,train,0.01,66.44,0.865,0.0
10,val,,66.6,0.875,0.0
11,train,0.01,67.68,0.839,0.0
11,val,,66.2,0.867,0.0
12,train,0.01,67.92,0.832,0.0
12,val,,68.2,0.898,0.0
13,train,0.01,68.32,0.817,0.0
13,val,,66.4,0.838,0.0
14,train,0.01,69.36,0.793,0.0
14,val,,66.8,0.869,0.0
15,train,0.01,71.12,0.772,0.0
15,val,,68.0,0.849,0.0
16,train,0.01,72.24,0.763,0.0
16,val,,68.6,0.822,0.0
17,train,0.01,70.08,0.766,0.0
17,val,,69.2,0.832,0.0
18,train,0.01,72.6,0.725,0.0
18,val,,69.0,0.829,0.0
19,train,0.01,71.08,0.742,0.0
19,val,,72.8,0.752,0.0
20,train,0.01,73.36,0.711,0.0
20,val,,69.6,0.773,0.0
21,train,0.01,73.52,0.711,0.0
21,val,,71.0,0.815,0.0
22,train,0.01,74.08,0.71,0.0
22,val,,71.4,0.754,0.0
23,train,0.01,74.52,0.686,0.0
23,val,,71.4,0.78,0.0
24,train,0.01,75.08,0.678,0.0
24,val,,71.2,0.762,0.0
25,train,0.01,75.12,0.662,0.0
25,val,,71.4,0.802,0.0
26,train,0.01,74.92,0.673,0.0
26,val,,72.8,0.759,0.0
27,train,0.01,76.56,0.654,0.0
27,val,,71.8,0.809,0.0
28,train,0.01,75.36,0.652,0.0
28,val,,72.4,0.771,0.0
29,train,0.01,76.08,0.644,0.0
29,val,,72.6,0.769,0.0
30,train,0.01,76.4,0.632,0.0
30,val,,72.8,0.786,0.0
31,train,0.01,77.2,0.613,0.0
31,val,,71.0,0.916,0.0
32,train,0.01,77.64,0.598,0.0
32,val,,72.8,0.793,0.0
33,train,0.01,76.28,0.614,0.0
33,val,,73.8,0.73,0.0
34,train,0.01,77.68,0.597,0.0
34,val,,74.2,0.735,0.0
