Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,33.0,1.492,0.0
1,val,,46.8,1.315,0.0
2,train,0.01,46.8,1.293,0.0
2,val,,52.8,1.177,0.0
3,train,0.01,51.08,1.193,0.0
3,val,,52.4,1.109,0.0
4,train,0.01,54.32,1.145,0.0
4,val,,62.0,1.031,0.0
5,train,0.01,55.84,1.097,0.0
5,val,,60.6,1.058,0.0
6,train,0.01,57.24,1.067,0.0
6,val,,62.8,0.98,0.0
7,train,0.01,58.16,1.044,0.0
7,val,,62.6,0.973,0.0
8,train,0.01,59.6,1.015,0.0
8,val,,61.8,1.025,0.0
9,train,0.01,60.6,0.994,0.0
9,val,,61.8,1.004,0.0
10,train,0.01,61.32,0.971,0.0
10,val,,59.8,1.048,0.0
11,train,0.01,61.96,0.96,0.0
11,val,,66.0,0.931,0.0
12,train,0.01,60.36,0.971,0.0
12,val,,66.2,0.961,0.0
13,train,0.01,64.56,0.925,0.0
13,val,,63.2,0.945,0.0
14,train,0.01,64.24,0.917,0.0
14,val,,62.0,0.971,0.0
15,train,0.01,64.56,0.915,0.0
15,val,,65.8,0.905,0.0
16,train,0.01,64.52,0.912,0.0
16,val,,67.6,0.881,0.0
17,train,0.01,66.6,0.874,0.0
17,val,,61.6,0.965,0.0
18,train,0.01,65.8,0.862,0.0
18,val,,67.2,0.894,0.0
19,train,0.01,66.48,0.844,0.0
19,val,,63.8,0.937,0.0
20,train,0.01,67.52,0.85,0.0
20,val,,70.2,0.832,0.0
21,train,0.01,69.08,0.804,0.0
21,val,,67.6,0.849,0.0
22,train,0.01,68.88,0.792,0.0
22,val,,67.8,0.856,0.0
23,train,0.01,69.32,0.812,0.0
23,val,,67.6,0.844,0.0
24,train,0.01,69.68,0.788,0.0
24,val,,64.2,0.95,0.0
25,train,0.01,69.36,0.784,0.0
25,val,,70.2,0.839,0.0
26,train,0.01,69.44,0.784,0.0
26,val,,67.2,0.916,0.0
27,train,0.01,71.2,0.747,0.0
27,val,,70.4,0.853,0.0
28,train,0.01,70.48,0.757,0.0
28,val,,69.2,0.853,0.0
29,train,0.01,70.48,0.755,0.0
29,val,,64.6,0.99,0.0
30,train,0.01,72.04,0.739,0.0
30,val,,70.6,0.856,0.0
31,train,0.01,71.28,0.75,0.0
31,val,,67.8,0.874,0.0
32,train,0.01,71.36,0.742,0.0
32,val,,70.6,0.817,0.0
33,train,0.01,72.28,0.701,0.0
33,val,,70.2,0.848,0.0
34,train,0.01,71.52,0.726,0.0
34,val,,67.8,0.894,0.0
35,train,0.01,74.08,0.704,0.0
35,val,,69.6,0.859,0.0
36,train,0.01,74.72,0.696,0.0
36,val,,70.2,0.837,0.0
37,train,0.01,73.8,0.687,0.0
37,val,,70.2,0.837,0.0
38,train,0.01,74.56,0.683,0.0
38,val,,70.4,0.865,0.0
39,train,0.01,74.12,0.689,0.0
39,val,,66.0,1.011,0.0
40,train,0.01,72.4,0.714,0.0
40,val,,69.4,0.829,0.0
41,train,0.01,75.12,0.669,0.0
41,val,,70.0,0.869,0.0
42,train,0.01,75.0,0.665,0.0
42,val,,63.2,1.08,0.0
43,train,0.01,75.04,0.673,0.0
43,val,,71.2,0.857,0.0
44,train,0.01,75.44,0.666,0.0
44,val,,70.2,0.829,0.0
45,train,0.01,76.56,0.632,0.0
45,val,,67.2,0.924,0.0
46,train,0.01,75.6,0.649,0.0
46,val,,71.0,0.806,0.0
47,train,0.01,76.56,0.638,0.0
47,val,,69.6,0.825,0.0
48,train,0.01,75.64,0.631,0.0
48,val,,70.0,0.843,0.0
49,train,0.01,75.48,0.643,0.0
49,val,,71.8,0.821,0.0
50,train,0.01,77.44,0.604,0.0
50,val,,70.8,0.841,0.0
51,train,0.001,79.52,0.558,0.0
51,val,,73.2,0.778,0.0
52,train,0.001,79.88,0.537,0.0
52,val,,72.8,0.775,0.0
53,train,0.001,79.56,0.529,0.0
53,val,,73.0,0.774,0.0
54,train,0.001,80.6,0.52,0.0
54,val,,72.6,0.78,0.0
55,train,0.001,81.4,0.507,0.0
55,val,,73.0,0.793,0.0
56,train,0.001,82.28,0.483,0.0
56,val,,71.6,0.798,0.0
57,train,0.001,82.4,0.491,0.0
57,val,,72.0,0.809,0.0
58,train,0.001,79.68,0.529,0.0
58,val,,73.0,0.824,0.0
59,train,0.001,81.16,0.518,0.0
59,val,,71.8,0.811,0.0
60,train,0.001,81.24,0.499,0.0
60,val,,73.8,0.834,0.0
61,train,0.001,80.48,0.522,0.0
61,val,,71.8,0.819,0.0
62,train,0.001,81.32,0.506,0.0
62,val,,73.2,0.809,0.0
63,train,0.001,81.44,0.494,0.0
63,val,,73.8,0.812,0.0
64,train,0.001,81.64,0.489,0.0
64,val,,71.6,0.832,0.0
65,train,0.001,82.52,0.483,0.0
65,val,,72.0,0.841,0.0
66,train,0.001,81.84,0.477,0.0
66,val,,72.4,0.839,0.0
67,train,0.001,82.16,0.482,0.0
67,val,,74.2,0.815,0.0
68,train,0.001,82.96,0.481,0.0
68,val,,73.2,0.824,0.0
69,train,0.001,82.4,0.465,0.0
69,val,,73.0,0.816,0.0
70,train,0.001,80.32,0.526,0.0
70,val,,74.6,0.828,0.0
71,train,0.001,82.96,0.463,0.0
71,val,,75.2,0.793,0.0
72,train,0.001,83.44,0.454,0.0
72,val,,74.6,0.802,0.0
73,train,0.001,84.08,0.444,0.0
73,val,,74.2,0.812,0.0
74,train,0.001,83.48,0.455,0.0
74,val,,73.2,0.817,0.0
75,train,0.001,83.08,0.457,0.0
75,val,,74.0,0.801,0.0
76,train,0.001,84.0,0.448,0.0
76,val,,74.2,0.806,0.0
77,train,0.001,83.44,0.464,0.0
77,val,,73.8,0.805,0.0
78,train,0.001,83.44,0.457,0.0
78,val,,74.8,0.804,0.0
79,train,0.001,83.68,0.445,0.0
79,val,,75.0,0.803,0.0
80,train,0.001,83.4,0.445,0.0
80,val,,74.8,0.806,0.0
81,train,0.0001,84.04,0.445,0.0
81,val,,74.0,0.809,0.0
82,train,0.0001,83.84,0.435,0.0
82,val,,73.8,0.802,0.0
83,train,0.0001,83.56,0.443,0.0
83,val,,74.0,0.808,0.0
84,train,0.0001,83.52,0.463,0.0
84,val,,73.8,0.81,0.0
85,train,0.0001,83.36,0.442,0.0
85,val,,75.2,0.798,0.0
86,train,0.0001,83.72,0.443,0.0
86,val,,73.8,0.798,0.0
87,train,0.0001,84.12,0.433,0.0
87,val,,74.8,0.802,0.0
88,train,0.0001,83.88,0.433,0.0
88,val,,74.4,0.807,0.0
89,train,0.0001,83.56,0.444,0.0
89,val,,75.2,0.802,0.0
90,train,0.0001,85.36,0.424,0.0
90,val,,74.0,0.812,0.0
91,train,0.0001,84.12,0.437,0.0
91,val,,74.2,0.801,0.0
92,train,0.0001,84.36,0.442,0.0
92,val,,74.0,0.803,0.0
93,train,0.0001,83.72,0.452,0.0
93,val,,73.8,0.807,0.0
94,train,0.0001,83.76,0.447,0.0
94,val,,74.6,0.807,0.0
95,train,0.0001,84.52,0.411,0.0
95,val,,75.0,0.814,0.0
96,train,0.0001,84.64,0.417,0.0
96,val,,74.6,0.814,0.0
97,train,0.0001,85.16,0.42,0.0
97,val,,74.0,0.805,0.0
98,train,0.0001,84.72,0.43,0.0
