Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.48,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,20.08,1.61,0.0
2,val,,20.0,1.609,0.0
3,train,0.01,19.72,1.61,0.0
3,val,,22.8,1.609,0.0
4,train,0.01,20.8,1.609,0.0
4,val,,23.4,1.607,0.0
5,train,0.01,23.6,1.607,0.0
5,val,,23.0,1.601,0.0
6,train,0.01,24.0,1.595,0.0
6,val,,29.8,1.567,0.0
7,train,0.01,26.56,1.574,0.0
7,val,,30.4,1.55,0.0
8,train,0.01,28.4,1.572,0.0
8,val,,28.8,1.542,0.0
9,train,0.01,28.52,1.563,0.0
9,val,,28.4,1.545,0.0
10,train,0.01,30.16,1.543,0.0
10,val,,30.6,1.529,0.0
11,train,0.01,30.72,1.542,0.0
11,val,,30.4,1.535,0.0
12,train,0.01,32.12,1.531,0.0
12,val,,32.0,1.513,0.0
13,train,0.01,33.72,1.517,0.0
13,val,,30.6,1.532,0.0
14,train,0.01,32.92,1.517,0.0
14,val,,32.2,1.513,0.0
15,train,0.01,32.8,1.51,0.0
15,val,,33.4,1.489,0.0
16,train,0.01,35.16,1.498,0.0
16,val,,34.6,1.49,0.0
17,train,0.01,34.52,1.493,0.0
17,val,,31.6,1.59,0.0
18,train,0.01,33.72,1.502,0.0
18,val,,34.6,1.502,0.0
19,train,0.01,35.28,1.484,0.0
19,val,,36.6,1.471,0.0
20,train,0.01,36.16,1.468,0.0
20,val,,35.2,1.473,0.0
21,train,0.01,37.84,1.462,0.0
21,val,,35.2,1.508,0.0
22,train,0.01,36.96,1.469,0.0
22,val,,32.6,1.521,0.0
23,train,0.01,37.52,1.467,0.0
23,val,,34.0,1.456,0.0
24,train,0.01,37.76,1.45,0.0
24,val,,35.8,1.475,0.0
25,train,0.01,38.2,1.45,0.0
25,val,,34.2,1.481,0.0
26,train,0.01,38.2,1.442,0.0
26,val,,37.0,1.456,0.0
27,train,0.01,39.28,1.431,0.0
27,val,,37.4,1.448,0.0
28,train,0.01,38.44,1.436,0.0
28,val,,34.8,1.466,0.0
29,train,0.01,38.52,1.432,0.0
29,val,,36.2,1.462,0.0
30,train,0.01,39.44,1.425,0.0
30,val,,36.2,1.441,0.0
31,train,0.01,39.36,1.419,0.0
31,val,,33.2,1.496,0.0
32,train,0.01,41.0,1.413,0.0
32,val,,35.4,1.429,0.0
33,train,0.01,40.84,1.402,0.0
33,val,,34.4,1.467,0.0
34,train,0.01,40.4,1.407,0.0
34,val,,35.2,1.463,0.0
35,train,0.01,41.08,1.393,0.0
35,val,,37.4,1.447,0.0
36,train,0.01,40.56,1.393,0.0
36,val,,37.4,1.472,0.0
37,train,0.01,41.64,1.388,0.0
37,val,,34.8,1.446,0.0
38,train,0.01,43.68,1.37,0.0
38,val,,36.2,1.447,0.0
39,train,0.01,43.72,1.356,0.0
39,val,,36.2,1.466,0.0
40,train,0.01,41.52,1.376,0.0
40,val,,35.0,1.449,0.0
41,train,0.01,43.28,1.349,0.0
41,val,,35.8,1.455,0.0
42,train,0.01,44.68,1.35,0.0
42,val,,34.6,1.514,0.0
43,train,0.01,44.76,1.333,0.0
43,val,,36.8,1.45,0.0
44,train,0.01,44.04,1.343,0.0
44,val,,35.6,1.47,0.0
45,train,0.01,45.96,1.338,0.0
45,val,,39.4,1.433,0.0
46,train,0.01,45.2,1.333,0.0
46,val,,37.8,1.478,0.0
47,train,0.01,45.32,1.325,0.0
47,val,,35.2,1.492,0.0
48,train,0.01,47.04,1.316,0.0
48,val,,39.0,1.478,0.0
49,train,0.01,46.36,1.297,0.0
49,val,,36.4,1.452,0.0
50,train,0.01,45.28,1.311,0.0
50,val,,37.8,1.448,0.0
51,train,0.001,49.56,1.263,0.0
51,val,,39.0,1.428,0.0
52,train,0.001,49.8,1.234,0.0
52,val,,39.8,1.423,0.0
53,train,0.001,48.72,1.249,0.0
53,val,,39.4,1.426,0.0
54,train,0.001,50.56,1.235,0.0
54,val,,40.0,1.449,0.0
55,train,0.001,51.76,1.223,0.0
55,val,,39.6,1.446,0.0
56,train,0.001,50.16,1.236,0.0
56,val,,38.4,1.438,0.0
57,train,0.001,51.32,1.221,0.0
57,val,,38.8,1.446,0.0
58,train,0.001,53.4,1.199,0.0
58,val,,40.6,1.444,0.0
59,train,0.001,52.48,1.219,0.0
59,val,,39.2,1.44,0.0
60,train,0.001,51.04,1.208,0.0
60,val,,38.4,1.447,0.0
61,train,0.001,52.52,1.2,0.0
61,val,,39.8,1.466,0.0
62,train,0.001,51.88,1.209,0.0
62,val,,39.4,1.465,0.0
63,train,0.001,52.76,1.192,0.0
63,val,,39.8,1.462,0.0
64,train,0.001,52.96,1.195,0.0
64,val,,39.2,1.468,0.0
65,train,0.001,52.8,1.197,0.0
65,val,,40.0,1.477,0.0
66,train,0.001,52.48,1.203,0.0
66,val,,39.2,1.475,0.0
67,train,0.001,52.2,1.189,0.0
67,val,,39.8,1.472,0.0
68,train,0.001,53.4,1.181,0.0
68,val,,40.6,1.476,0.0
69,train,0.001,54.96,1.176,0.0
69,val,,39.8,1.478,0.0
70,train,0.001,53.52,1.188,0.0
70,val,,40.4,1.484,0.0
71,train,0.001,52.28,1.187,0.0
71,val,,38.2,1.477,0.0
72,train,0.001,52.88,1.187,0.0
72,val,,39.0,1.475,0.0
73,train,0.001,53.4,1.158,0.0
73,val,,41.0,1.482,0.0
74,train,0.001,53.16,1.175,0.0
74,val,,39.8,1.477,0.0
75,train,0.001,53.96,1.175,0.0
75,val,,40.4,1.472,0.0
76,train,0.001,53.64,1.17,0.0
76,val,,38.0,1.497,0.0
77,train,0.001,54.48,1.16,0.0
77,val,,39.4,1.491,0.0
78,train,0.001,53.68,1.156,0.0
78,val,,39.6,1.499,0.0
79,train,0.001,53.84,1.174,0.0
79,val,,38.8,1.506,0.0
80,train,0.001,53.84,1.157,0.0
80,val,,39.4,1.485,0.0
81,train,0.0001,53.92,1.167,0.0
81,val,,39.2,1.5,0.0
82,train,0.0001,53.72,1.155,0.0
82,val,,40.0,1.485,0.0
83,train,0.0001,56.32,1.136,0.0
83,val,,40.2,1.498,0.0
84,train,0.0001,54.56,1.14,0.0
84,val,,39.0,1.503,0.0
85,train,0.0001,55.4,1.142,0.0
85,val,,39.2,1.488,0.0
86,train,0.0001,55.2,1.143,0.0
86,val,,39.6,1.495,0.0
87,train,0.0001,53.72,1.149,0.0
87,val,,39.2,1.503,0.0
88,train,0.0001,55.12,1.155,0.0
88,val,,39.4,1.496,0.0
89,train,0.0001,54.6,1.15,0.0
89,val,,40.2,1.485,0.0
90,train,0.0001,55.2,1.145,0.0
90,val,,39.6,1.495,0.0
91,train,0.0001,54.4,1.146,0.0
91,val,,39.4,1.504,0.0
92,train,0.0001,53.56,1.143,0.0
92,val,,38.6,1.494,0.0
93,train,0.0001,56.4,1.126,0.0
93,val,,39.6,1.511,0.0
94,train,0.0001,54.72,1.137,0.0
94,val,,40.0,1.516,0.0
95,train,0.0001,54.36,1.151,0.0
95,val,,39.6,1.504,0.0
96,train,0.0001,55.52,1.134,0.0
96,val,,40.2,1.5,0.0
97,train,0.0001,54.32,1.143,0.0
97,val,,39.4,1.499,0.0
98,train,0.0001,55.0,1.15,0.0
98,val,,39.8,1.495,0.0
99,train,0.0001,54.64,1.136,0.0
99,val,,39.6,1.498,0.0
100,train,0.0001,56.08,1.14,0.0
100,val,,39.6,1.497,0.0
