Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,20.44,1.61,0.0
1,val,,23.8,1.608,0.0
2,train,0.01,24.32,1.603,0.0
2,val,,24.8,1.584,0.0
3,train,0.01,30.04,1.542,0.0
3,val,,34.2,1.542,0.0
4,train,0.01,37.6,1.448,0.0
4,val,,39.0,1.42,0.0
5,train,0.01,41.68,1.371,0.0
5,val,,42.2,1.354,0.0
6,train,0.01,43.44,1.338,0.0
6,val,,47.4,1.29,0.0
7,train,0.01,45.88,1.277,0.0
7,val,,39.6,1.423,0.0
8,train,0.01,47.0,1.265,0.0
8,val,,44.6,1.356,0.0
9,train,0.01,48.04,1.256,0.0
9,val,,40.4,1.717,0.0
10,train,0.01,46.84,1.266,0.0
10,val,,47.0,1.255,0.0
11,train,0.01,49.4,1.223,0.0
11,val,,46.2,1.259,0.0
12,train,0.01,50.68,1.197,0.0
12,val,,50.0,1.232,0.0
13,train,0.01,50.84,1.194,0.0
13,val,,52.4,1.19,0.0
14,train,0.01,50.88,1.193,0.0
14,val,,50.4,1.197,0.0
15,train,0.01,52.52,1.173,0.0
15,val,,50.8,1.193,0.0
16,train,0.01,53.44,1.148,0.0
16,val,,50.2,1.25,0.0
17,train,0.01,54.28,1.143,0.0
17,val,,51.8,1.21,0.0
18,train,0.01,52.6,1.146,0.0
18,val,,52.2,1.151,0.0
19,train,0.01,54.96,1.121,0.0
19,val,,52.8,1.168,0.0
20,train,0.01,55.32,1.122,0.0
20,val,,52.2,1.203,0.0
21,train,0.01,55.6,1.09,0.0
21,val,,52.6,1.161,0.0
22,train,0.01,55.92,1.091,0.0
22,val,,56.4,1.146,0.0
23,train,0.01,56.4,1.108,0.0
23,val,,53.0,1.243,0.0
24,train,0.01,58.88,1.054,0.0
24,val,,52.4,1.202,0.0
25,train,0.01,57.16,1.065,0.0
25,val,,58.2,1.083,0.0
26,train,0.01,56.8,1.053,0.0
26,val,,58.8,1.052,0.0
27,train,0.01,58.32,1.05,0.0
27,val,,56.0,1.042,0.0
28,train,0.01,60.04,1.031,0.0
28,val,,58.6,1.077,0.0
29,train,0.01,61.12,1.011,0.0
29,val,,58.2,1.092,0.0
30,train,0.01,60.36,1.011,0.0
30,val,,57.0,1.091,0.0
31,train,0.01,60.36,1.011,0.0
31,val,,55.8,1.119,0.0
32,train,0.01,60.76,0.999,0.0
32,val,,53.8,1.172,0.0
33,train,0.01,58.64,1.019,0.0
33,val,,58.0,1.072,0.0
34,train,0.01,61.12,0.988,0.0
34,val,,60.4,1.056,0.0
35,train,0.01,61.48,0.99,0.0
35,val,,55.2,1.214,0.0
36,train,0.01,60.44,1.005,0.0
36,val,,59.8,1.054,0.0
37,train,0.01,62.2,0.975,0.0
37,val,,59.8,1.036,0.0
38,train,0.01,62.56,0.96,0.0
38,val,,58.2,1.06,0.0
39,train,0.01,62.6,0.942,0.0
39,val,,60.4,1.035,0.0
40,train,0.01,62.12,0.958,0.0
40,val,,60.0,1.021,0.0
41,train,0.01,63.04,0.938,0.0
41,val,,59.8,1.018,0.0
42,train,0.01,63.56,0.921,0.0
42,val,,55.6,1.272,0.0
43,train,0.01,63.52,0.943,0.0
43,val,,59.4,1.051,0.0
44,train,0.01,64.76,0.929,0.0
44,val,,61.2,1.005,0.0
45,train,0.01,66.36,0.89,0.0
45,val,,59.4,1.048,0.0
46,train,0.01,65.04,0.908,0.0
46,val,,58.0,1.072,0.0
47,train,0.01,66.12,0.874,0.0
47,val,,59.6,1.096,0.0
48,train,0.01,65.12,0.895,0.0
48,val,,59.4,1.083,0.0
49,train,0.01,66.2,0.859,0.0
49,val,,60.4,1.092,0.0
50,train,0.01,65.56,0.885,0.0
50,val,,58.2,1.049,0.0
51,train,0.001,68.8,0.82,0.0
51,val,,62.6,1.009,0.0
52,train,0.001,69.8,0.781,0.0
52,val,,62.8,1.013,0.0
53,train,0.001,68.72,0.8,0.0
53,val,,62.6,1.006,0.0
54,train,0.001,70.08,0.781,0.0
54,val,,62.6,1.004,0.0
55,train,0.001,70.48,0.78,0.0
55,val,,61.8,1.013,0.0
56,train,0.001,71.2,0.755,0.0
56,val,,63.4,1.001,0.0
57,train,0.001,71.04,0.773,0.0
57,val,,63.6,1.031,0.0
58,train,0.001,70.8,0.765,0.0
58,val,,64.0,1.011,0.0
59,train,0.001,71.96,0.745,0.0
59,val,,63.0,1.021,0.0
60,train,0.001,71.04,0.758,0.0
60,val,,64.0,1.026,0.0
61,train,0.001,70.76,0.756,0.0
61,val,,63.2,1.015,0.0
62,train,0.001,70.8,0.755,0.0
62,val,,63.8,1.014,0.0
63,train,0.001,72.48,0.736,0.0
63,val,,64.6,1.022,0.0
