Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.36,1.61,0.0
1,val,,20.0,1.608,0.0
2,train,0.01,23.6,1.605,0.0
2,val,,26.4,1.586,0.0
3,train,0.01,31.52,1.502,0.0
3,val,,34.2,1.469,0.0
4,train,0.01,36.96,1.449,0.0
4,val,,32.4,1.455,0.0
5,train,0.01,36.48,1.408,0.0
5,val,,34.8,1.438,0.0
6,train,0.01,36.92,1.394,0.0
6,val,,43.6,1.393,0.0
7,train,0.01,40.04,1.379,0.0
7,val,,43.0,1.374,0.0
8,train,0.01,43.4,1.348,0.0
8,val,,44.0,1.346,0.0
9,train,0.01,42.52,1.33,0.0
9,val,,43.4,1.326,0.0
10,train,0.01,45.52,1.313,0.0
10,val,,44.6,1.332,0.0
11,train,0.01,44.28,1.307,0.0
11,val,,45.2,1.325,0.0
12,train,0.01,45.64,1.296,0.0
12,val,,45.8,1.318,0.0
13,train,0.01,48.64,1.248,0.0
13,val,,48.0,1.276,0.0
14,train,0.01,46.72,1.26,0.0
14,val,,43.6,1.337,0.0
15,train,0.01,46.4,1.262,0.0
15,val,,45.6,1.302,0.0
16,train,0.01,48.48,1.239,0.0
16,val,,49.0,1.269,0.0
17,train,0.01,48.28,1.221,0.0
17,val,,51.2,1.252,0.0
18,train,0.01,49.52,1.209,0.0
18,val,,47.6,1.221,0.0
19,train,0.01,50.36,1.192,0.0
19,val,,49.2,1.247,0.0
20,train,0.01,51.64,1.183,0.0
20,val,,49.6,1.242,0.0
21,train,0.01,51.92,1.169,0.0
21,val,,51.8,1.227,0.0
22,train,0.01,52.32,1.162,0.0
22,val,,49.6,1.203,0.0
23,train,0.01,52.96,1.152,0.0
23,val,,51.2,1.199,0.0
24,train,0.01,54.04,1.148,0.0
24,val,,52.0,1.2,0.0
25,train,0.01,54.56,1.128,0.0
25,val,,51.8,1.184,0.0
26,train,0.01,55.0,1.089,0.0
26,val,,52.8,1.249,0.0
27,train,0.01,54.56,1.093,0.0
