Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,19.56,1.61,0.0
1,val,,20.0,1.609,0.0
2,train,0.01,20.72,1.608,0.0
2,val,,25.6,1.602,0.0
3,train,0.01,28.88,1.549,0.0
3,val,,30.8,1.456,0.0
4,train,0.01,39.16,1.427,0.0
4,val,,40.8,1.37,0.0
5,train,0.01,44.0,1.347,0.0
5,val,,40.6,1.362,0.0
6,train,0.01,46.96,1.282,0.0
6,val,,46.2,1.243,0.0
7,train,0.01,49.76,1.238,0.0
7,val,,48.4,1.225,0.0
8,train,0.01,51.12,1.213,0.0
8,val,,49.2,1.232,0.0
9,train,0.01,53.24,1.174,0.0
9,val,,54.2,1.162,0.0
10,train,0.01,55.08,1.146,0.0
10,val,,55.0,1.134,0.0
11,train,0.01,54.88,1.119,0.0
11,val,,56.2,1.097,0.0
12,train,0.01,56.16,1.105,0.0
12,val,,56.0,1.119,0.0
13,train,0.01,58.0,1.087,0.0
13,val,,47.6,1.34,0.0
14,train,0.01,57.0,1.083,0.0
14,val,,53.4,1.161,0.0
15,train,0.01,57.08,1.078,0.0
15,val,,54.2,1.134,0.0
16,train,0.01,58.48,1.06,0.0
16,val,,57.4,1.073,0.0
17,train,0.01,59.2,1.017,0.0
17,val,,57.4,1.139,0.0
18,train,0.01,59.12,1.046,0.0
18,val,,60.2,1.095,0.0
19,train,0.01,59.56,1.009,0.0
19,val,,60.4,1.025,0.0
20,train,0.01,60.4,1.011,0.0
20,val,,57.4,1.055,0.0
21,train,0.01,61.16,0.984,0.0
21,val,,56.2,1.058,0.0
22,train,0.01,59.6,1.006,0.0
22,val,,59.6,1.049,0.0
23,train,0.01,61.64,0.978,0.0
23,val,,59.2,1.082,0.0
24,train,0.01,62.4,0.955,0.0
24,val,,57.6,1.053,0.0
25,train,0.01,62.88,0.979,0.0
25,val,,59.8,1.027,0.0
26,train,0.01,63.6,0.931,0.0
26,val,,60.6,1.007,0.0
27,train,0.01,64.0,0.918,0.0
27,val,,59.8,1.041,0.0
28,train,0.01,64.0,0.922,0.0
28,val,,58.2,1.085,0.0
29,train,0.01,63.28,0.925,0.0
29,val,,58.6,1.052,0.0
30,train,0.01,63.24,0.924,0.0
30,val,,61.8,1.002,0.0
31,train,0.01,64.56,0.901,0.0
31,val,,58.8,1.103,0.0
32,train,0.01,64.6,0.918,0.0
32,val,,57.2,1.076,0.0
33,train,0.01,64.44,0.895,0.0
33,val,,62.4,0.98,0.0
34,train,0.01,65.2,0.884,0.0
34,val,,62.2,0.982,0.0
35,train,0.01,65.92,0.887,0.0
35,val,,61.6,0.967,0.0
36,train,0.01,65.56,0.851,0.0
36,val,,61.8,0.982,0.0
37,train,0.01,66.68,0.879,0.0
37,val,,61.2,0.962,0.0
38,train,0.01,66.32,0.853,0.0
38,val,,61.0,0.975,0.0
39,train,0.01,66.92,0.837,0.0
39,val,,58.6,1.03,0.0
40,train,0.01,67.92,0.818,0.0
40,val,,63.2,0.957,0.0
41,train,0.01,67.84,0.818,0.0
41,val,,58.6,1.225,0.0
42,train,0.01,68.0,0.826,0.0
42,val,,59.6,1.06,0.0
43,train,0.01,69.36,0.82,0.0
43,val,,58.4,0.998,0.0
44,train,0.01,69.12,0.816,0.0
44,val,,61.6,1.04,0.0
45,train,0.01,67.8,0.812,0.0
45,val,,61.6,1.015,0.0
46,train,0.01,67.36,0.831,0.0
46,val,,62.6,0.976,0.0
47,train,0.01,68.4,0.807,0.0
47,val,,60.6,1.062,0.0
48,train,0.01,69.48,0.78,0.0
48,val,,65.4,0.902,0.0
49,train,0.01,68.64,0.802,0.0
49,val,,64.2,0.915,0.0
50,train,0.01,70.56,0.773,0.0
50,val,,60.0,1.017,0.0
51,train,0.001,71.8,0.731,0.0
51,val,,65.6,0.885,0.0
52,train,0.001,74.12,0.686,0.0
52,val,,65.2,0.869,0.0
53,train,0.001,72.76,0.704,0.0
53,val,,65.2,0.869,0.0
54,train,0.001,73.92,0.686,0.0
54,val,,65.8,0.87,0.0
55,train,0.001,74.52,0.69,0.0
55,val,,65.8,0.893,0.0
56,train,0.001,74.44,0.663,0.0
56,val,,65.0,0.881,0.0
57,train,0.001,74.84,0.667,0.0
57,val,,65.6,0.882,0.0
58,train,0.001,74.32,0.67,0.0
58,val,,65.0,0.875,0.0
59,train,0.001,74.8,0.657,0.0
59,val,,65.6,0.879,0.0
60,train,0.001,75.52,0.657,0.0
60,val,,66.0,0.892,0.0
61,train,0.001,73.76,0.657,0.0
61,val,,65.6,0.898,0.0
62,train,0.001,75.36,0.65,0.0
62,val,,64.0,0.904,0.0
63,train,0.001,74.52,0.664,0.0
63,val,,64.4,0.89,0.0
64,train,0.001,75.96,0.654,0.0
64,val,,65.0,0.888,0.0
65,train,0.001,74.32,0.665,0.0
65,val,,65.4,0.881,0.0
66,train,0.001,74.56,0.653,0.0
66,val,,64.6,0.874,0.0
67,train,0.001,76.48,0.65,0.0
67,val,,64.2,0.9,0.0
68,train,0.001,76.4,0.641,0.0
68,val,,63.0,0.894,0.0
69,train,0.001,75.04,0.645,0.0
69,val,,65.0,0.913,0.0
70,train,0.001,75.36,0.641,0.0
70,val,,64.6,0.902,0.0
71,train,0.001,75.68,0.645,0.0
71,val,,66.2,0.867,0.0
72,train,0.001,76.36,0.636,0.0
72,val,,65.6,0.874,0.0
73,train,0.001,75.84,0.633,0.0
73,val,,65.8,0.859,0.0
74,train,0.001,76.44,0.631,0.0
74,val,,64.6,0.884,0.0
75,train,0.001,75.4,0.645,0.0
75,val,,65.0,0.875,0.0
76,train,0.001,77.16,0.631,0.0
76,val,,62.2,0.928,0.0
77,train,0.001,75.6,0.629,0.0
77,val,,64.4,0.895,0.0
78,train,0.001,75.44,0.629,0.0
78,val,,65.6,0.884,0.0
79,train,0.001,76.16,0.64,0.0
79,val,,65.0,0.892,0.0
80,train,0.001,76.32,0.624,0.0
80,val,,64.2,0.89,0.0
81,train,0.0001,75.92,0.623,0.0
81,val,,64.8,0.882,0.0
82,train,0.0001,77.84,0.601,0.0
82,val,,65.0,0.874,0.0
83,train,0.0001,76.48,0.617,0.0
83,val,,64.8,0.873,0.0
84,train,0.0001,77.04,0.606,0.0
84,val,,64.6,0.878,0.0
85,train,0.0001,76.2,0.621,0.0
85,val,,65.0,0.877,0.0
86,train,0.0001,77.68,0.597,0.0
86,val,,65.2,0.874,0.0
87,train,0.0001,77.52,0.598,0.0
87,val,,65.2,0.882,0.0
88,train,0.0001,75.76,0.614,0.0
88,val,,64.8,0.883,0.0
89,train,0.0001,77.12,0.622,0.0
89,val,,64.0,0.875,0.0
90,train,0.0001,76.88,0.603,0.0
90,val,,65.4,0.88,0.0
91,train,0.0001,76.76,0.615,0.0
91,val,,66.0,0.872,0.0
92,train,0.0001,76.16,0.622,0.0
92,val,,65.2,0.875,0.0
93,train,0.0001,77.12,0.614,0.0
93,val,,65.0,0.878,0.0
94,train,0.0001,76.8,0.619,0.0
94,val,,64.6,0.884,0.0
95,train,0.0001,77.2,0.604,0.0
95,val,,65.2,0.882,0.0
96,train,0.0001,78.52,0.603,0.0
96,val,,65.2,0.887,0.0
97,train,0.0001,77.36,0.607,0.0
97,val,,65.6,0.879,0.0
98,train,0.0001,78.0,0.589,0.0
98,val,,64.6,0.88,0.0
99,train,0.0001,76.76,0.608,0.0
99,val,,65.0,0.889,0.0
100,train,0.0001,77.92,0.594,0.0
100,val,,64.8,0.882,0.0
