Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
1,train,0.01,38.8,1.358,0.0
1,val,,47.4,1.153,0.0
2,train,0.01,50.96,1.107,0.0
2,val,,58.8,1.018,0.0
3,train,0.01,56.92,1.016,0.0
3,val,,59.0,0.933,0.0
4,train,0.01,60.6,0.941,0.0
4,val,,64.8,0.877,0.0
5,train,0.01,62.28,0.923,0.0
5,val,,65.4,0.822,0.0
6,train,0.01,64.68,0.869,0.0
6,val,,66.6,0.816,0.0
7,train,0.01,64.8,0.841,0.0
7,val,,72.6,0.748,0.0
8,train,0.01,67.36,0.808,0.0
8,val,,68.8,0.777,0.0
9,train,0.01,66.88,0.814,0.0
9,val,,72.0,0.721,0.0
10,train,0.01,70.12,0.775,0.0
10,val,,73.2,0.721,0.0
11,train,0.01,71.12,0.741,0.0
11,val,,70.2,0.69,0.0
12,train,0.01,70.72,0.733,0.0
12,val,,74.6,0.675,0.0
13,train,0.01,72.08,0.711,0.0
13,val,,75.0,0.683,0.0
14,train,0.01,72.76,0.717,0.0
14,val,,75.8,0.658,0.0
15,train,0.01,73.24,0.699,0.0
15,val,,77.4,0.603,0.0
16,train,0.01,73.48,0.677,0.0
16,val,,73.0,0.67,0.0
17,train,0.01,74.16,0.671,0.0
17,val,,77.4,0.604,0.0
18,train,0.01,75.92,0.648,0.0
18,val,,77.8,0.548,0.0
19,train,0.01,75.96,0.622,0.0
19,val,,79.0,0.554,0.0
20,train,0.01,75.16,0.638,0.0
20,val,,79.4,0.59,0.0
21,train,0.01,78.56,0.583,0.0
21,val,,74.4,0.643,0.0
22,train,0.01,76.08,0.629,0.0
22,val,,76.8,0.606,0.0
23,train,0.01,76.64,0.607,0.0
23,val,,80.2,0.517,0.0
24,train,0.01,78.8,0.571,0.0
24,val,,82.0,0.48,0.0
25,train,0.01,77.28,0.588,0.0
25,val,,78.2,0.59,0.0
26,train,0.01,78.36,0.561,0.0
26,val,,81.0,0.517,0.0
27,train,0.01,80.24,0.534,0.0
27,val,,69.8,0.833,0.0
28,train,0.01,79.36,0.535,0.0
28,val,,79.0,0.552,0.0
29,train,0.01,80.8,0.537,0.0
29,val,,76.4,0.593,0.0
30,train,0.01,80.12,0.524,0.0
30,val,,78.4,0.554,0.0
31,train,0.01,80.44,0.53,0.0
31,val,,80.2,0.564,0.0
32,train,0.01,80.24,0.513,0.0
32,val,,76.2,0.616,0.0
33,train,0.01,81.48,0.492,0.0
33,val,,75.6,0.584,0.0
34,train,0.01,82.44,0.485,0.0
34,val,,78.4,0.575,0.0
35,train,0.01,81.48,0.486,0.0
35,val,,81.4,0.454,0.0
36,train,0.01,80.8,0.498,0.0
36,val,,82.2,0.455,0.0
37,train,0.01,80.8,0.508,0.0
37,val,,81.2,0.57,0.0
38,train,0.01,81.72,0.476,0.0
38,val,,81.0,0.492,0.0
39,train,0.01,81.88,0.462,0.0
39,val,,80.6,0.523,0.0
40,train,0.01,82.2,0.479,0.0
40,val,,76.6,0.649,0.0
41,train,0.01,80.2,0.531,0.0
41,val,,81.8,0.477,0.0
42,train,0.01,82.96,0.449,0.0
42,val,,82.0,0.47,0.0
43,train,0.01,82.16,0.479,0.0
43,val,,78.2,0.551,0.0
44,train,0.01,82.92,0.44,0.0
44,val,,79.6,0.491,0.0
45,train,0.01,83.92,0.433,0.0
45,val,,77.6,0.557,0.0
46,train,0.01,83.24,0.441,0.0
46,val,,82.6,0.437,0.0
47,train,0.01,84.24,0.415,0.0
47,val,,82.4,0.485,0.0
48,train,0.01,83.0,0.435,0.0
48,val,,79.8,0.557,0.0
49,train,0.01,84.4,0.417,0.0
49,val,,81.2,0.488,0.0
50,train,0.01,85.16,0.404,0.0
50,val,,79.2,0.531,0.0
51,train,0.001,87.6,0.352,0.0
51,val,,85.2,0.394,0.0
52,train,0.001,88.48,0.311,0.0
52,val,,84.6,0.391,0.0
53,train,0.001,87.36,0.338,0.0
53,val,,84.4,0.384,0.0
54,train,0.001,88.48,0.315,0.0
54,val,,85.8,0.377,0.0
55,train,0.001,87.76,0.334,0.0
55,val,,85.0,0.373,0.0
56,train,0.001,88.4,0.307,0.0
56,val,,85.4,0.392,0.0
57,train,0.001,88.16,0.313,0.0
57,val,,84.8,0.394,0.0
58,train,0.001,88.64,0.306,0.0
58,val,,84.8,0.396,0.0
59,train,0.001,88.24,0.314,0.0
59,val,,86.4,0.388,0.0
60,train,0.001,88.52,0.304,0.0
60,val,,85.6,0.367,0.0
61,train,0.001,87.56,0.325,0.0
61,val,,85.0,0.383,0.0
62,train,0.001,89.32,0.305,0.0
62,val,,85.2,0.388,0.0
63,train,0.001,87.92,0.299,0.0
63,val,,85.4,0.388,0.0
64,train,0.001,88.76,0.306,0.0
64,val,,85.2,0.392,0.0
65,train,0.001,88.68,0.288,0.0
65,val,,85.2,0.39,0.0
66,train,0.001,88.84,0.309,0.0
66,val,,84.2,0.407,0.0
67,train,0.001,88.04,0.319,0.0
67,val,,85.6,0.375,0.0
68,train,0.001,89.28,0.298,0.0
68,val,,86.4,0.382,0.0
69,train,0.001,89.36,0.299,0.0
69,val,,84.0,0.375,0.0
70,train,0.001,89.36,0.297,0.0
70,val,,84.2,0.411,0.0
71,train,0.001,89.56,0.279,0.0
71,val,,86.0,0.381,0.0
72,train,0.001,90.28,0.272,0.0
72,val,,86.0,0.39,0.0
73,train,0.001,89.12,0.296,0.0
73,val,,84.8,0.408,0.0
74,train,0.001,90.36,0.266,0.0
74,val,,84.4,0.388,0.0
75,train,0.001,89.68,0.276,0.0
75,val,,84.2,0.424,0.0
76,train,0.001,89.64,0.285,0.0
76,val,,83.8,0.403,0.0
77,train,0.001,89.24,0.283,0.0
77,val,,84.8,0.4,0.0
78,train,0.001,90.0,0.263,0.0
78,val,,85.2,0.398,0.0
79,train,0.001,89.12,0.286,0.0
79,val,,84.0,0.406,0.0
80,train,0.001,90.0,0.27,0.0
80,val,,83.4,0.403,0.0
81,train,0.0001,90.44,0.261,0.0
81,val,,84.2,0.415,0.0
82,train,0.0001,90.44,0.271,0.0
82,val,,84.4,0.391,0.0
83,train,0.0001,89.24,0.285,0.0
83,val,,84.4,0.402,0.0
84,train,0.0001,90.4,0.26,0.0
84,val,,84.0,0.39,0.0
85,train,0.0001,90.08,0.264,0.0
85,val,,83.6,0.394,0.0
86,train,0.0001,90.44,0.261,0.0
86,val,,84.2,0.39,0.0
87,train,0.0001,90.08,0.274,0.0
87,val,,83.4,0.399,0.0
88,train,0.0001,89.88,0.277,0.0
88,val,,84.2,0.39,0.0
89,train,0.0001,90.48,0.265,0.0
89,val,,85.0,0.387,0.0
90,train,0.0001,90.32,0.263,0.0
90,val,,83.6,0.403,0.0
91,train,0.0001,90.6,0.256,0.0
91,val,,83.8,0.394,0.0
92,train,0.0001,90.44,0.257,0.0
92,val,,84.0,0.399,0.0
93,train,0.0001,90.76,0.257,0.0
93,val,,83.6,0.403,0.0
94,train,0.0001,90.12,0.276,0.0
94,val,,83.6,0.394,0.0
95,train,0.0001,90.16,0.266,0.0
95,val,,84.0,0.394,0.0
96,train,0.0001,89.48,0.279,0.0
96,val,,83.8,0.392,0.0
97,train,0.0001,90.6,0.26,0.0
97,val,,84.8,0.396,0.0
98,train,0.0001,90.36,0.266,0.0
98,val,,85.2,0.391,0.0
99,train,0.0001,90.56,0.256,0.0
99,val,,84.8,0.394,0.0
100,train,0.0001,89.12,0.285,0.0
100,val,,85.0,0.386,0.0
