Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.32,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,22.36,1.605,0.0,
2,val,,22.2,1.559,0.0,
3,train,0.01,35.48,1.456,0.0,
3,val,,36.4,1.387,0.0,
4,train,0.01,35.52,1.353,0.0,
4,val,,36.2,1.382,0.0,
5,train,0.01,37.76,1.287,0.0,
5,val,,40.2,1.224,0.0,
6,train,0.01,37.92,1.261,0.0,
6,val,,44.0,1.246,0.0,
7,train,0.01,41.28,1.247,0.0,
7,val,,43.2,1.23,0.0,
8,train,0.01,43.72,1.245,0.0,
8,val,,48.0,1.197,0.0,
9,train,0.01,44.4,1.223,0.0,
9,val,,47.8,1.199,0.0,
10,train,0.01,44.04,1.213,0.0,
10,val,,47.6,1.156,0.0,
11,train,0.01,44.52,1.201,0.0,
11,val,,46.0,1.217,0.0,
12,train,0.01,45.16,1.196,0.0,
12,val,,47.4,1.149,0.0,
13,train,0.01,46.84,1.197,0.0,
13,val,,49.2,1.168,0.0,
14,train,0.01,46.76,1.183,0.0,
14,val,,49.4,1.144,0.0,
15,train,0.01,47.44,1.172,0.0,
15,val,,49.2,1.182,0.0,
16,train,0.01,47.76,1.165,0.0,
16,val,,50.2,1.153,0.0,
17,train,0.01,47.92,1.169,0.0,
17,val,,49.0,1.14,0.0,
18,train,0.01,49.16,1.151,0.0,
18,val,,48.4,1.181,0.0,
19,train,0.01,47.24,1.177,0.0,
19,val,,49.2,1.156,0.0,
20,train,0.01,49.08,1.147,0.0,
20,val,,48.2,1.148,0.0,
21,train,0.01,49.88,1.134,0.0,
21,val,,51.0,1.141,0.0,
22,train,0.01,49.2,1.15,0.0,
22,val,,50.2,1.151,0.0,
23,train,0.01,49.88,1.125,0.0,
23,val,,51.8,1.11,0.0,
24,train,0.01,50.04,1.132,0.0,
24,val,,52.0,1.131,0.0,
25,train,0.01,50.56,1.114,0.0,
25,val,,48.6,1.134,0.0,
26,train,0.01,51.24,1.102,0.0,
26,val,,49.0,1.13,0.0,
27,train,0.01,50.76,1.115,0.0,
27,val,,52.0,1.201,0.0,
28,train,0.01,51.68,1.113,0.0,
28,val,,51.8,1.115,0.0,
29,train,0.01,50.6,1.12,0.0,
29,val,,51.2,1.119,0.0,
30,train,0.01,53.4,1.088,0.0,
30,val,,50.0,1.156,0.0,
31,train,0.01,52.64,1.106,0.0,
31,val,,50.4,1.137,0.0,
32,train,0.01,52.28,1.11,0.0,
32,val,,48.6,1.139,0.0,
33,train,0.01,52.68,1.099,0.0,
33,val,,50.2,1.114,0.0,
34,train,0.01,53.92,1.089,0.0,
34,val,,49.8,1.156,0.0,
35,train,0.01,53.8,1.076,0.0,
35,val,,49.8,1.15,0.0,
36,train,0.01,53.56,1.074,0.0,
36,val,,50.6,1.123,0.0,
37,train,0.01,54.16,1.058,0.0,
37,val,,52.8,1.12,0.0,
38,train,0.01,53.96,1.068,0.0,
38,val,,52.0,1.134,0.0,
39,train,0.01,53.24,1.066,0.0,
39,val,,52.2,1.142,0.0,
40,train,0.01,54.08,1.058,0.0,
40,val,,53.2,1.14,0.0,
41,train,0.01,54.32,1.062,0.0,
41,val,,51.8,1.189,0.0,
42,train,0.01,54.4,1.056,0.0,
42,val,,52.2,1.11,0.0,
43,train,0.01,55.68,1.044,0.0,
43,val,,50.2,1.127,0.0,
44,train,0.01,55.64,1.058,0.0,
44,val,,51.6,1.107,0.0,
45,train,0.01,54.96,1.034,0.0,
45,val,,52.2,1.124,0.0,
46,train,0.01,55.8,1.024,0.0,
46,val,,51.0,1.134,0.0,
47,train,0.01,55.04,1.038,0.0,
