Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.96,1.61,0.0,
1,val,,20.6,1.608,0.0,
2,train,0.01,21.04,1.606,0.0,
2,val,,32.4,1.586,0.0,
3,train,0.01,32.28,1.492,0.0,
3,val,,33.4,1.422,0.0,
4,train,0.01,32.84,1.379,0.0,
4,val,,33.8,1.328,0.0,
5,train,0.01,39.6,1.324,0.0,
5,val,,40.4,1.277,0.0,
6,train,0.01,42.76,1.285,0.0,
6,val,,45.0,1.229,0.0,
7,train,0.01,45.6,1.25,0.0,
7,val,,45.4,1.211,0.0,
8,train,0.01,47.48,1.207,0.0,
8,val,,46.0,1.178,0.0,
9,train,0.01,49.44,1.168,0.0,
9,val,,51.4,1.136,0.0,
10,train,0.01,50.16,1.156,0.0,
10,val,,50.0,1.137,0.0,
11,train,0.01,51.0,1.15,0.0,
11,val,,51.4,1.12,0.0,
12,train,0.01,52.32,1.101,0.0,
12,val,,52.0,1.108,0.0,
13,train,0.01,53.04,1.108,0.0,
13,val,,50.8,1.12,0.0,
14,train,0.01,55.48,1.081,0.0,
14,val,,54.4,1.066,0.0,
15,train,0.01,56.36,1.07,0.0,
15,val,,55.8,1.092,0.0,
16,train,0.01,58.04,1.059,0.0,
16,val,,56.8,1.078,0.0,
17,train,0.01,61.84,1.007,0.0,
17,val,,59.4,1.017,0.0,
18,train,0.01,63.32,0.978,0.0,
18,val,,59.8,1.016,0.0,
19,train,0.01,62.76,0.978,0.0,
19,val,,62.6,0.939,0.0,
20,train,0.01,63.76,0.94,0.0,
20,val,,63.6,0.974,0.0,
21,train,0.01,64.48,0.921,0.0,
21,val,,62.6,0.935,0.0,
22,train,0.01,64.96,0.934,0.0,
22,val,,61.0,0.976,0.0,
23,train,0.01,64.8,0.91,0.0,
23,val,,65.8,0.921,0.0,
24,train,0.01,66.28,0.899,0.0,
24,val,,67.0,0.868,0.0,
25,train,0.01,64.24,0.905,0.0,
25,val,,66.0,0.903,0.0,
26,train,0.01,66.16,0.855,0.0,
26,val,,66.2,0.924,0.0,
27,train,0.01,65.2,0.882,0.0,
27,val,,64.8,0.9,0.0,
28,train,0.01,66.04,0.874,0.0,
28,val,,66.0,0.849,0.0,
29,train,0.01,67.28,0.852,0.0,
29,val,,66.4,0.875,0.0,
30,train,0.01,66.76,0.868,0.0,
30,val,,67.8,0.881,0.0,
31,train,0.01,66.84,0.866,0.0,
31,val,,65.4,0.891,0.0,
32,train,0.01,68.08,0.838,0.0,
32,val,,64.6,0.877,0.0,
33,train,0.01,68.0,0.848,0.0,
33,val,,70.2,0.832,0.0,
34,train,0.01,68.68,0.821,0.0,
34,val,,65.6,0.832,0.0,
35,train,0.01,66.88,0.827,0.0,
35,val,,64.0,0.891,0.0,
36,train,0.01,68.6,0.81,0.0,
36,val,,68.8,0.813,0.0,
37,train,0.01,68.4,0.816,0.0,
37,val,,64.8,0.9,0.0,
38,train,0.01,69.08,0.802,0.0,
38,val,,67.0,0.83,0.0,
39,train,0.01,69.8,0.796,0.0,
39,val,,68.4,0.852,0.0,
40,train,0.01,69.0,0.804,0.0,
40,val,,65.8,0.895,0.0,
41,train,0.01,68.88,0.801,0.0,
41,val,,68.6,0.859,0.0,
42,train,0.01,68.76,0.819,0.0,
42,val,,68.8,0.83,0.0,
43,train,0.01,69.96,0.765,0.0,
43,val,,64.6,0.887,0.0,
44,train,0.01,70.04,0.787,0.0,
44,val,,68.2,0.812,0.0,
45,train,0.01,70.72,0.783,0.0,
45,val,,68.6,0.818,0.0,
46,train,0.01,70.44,0.771,0.0,
46,val,,66.6,0.832,0.0,
47,train,0.01,70.76,0.745,0.0,
47,val,,70.0,0.792,0.0,
48,train,0.01,70.6,0.745,0.0,
48,val,,69.2,0.796,0.0,
49,train,0.01,70.72,0.747,0.0,
49,val,,67.4,0.818,0.0,
50,train,0.01,71.24,0.751,0.0,
50,val,,70.4,0.765,0.0,
51,train,0.001,72.72,0.698,0.0,
51,val,,69.8,0.752,0.0,
52,train,0.001,73.96,0.688,0.0,
52,val,,69.8,0.759,0.0,
53,train,0.001,74.12,0.685,0.0,
53,val,,71.0,0.755,0.0,
54,train,0.001,73.88,0.678,0.0,
54,val,,71.4,0.76,0.0,
55,train,0.001,73.64,0.674,0.0,
55,val,,71.6,0.756,0.0,
56,train,0.001,74.08,0.684,0.0,
56,val,,71.4,0.762,0.0,
57,train,0.001,74.72,0.674,0.0,
57,val,,72.6,0.75,0.0,
58,train,0.001,73.96,0.668,0.0,
58,val,,72.2,0.748,0.0,
59,train,0.001,74.48,0.675,0.0,
59,val,,71.4,0.753,0.0,
60,train,0.001,74.28,0.668,0.0,
60,val,,71.4,0.74,0.0,
61,train,0.001,73.88,0.654,0.0,
61,val,,72.0,0.751,0.0,
62,train,0.001,74.52,0.671,0.0,
62,val,,71.6,0.746,0.0,
63,train,0.001,75.48,0.659,0.0,
63,val,,71.0,0.776,0.0,
64,train,0.001,74.4,0.666,0.0,
64,val,,70.8,0.753,0.0,
65,train,0.001,75.28,0.652,0.0,
65,val,,71.4,0.748,0.0,
66,train,0.001,74.68,0.657,0.0,
66,val,,73.0,0.749,0.0,
67,train,0.001,74.96,0.66,0.0,
67,val,,73.0,0.735,0.0,
68,train,0.001,75.72,0.665,0.0,
68,val,,73.2,0.734,0.0,
69,train,0.001,75.16,0.661,0.0,
69,val,,71.0,0.764,0.0,
70,train,0.001,75.88,0.652,0.0,
70,val,,72.4,0.736,0.0,
71,train,0.001,75.48,0.656,0.0,
71,val,,72.2,0.739,0.0,
72,train,0.001,75.04,0.649,0.0,
72,val,,70.8,0.755,0.0,
73,train,0.001,74.68,0.666,0.0,
73,val,,72.0,0.743,0.0,
74,train,0.001,75.52,0.644,0.0,
74,val,,71.6,0.749,0.0,
75,train,0.001,75.2,0.637,0.0,
75,val,,71.8,0.747,0.0,
76,train,0.001,74.96,0.663,0.0,
76,val,,72.2,0.75,0.0,
77,train,0.001,75.4,0.651,0.0,
77,val,,72.6,0.741,0.0,
78,train,0.001,75.12,0.659,0.0,
78,val,,72.8,0.739,0.0,
79,train,0.001,75.72,0.644,0.0,
79,val,,73.4,0.739,0.0,
80,train,0.001,75.48,0.637,0.0,
80,val,,73.0,0.737,0.0,
81,train,0.0001,75.08,0.645,0.0,
81,val,,71.2,0.748,0.0,
82,train,0.0001,76.2,0.639,0.0,
82,val,,72.8,0.74,0.0,
83,train,0.0001,76.84,0.617,0.0,
83,val,,72.6,0.742,0.0,
84,train,0.0001,75.88,0.633,0.0,
84,val,,71.6,0.745,0.0,
85,train,0.0001,75.8,0.627,0.0,
85,val,,72.2,0.739,0.0,
86,train,0.0001,75.52,0.644,0.0,
86,val,,71.8,0.745,0.0,
87,train,0.0001,75.76,0.637,0.0,
87,val,,72.2,0.746,0.0,
88,train,0.0001,75.12,0.646,0.0,
88,val,,71.4,0.749,0.0,
89,train,0.0001,75.76,0.64,0.0,
89,val,,72.8,0.74,0.0,
90,train,0.0001,75.72,0.638,0.0,
90,val,,72.8,0.742,0.0,
91,train,0.0001,75.92,0.629,0.0,
91,val,,72.2,0.746,0.0,
92,train,0.0001,75.6,0.644,0.0,
92,val,,71.4,0.76,0.0,
