Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.2,1.61,0.0,
1,val,,20.8,1.609,0.0,
2,train,0.01,19.24,1.61,0.0,
2,val,,21.2,1.608,0.0,
3,train,0.01,26.88,1.6,0.0,
3,val,,27.6,1.547,0.0,
4,train,0.01,32.68,1.501,0.0,
4,val,,38.8,1.417,0.0,
5,train,0.01,40.8,1.409,0.0,
5,val,,43.2,1.321,0.0,
6,train,0.01,47.68,1.255,0.0,
6,val,,50.2,1.182,0.0,
7,train,0.01,50.88,1.184,0.0,
7,val,,56.0,1.122,0.0,
8,train,0.01,52.2,1.169,0.0,
8,val,,57.2,1.064,0.0,
9,train,0.01,52.92,1.151,0.0,
9,val,,56.6,1.081,0.0,
10,train,0.01,54.0,1.13,0.0,
10,val,,57.8,1.057,0.0,
11,train,0.01,54.12,1.119,0.0,
11,val,,55.6,1.059,0.0,
12,train,0.01,56.0,1.085,0.0,
12,val,,56.8,1.031,0.0,
13,train,0.01,56.24,1.096,0.0,
13,val,,58.8,1.004,0.0,
14,train,0.01,57.08,1.07,0.0,
14,val,,60.0,0.989,0.0,
15,train,0.01,56.08,1.061,0.0,
15,val,,58.0,1.008,0.0,
16,train,0.01,57.0,1.064,0.0,
16,val,,53.2,1.073,0.0,
17,train,0.01,56.36,1.048,0.0,
17,val,,59.6,1.014,0.0,
18,train,0.01,57.56,1.052,0.0,
18,val,,59.6,1.035,0.0,
19,train,0.01,56.96,1.044,0.0,
19,val,,60.8,0.962,0.0,
20,train,0.01,57.44,1.028,0.0,
20,val,,61.8,0.959,0.0,
21,train,0.01,57.4,1.031,0.0,
21,val,,61.8,0.957,0.0,
22,train,0.01,58.2,1.027,0.0,
22,val,,61.8,0.948,0.0,
23,train,0.01,57.56,1.031,0.0,
23,val,,62.0,0.94,0.0,
24,train,0.01,58.44,1.008,0.0,
24,val,,63.0,0.955,0.0,
25,train,0.01,59.28,1.014,0.0,
25,val,,62.0,0.964,0.0,
26,train,0.01,59.36,0.997,0.0,
26,val,,63.8,0.955,0.0,
27,train,0.01,59.24,0.997,0.0,
27,val,,57.2,1.069,0.0,
28,train,0.01,59.68,1.01,0.0,
28,val,,63.8,0.927,0.0,
29,train,0.01,60.8,0.979,0.0,
29,val,,63.2,0.966,0.0,
30,train,0.01,60.16,0.972,0.0,
30,val,,62.8,0.938,0.0,
31,train,0.01,60.16,0.973,0.0,
31,val,,62.2,0.925,0.0,
32,train,0.01,60.0,0.963,0.0,
32,val,,62.8,0.955,0.0,
33,train,0.01,61.28,0.965,0.0,
33,val,,61.6,0.964,0.0,
34,train,0.01,59.68,0.991,0.0,
34,val,,62.6,0.937,0.0,
35,train,0.01,60.64,0.96,0.0,
35,val,,61.2,0.98,0.0,
36,train,0.01,61.04,0.956,0.0,
36,val,,61.6,0.951,0.0,
37,train,0.01,60.8,0.945,0.0,
37,val,,65.4,0.894,0.0,
38,train,0.01,61.88,0.956,0.0,
38,val,,63.8,0.931,0.0,
39,train,0.01,61.32,0.946,0.0,
39,val,,63.8,0.936,0.0,
40,train,0.01,62.4,0.921,0.0,
40,val,,63.0,0.93,0.0,
41,train,0.01,62.48,0.931,0.0,
41,val,,63.2,0.917,0.0,
42,train,0.01,63.72,0.922,0.0,
42,val,,65.0,0.905,0.0,
43,train,0.01,62.96,0.922,0.0,
43,val,,63.6,0.916,0.0,
44,train,0.01,62.72,0.914,0.0,
44,val,,62.0,0.918,0.0,
45,train,0.01,63.52,0.908,0.0,
45,val,,62.8,0.961,0.0,
46,train,0.01,64.16,0.904,0.0,
46,val,,64.8,0.885,0.0,
47,train,0.01,63.32,0.899,0.0,
47,val,,65.4,0.886,0.0,
48,train,0.01,64.0,0.883,0.0,
48,val,,64.0,0.928,0.0,
49,train,0.01,63.04,0.897,0.0,
49,val,,62.2,0.932,0.0,
50,train,0.01,65.04,0.882,0.0,
50,val,,65.4,0.887,0.0,
51,train,0.001,66.88,0.828,0.0,
51,val,,66.4,0.858,0.0,
52,train,0.001,67.4,0.821,0.0,
52,val,,65.0,0.865,0.0,
53,train,0.001,67.56,0.82,0.0,
53,val,,67.6,0.847,0.0,
54,train,0.001,68.44,0.794,0.0,
54,val,,66.8,0.855,0.0,
55,train,0.001,67.64,0.805,0.0,
55,val,,65.0,0.851,0.0,
56,train,0.001,67.24,0.811,0.0,
56,val,,66.8,0.846,0.0,
57,train,0.001,67.88,0.807,0.0,
57,val,,66.6,0.848,0.0,
58,train,0.001,68.12,0.816,0.0,
58,val,,65.8,0.849,0.0,
59,train,0.001,68.44,0.799,0.0,
59,val,,66.8,0.847,0.0,
60,train,0.001,68.28,0.808,0.0,
60,val,,66.2,0.845,0.0,
61,train,0.001,67.52,0.802,0.0,
61,val,,65.8,0.845,0.0,
62,train,0.001,68.28,0.804,0.0,
62,val,,65.4,0.849,0.0,
63,train,0.001,68.6,0.785,0.0,
63,val,,66.4,0.846,0.0,
64,train,0.001,67.16,0.811,0.0,
64,val,,65.6,0.85,0.0,
65,train,0.001,67.92,0.799,0.0,
65,val,,66.4,0.836,0.0,
66,train,0.001,68.0,0.789,0.0,
66,val,,66.4,0.853,0.0,
67,train,0.001,68.52,0.798,0.0,
67,val,,65.4,0.853,0.0,
68,train,0.001,69.04,0.786,0.0,
68,val,,66.4,0.846,0.0,
69,train,0.001,68.56,0.795,0.0,
69,val,,64.4,0.847,0.0,
70,train,0.001,69.84,0.769,0.0,
70,val,,66.6,0.84,0.0,
71,train,0.001,68.56,0.795,0.0,
71,val,,65.2,0.855,0.0,
72,train,0.001,68.36,0.791,0.0,
72,val,,65.6,0.843,0.0,
73,train,0.001,70.16,0.771,0.0,
73,val,,64.8,0.85,0.0,
