Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.8,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,21.64,1.609,0.0,
2,val,,34.8,1.601,0.0,
3,train,0.01,33.12,1.53,0.0,
3,val,,38.2,1.346,0.0,
4,train,0.01,41.36,1.319,0.0,
4,val,,47.0,1.275,0.0,
5,train,0.01,44.88,1.29,0.0,
5,val,,46.2,1.252,0.0,
6,train,0.01,48.72,1.242,0.0,
6,val,,58.0,1.096,0.0,
7,train,0.01,52.96,1.162,0.0,
7,val,,59.4,1.044,0.0,
8,train,0.01,54.48,1.087,0.0,
8,val,,61.2,0.995,0.0,
9,train,0.01,56.96,1.028,0.0,
9,val,,60.6,0.944,0.0,
10,train,0.01,58.48,1.001,0.0,
10,val,,58.4,0.998,0.0,
11,train,0.01,59.72,0.997,0.0,
11,val,,63.8,0.97,0.0,
12,train,0.01,61.76,0.944,0.0,
12,val,,65.4,0.889,0.0,
13,train,0.01,63.2,0.939,0.0,
13,val,,64.2,0.908,0.0,
14,train,0.01,63.48,0.928,0.0,
14,val,,67.6,0.847,0.0,
15,train,0.01,66.12,0.87,0.0,
15,val,,69.4,0.844,0.0,
16,train,0.01,66.76,0.871,0.0,
16,val,,67.6,0.92,0.0,
17,train,0.01,66.84,0.873,0.0,
17,val,,67.4,0.86,0.0,
18,train,0.01,67.12,0.845,0.0,
18,val,,65.6,0.816,0.0,
19,train,0.01,68.32,0.835,0.0,
19,val,,67.2,0.838,0.0,
20,train,0.01,67.08,0.84,0.0,
20,val,,69.2,0.813,0.0,
21,train,0.01,68.48,0.819,0.0,
21,val,,68.0,0.854,0.0,
22,train,0.01,68.36,0.814,0.0,
22,val,,69.0,0.862,0.0,
23,train,0.01,68.72,0.822,0.0,
23,val,,70.2,0.747,0.0,
24,train,0.01,69.76,0.801,0.0,
24,val,,69.6,0.792,0.0,
25,train,0.01,68.52,0.81,0.0,
25,val,,71.2,0.727,0.0,
26,train,0.01,72.4,0.739,0.0,
26,val,,68.6,0.889,0.0,
27,train,0.01,69.28,0.796,0.0,
27,val,,70.6,0.77,0.0,
28,train,0.01,70.92,0.748,0.0,
28,val,,73.2,0.748,0.0,
29,train,0.01,71.08,0.761,0.0,
29,val,,70.8,0.838,0.0,
30,train,0.01,70.64,0.758,0.0,
30,val,,71.8,0.765,0.0,
31,train,0.01,69.84,0.767,0.0,
31,val,,71.6,0.779,0.0,
32,train,0.01,71.08,0.739,0.0,
32,val,,72.6,0.743,0.0,
33,train,0.01,71.6,0.741,0.0,
33,val,,71.8,0.725,0.0,
34,train,0.01,71.44,0.747,0.0,
34,val,,74.6,0.693,0.0,
35,train,0.01,72.2,0.709,0.0,
35,val,,71.8,0.796,0.0,
36,train,0.01,72.64,0.714,0.0,
36,val,,75.2,0.7,0.0,
