Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.56,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.32,1.611,0.0,
2,val,,20.0,1.609,0.0,
3,train,0.01,19.64,1.61,0.0,
3,val,,20.0,1.609,0.0,
4,train,0.01,21.6,1.609,0.0,
4,val,,28.0,1.606,0.0,
5,train,0.01,22.0,1.604,0.0,
5,val,,32.6,1.594,0.0,
6,train,0.01,26.24,1.583,0.0,
6,val,,31.4,1.556,0.0,
7,train,0.01,29.12,1.555,0.0,
7,val,,35.0,1.51,0.0,
8,train,0.01,34.08,1.514,0.0,
8,val,,42.0,1.445,0.0,
9,train,0.01,37.28,1.479,0.0,
9,val,,41.4,1.415,0.0,
10,train,0.01,41.16,1.418,0.0,
10,val,,39.0,1.438,0.0,
11,train,0.01,43.56,1.365,0.0,
11,val,,36.2,1.678,0.0,
12,train,0.01,39.68,1.431,0.0,
12,val,,43.4,1.35,0.0,
13,train,0.01,42.6,1.394,0.0,
13,val,,42.6,1.368,0.0,
14,train,0.01,43.88,1.372,0.0,
14,val,,44.2,1.31,0.0,
15,train,0.01,44.84,1.34,0.0,
15,val,,49.4,1.259,0.0,
16,train,0.01,47.16,1.309,0.0,
16,val,,51.8,1.234,0.0,
17,train,0.01,49.56,1.283,0.0,
17,val,,55.0,1.207,0.0,
18,train,0.01,49.28,1.266,0.0,
18,val,,54.6,1.227,0.0,
19,train,0.01,52.84,1.212,0.0,
19,val,,55.6,1.139,0.0,
20,train,0.01,53.24,1.183,0.0,
20,val,,57.8,1.109,0.0,
21,train,0.01,54.68,1.164,0.0,
21,val,,57.8,1.08,0.0,
22,train,0.01,56.68,1.116,0.0,
22,val,,54.6,1.127,0.0,
23,train,0.01,57.56,1.09,0.0,
23,val,,60.2,1.029,0.0,
24,train,0.01,58.64,1.073,0.0,
24,val,,58.0,1.09,0.0,
25,train,0.01,58.4,1.08,0.0,
25,val,,61.2,1.023,0.0,
26,train,0.01,61.04,1.03,0.0,
26,val,,55.4,1.254,0.0,
27,train,0.01,60.84,1.009,0.0,
27,val,,61.4,1.048,0.0,
28,train,0.01,62.12,1.005,0.0,
28,val,,61.6,0.984,0.0,
29,train,0.01,62.12,0.985,0.0,
29,val,,60.8,1.011,0.0,
30,train,0.01,62.76,0.965,0.0,
30,val,,63.6,0.98,0.0,
31,train,0.01,62.08,0.986,0.0,
31,val,,64.4,0.963,0.0,
32,train,0.01,63.56,0.958,0.0,
32,val,,59.0,1.065,0.0,
33,train,0.01,64.56,0.939,0.0,
33,val,,64.8,0.955,0.0,
34,train,0.01,64.52,0.92,0.0,
34,val,,63.8,1.021,0.0,
35,train,0.01,64.92,0.924,0.0,
35,val,,61.8,1.039,0.0,
36,train,0.01,65.04,0.947,0.0,
36,val,,61.6,0.999,0.0,
37,train,0.01,65.12,0.906,0.0,
37,val,,63.4,0.931,0.0,
38,train,0.01,66.4,0.871,0.0,
38,val,,65.6,0.981,0.0,
39,train,0.01,66.96,0.872,0.0,
39,val,,63.0,0.985,0.0,
40,train,0.01,67.76,0.865,0.0,
40,val,,63.8,0.945,0.0,
41,train,0.01,66.48,0.891,0.0,
41,val,,66.2,0.879,0.0,
42,train,0.01,69.16,0.838,0.0,
42,val,,66.2,0.929,0.0,
43,train,0.01,67.4,0.849,0.0,
43,val,,65.6,0.94,0.0,
44,train,0.01,68.24,0.836,0.0,
44,val,,64.6,1.058,0.0,
45,train,0.01,67.8,0.843,0.0,
45,val,,65.0,0.91,0.0,
46,train,0.01,68.4,0.834,0.0,
46,val,,65.4,0.943,0.0,
47,train,0.01,70.12,0.79,0.0,
47,val,,66.0,0.926,0.0,
48,train,0.01,70.84,0.792,0.0,
48,val,,70.6,0.88,0.0,
49,train,0.01,69.32,0.81,0.0,
49,val,,64.2,1.059,0.0,
50,train,0.01,69.08,0.817,0.0,
50,val,,64.2,1.015,0.0,
51,train,0.001,72.84,0.727,0.0,
51,val,,69.2,0.856,0.0,
52,train,0.001,74.84,0.705,0.0,
52,val,,69.6,0.853,0.0,
53,train,0.001,74.64,0.687,0.0,
53,val,,69.0,0.838,0.0,
54,train,0.001,74.0,0.688,0.0,
54,val,,70.4,0.824,0.0,
55,train,0.001,75.04,0.684,0.0,
55,val,,70.2,0.855,0.0,
56,train,0.001,75.44,0.673,0.0,
56,val,,71.0,0.829,0.0,
57,train,0.001,75.64,0.664,0.0,
57,val,,70.0,0.829,0.0,
58,train,0.001,75.24,0.671,0.0,
58,val,,68.8,0.853,0.0,
59,train,0.001,75.32,0.66,0.0,
59,val,,69.8,0.838,0.0,
60,train,0.001,75.8,0.676,0.0,
60,val,,70.4,0.829,0.0,
61,train,0.001,76.64,0.65,0.0,
61,val,,70.2,0.819,0.0,
62,train,0.001,75.64,0.65,0.0,
62,val,,70.4,0.815,0.0,
63,train,0.001,75.72,0.661,0.0,
63,val,,70.4,0.837,0.0,
64,train,0.001,76.24,0.657,0.0,
64,val,,70.0,0.837,0.0,
65,train,0.001,75.36,0.654,0.0,
65,val,,70.6,0.83,0.0,
66,train,0.001,76.6,0.645,0.0,
66,val,,69.6,0.838,0.0,
67,train,0.001,76.12,0.649,0.0,
67,val,,70.4,0.838,0.0,
68,train,0.001,76.0,0.656,0.0,
68,val,,68.8,0.853,0.0,
69,train,0.001,76.08,0.655,0.0,
69,val,,70.4,0.824,0.0,
70,train,0.001,76.48,0.638,0.0,
70,val,,71.0,0.827,0.0,
71,train,0.001,77.28,0.63,0.0,
71,val,,71.2,0.837,0.0,
72,train,0.001,78.0,0.612,0.0,
72,val,,71.0,0.828,0.0,
73,train,0.001,76.96,0.616,0.0,
73,val,,70.0,0.828,0.0,
74,train,0.001,78.16,0.606,0.0,
74,val,,71.8,0.842,0.0,
75,train,0.001,77.28,0.628,0.0,
75,val,,70.2,0.841,0.0,
76,train,0.001,77.36,0.616,0.0,
76,val,,69.8,0.849,0.0,
77,train,0.001,78.08,0.616,0.0,
77,val,,70.0,0.841,0.0,
78,train,0.001,76.76,0.604,0.0,
78,val,,69.0,0.859,0.0,
79,train,0.001,77.92,0.625,0.0,
79,val,,70.6,0.841,0.0,
80,train,0.001,77.64,0.62,0.0,
80,val,,71.4,0.835,0.0,
81,train,0.0001,77.28,0.615,0.0,
81,val,,70.4,0.823,0.0,
82,train,0.0001,78.0,0.6,0.0,
82,val,,69.8,0.838,0.0,
83,train,0.0001,77.72,0.603,0.0,
83,val,,71.2,0.829,0.0,
84,train,0.0001,77.84,0.599,0.0,
84,val,,69.8,0.833,0.0,
85,train,0.0001,78.64,0.587,0.0,
85,val,,71.4,0.825,0.0,
86,train,0.0001,77.36,0.593,0.0,
86,val,,70.8,0.821,0.0,
87,train,0.0001,78.28,0.604,0.0,
87,val,,69.8,0.832,0.0,
88,train,0.0001,78.52,0.59,0.0,
88,val,,70.0,0.826,0.0,
89,train,0.0001,77.92,0.591,0.0,
89,val,,69.8,0.832,0.0,
90,train,0.0001,78.52,0.607,0.0,
90,val,,70.6,0.831,0.0,
91,train,0.0001,76.68,0.613,0.0,
91,val,,69.8,0.824,0.0,
92,train,0.0001,78.08,0.599,0.0,
92,val,,70.8,0.843,0.0,
93,train,0.0001,78.2,0.605,0.0,
93,val,,71.2,0.836,0.0,
94,train,0.0001,78.72,0.593,0.0,
94,val,,71.2,0.833,0.0,
95,train,0.0001,79.32,0.594,0.0,
95,val,,71.0,0.826,0.0,
96,train,0.0001,77.68,0.614,0.0,
96,val,,70.8,0.816,0.0,
97,train,0.0001,77.96,0.606,0.0,
97,val,,70.6,0.84,0.0,
98,train,0.0001,77.2,0.619,0.0,
98,val,,70.4,0.825,0.0,
