Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.36,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,21.12,1.609,0.0,
2,val,,32.0,1.601,0.0,
3,train,0.01,30.8,1.548,0.0,
3,val,,35.8,1.491,0.0,
4,train,0.01,35.44,1.48,0.0,
4,val,,40.0,1.462,0.0,
5,train,0.01,38.36,1.449,0.0,
5,val,,38.8,1.39,0.0,
6,train,0.01,39.52,1.393,0.0,
6,val,,38.4,1.349,0.0,
7,train,0.01,42.52,1.304,0.0,
7,val,,44.8,1.174,0.0,
8,train,0.01,45.28,1.232,0.0,
8,val,,49.4,1.23,0.0,
9,train,0.01,47.08,1.177,0.0,
9,val,,47.4,1.231,0.0,
10,train,0.01,48.56,1.154,0.0,
10,val,,51.8,1.184,0.0,
11,train,0.01,50.48,1.132,0.0,
11,val,,50.4,1.094,0.0,
12,train,0.01,51.48,1.099,0.0,
12,val,,57.0,1.065,0.0,
13,train,0.01,53.68,1.069,0.0,
13,val,,54.6,1.085,0.0,
14,train,0.01,56.76,1.038,0.0,
14,val,,56.6,1.051,0.0,
15,train,0.01,56.64,1.039,0.0,
15,val,,61.6,1.003,0.0,
16,train,0.01,58.24,1.0,0.0,
16,val,,59.4,1.028,0.0,
17,train,0.01,58.2,1.011,0.0,
17,val,,56.2,1.186,0.0,
18,train,0.01,57.92,1.02,0.0,
18,val,,58.2,1.062,0.0,
19,train,0.01,59.08,0.99,0.0,
19,val,,59.4,0.975,0.0,
20,train,0.01,60.84,0.962,0.0,
20,val,,60.2,1.007,0.0,
21,train,0.01,61.44,0.975,0.0,
21,val,,61.8,0.956,0.0,
22,train,0.01,60.0,0.965,0.0,
22,val,,61.6,0.991,0.0,
23,train,0.01,62.04,0.937,0.0,
23,val,,59.6,0.931,0.0,
24,train,0.01,62.44,0.918,0.0,
24,val,,65.2,0.923,0.0,
25,train,0.01,63.28,0.924,0.0,
25,val,,64.6,0.92,0.0,
26,train,0.01,63.68,0.885,0.0,
26,val,,62.8,0.945,0.0,
27,train,0.01,64.16,0.88,0.0,
27,val,,60.2,1.025,0.0,
28,train,0.01,65.04,0.889,0.0,
28,val,,63.6,1.047,0.0,
29,train,0.01,64.08,0.89,0.0,
29,val,,62.8,0.976,0.0,
30,train,0.01,65.08,0.864,0.0,
30,val,,64.8,0.894,0.0,
31,train,0.01,65.52,0.862,0.0,
31,val,,64.0,0.918,0.0,
32,train,0.01,66.56,0.857,0.0,
32,val,,63.0,0.931,0.0,
