Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.0,1.61,0.0,
1,val,,20.6,1.609,0.0,
2,train,0.01,19.16,1.61,0.0,
2,val,,20.0,1.608,0.0,
3,train,0.01,24.48,1.607,0.0,
3,val,,27.6,1.601,0.0,
4,train,0.01,28.4,1.561,0.0,
4,val,,38.6,1.523,0.0,
5,train,0.01,38.44,1.452,0.0,
5,val,,41.8,1.395,0.0,
6,train,0.01,42.32,1.354,0.0,
6,val,,47.6,1.246,0.0,
7,train,0.01,45.92,1.295,0.0,
7,val,,48.2,1.239,0.0,
8,train,0.01,45.8,1.292,0.0,
8,val,,50.2,1.215,0.0,
9,train,0.01,48.6,1.265,0.0,
9,val,,51.0,1.222,0.0,
10,train,0.01,47.92,1.249,0.0,
10,val,,52.8,1.179,0.0,
11,train,0.01,48.6,1.237,0.0,
11,val,,54.4,1.139,0.0,
12,train,0.01,49.92,1.203,0.0,
12,val,,55.8,1.123,0.0,
13,train,0.01,53.0,1.191,0.0,
13,val,,56.0,1.142,0.0,
14,train,0.01,54.16,1.165,0.0,
14,val,,58.8,1.041,0.0,
15,train,0.01,53.96,1.147,0.0,
15,val,,57.2,1.066,0.0,
16,train,0.01,56.48,1.118,0.0,
16,val,,57.2,1.065,0.0,
17,train,0.01,57.72,1.093,0.0,
17,val,,60.8,1.018,0.0,
18,train,0.01,60.68,1.042,0.0,
18,val,,61.0,1.019,0.0,
19,train,0.01,62.04,1.013,0.0,
19,val,,53.8,1.362,0.0,
20,train,0.01,63.96,1.004,0.0,
20,val,,44.0,2.225,0.0,
21,train,0.01,63.96,0.977,0.0,
21,val,,68.8,0.85,0.0,
22,train,0.01,63.52,0.962,0.0,
22,val,,65.8,0.92,0.0,
23,train,0.01,66.76,0.928,0.0,
23,val,,67.6,0.874,0.0,
24,train,0.01,67.0,0.901,0.0,
24,val,,67.6,0.831,0.0,
25,train,0.01,65.64,0.914,0.0,
25,val,,68.8,0.859,0.0,
26,train,0.01,67.0,0.886,0.0,
26,val,,68.2,0.834,0.0,
27,train,0.01,67.6,0.898,0.0,
27,val,,68.2,0.858,0.0,
28,train,0.01,68.12,0.852,0.0,
28,val,,67.2,0.835,0.0,
29,train,0.01,69.16,0.837,0.0,
29,val,,63.0,1.026,0.0,
30,train,0.01,68.28,0.837,0.0,
30,val,,70.6,0.813,0.0,
31,train,0.01,68.96,0.826,0.0,
31,val,,65.4,0.969,0.0,
32,train,0.01,68.72,0.849,0.0,
32,val,,67.6,0.843,0.0,
33,train,0.01,68.76,0.839,0.0,
33,val,,69.0,0.854,0.0,
34,train,0.01,70.04,0.819,0.0,
34,val,,63.6,0.934,0.0,
35,train,0.01,68.72,0.827,0.0,
35,val,,68.6,0.883,0.0,
36,train,0.01,70.84,0.769,0.0,
36,val,,67.2,0.896,0.0,
37,train,0.01,71.0,0.781,0.0,
37,val,,71.4,0.771,0.0,
38,train,0.01,72.12,0.777,0.0,
38,val,,71.4,0.763,0.0,
39,train,0.01,71.96,0.763,0.0,
39,val,,71.2,0.817,0.0,
40,train,0.01,73.0,0.761,0.0,
40,val,,67.0,0.917,0.0,
41,train,0.01,72.64,0.759,0.0,
41,val,,69.6,0.8,0.0,
42,train,0.01,74.4,0.729,0.0,
42,val,,68.8,0.855,0.0,
43,train,0.01,71.56,0.752,0.0,
43,val,,70.6,0.858,0.0,
44,train,0.01,72.88,0.743,0.0,
44,val,,70.4,0.828,0.0,
45,train,0.01,72.72,0.728,0.0,
45,val,,72.0,0.782,0.0,
46,train,0.01,74.08,0.709,0.0,
46,val,,71.6,0.812,0.0,
47,train,0.01,74.36,0.703,0.0,
47,val,,48.4,3.079,0.0,
48,train,0.01,71.28,0.77,0.0,
48,val,,69.8,0.783,0.0,
49,train,0.01,73.92,0.695,0.0,
49,val,,72.0,0.794,0.0,
50,train,0.01,73.84,0.706,0.0,
50,val,,71.6,0.747,0.0,
51,train,0.001,76.44,0.636,0.0,
51,val,,74.4,0.705,0.0,
52,train,0.001,76.76,0.627,0.0,
52,val,,73.2,0.7,0.0,
53,train,0.001,77.72,0.615,0.0,
53,val,,73.8,0.692,0.0,
54,train,0.001,78.28,0.606,0.0,
54,val,,74.0,0.691,0.0,
55,train,0.001,77.88,0.605,0.0,
