Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.76,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.04,1.611,0.0,
2,val,,20.0,1.609,0.0,
3,train,0.01,20.2,1.61,0.0,
3,val,,20.0,1.607,0.0,
4,train,0.01,25.36,1.604,0.0,
4,val,,32.6,1.586,0.0,
5,train,0.01,30.2,1.515,0.0,
5,val,,35.0,1.435,0.0,
6,train,0.01,36.08,1.386,0.0,
6,val,,39.2,1.329,0.0,
7,train,0.01,41.28,1.32,0.0,
7,val,,37.4,1.344,0.0,
8,train,0.01,44.56,1.307,0.0,
8,val,,43.0,1.296,0.0,
9,train,0.01,48.92,1.238,0.0,
9,val,,54.6,1.129,0.0,
10,train,0.01,56.4,1.102,0.0,
10,val,,52.6,1.136,0.0,
11,train,0.01,58.56,1.042,0.0,
11,val,,63.6,1.008,0.0,
12,train,0.01,60.76,0.967,0.0,
12,val,,65.6,0.889,0.0,
13,train,0.01,62.68,0.941,0.0,
13,val,,58.8,0.982,0.0,
14,train,0.01,64.68,0.917,0.0,
14,val,,64.0,0.903,0.0,
15,train,0.01,66.92,0.869,0.0,
15,val,,64.4,0.901,0.0,
16,train,0.01,66.44,0.862,0.0,
16,val,,69.2,0.848,0.0,
17,train,0.01,68.12,0.833,0.0,
17,val,,71.4,0.807,0.0,
18,train,0.01,69.28,0.815,0.0,
18,val,,62.0,1.018,0.0,
19,train,0.01,68.04,0.818,0.0,
19,val,,70.6,0.802,0.0,
20,train,0.01,69.72,0.787,0.0,
20,val,,71.2,0.81,0.0,
21,train,0.01,70.24,0.776,0.0,
21,val,,67.8,0.796,0.0,
22,train,0.01,69.16,0.781,0.0,
22,val,,69.4,0.786,0.0,
23,train,0.01,70.0,0.767,0.0,
23,val,,70.2,0.768,0.0,
24,train,0.01,70.0,0.763,0.0,
24,val,,72.0,0.719,0.0,
25,train,0.01,71.24,0.748,0.0,
25,val,,68.4,0.782,0.0,
26,train,0.01,71.4,0.733,0.0,
26,val,,71.8,0.798,0.0,
27,train,0.01,72.2,0.734,0.0,
27,val,,73.0,0.759,0.0,
28,train,0.01,72.0,0.723,0.0,
28,val,,71.6,0.756,0.0,
29,train,0.01,72.76,0.708,0.0,
29,val,,73.0,0.714,0.0,
30,train,0.01,73.2,0.705,0.0,
30,val,,72.6,0.732,0.0,
31,train,0.01,72.4,0.697,0.0,
31,val,,73.0,0.721,0.0,
32,train,0.01,74.04,0.697,0.0,
32,val,,70.8,0.765,0.0,
33,train,0.01,73.28,0.685,0.0,
33,val,,73.8,0.705,0.0,
34,train,0.01,74.2,0.676,0.0,
34,val,,71.8,0.742,0.0,
35,train,0.01,73.64,0.69,0.0,
35,val,,72.4,0.728,0.0,
36,train,0.01,75.6,0.655,0.0,
36,val,,71.2,0.72,0.0,
37,train,0.01,75.56,0.649,0.0,
37,val,,74.2,0.692,0.0,
38,train,0.01,77.2,0.636,0.0,
38,val,,72.6,0.677,0.0,
39,train,0.01,75.68,0.648,0.0,
39,val,,70.8,0.784,0.0,
40,train,0.01,74.64,0.679,0.0,
40,val,,72.2,0.753,0.0,
41,train,0.01,76.2,0.622,0.0,
41,val,,70.4,0.796,0.0,
42,train,0.01,73.72,0.681,0.0,
42,val,,72.2,0.71,0.0,
43,train,0.01,75.96,0.626,0.0,
43,val,,74.4,0.737,0.0,
44,train,0.01,76.2,0.625,0.0,
44,val,,73.8,0.708,0.0,
45,train,0.01,76.2,0.621,0.0,
45,val,,72.8,0.701,0.0,
46,train,0.01,77.12,0.6,0.0,
46,val,,74.4,0.698,0.0,
47,train,0.01,76.48,0.597,0.0,
47,val,,73.8,0.705,0.0,
48,train,0.01,77.84,0.592,0.0,
48,val,,74.6,0.708,0.0,
49,train,0.01,78.12,0.581,0.0,
49,val,,72.2,0.704,0.0,
50,train,0.01,77.24,0.6,0.0,
50,val,,74.4,0.664,0.0,
51,train,0.001,80.04,0.536,0.0,
51,val,,74.4,0.647,0.0,
52,train,0.001,81.08,0.525,0.0,
52,val,,75.6,0.664,0.0,
53,train,0.001,81.48,0.517,0.0,
53,val,,75.8,0.64,0.0,
54,train,0.001,81.04,0.507,0.0,
54,val,,75.6,0.643,0.0,
55,train,0.001,80.48,0.519,0.0,
55,val,,75.6,0.641,0.0,
56,train,0.001,80.64,0.504,0.0,
56,val,,76.0,0.648,0.0,
57,train,0.001,81.36,0.493,0.0,
57,val,,76.4,0.638,0.0,
58,train,0.001,81.48,0.498,0.0,
