Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.84,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,20.48,1.608,0.0,
2,val,,20.0,1.6,0.0,
3,train,0.01,32.68,1.55,0.0,
3,val,,40.0,1.458,0.0,
4,train,0.01,46.44,1.322,0.0,
4,val,,51.8,1.159,0.0,
5,train,0.01,54.44,1.115,0.0,
5,val,,59.4,1.091,0.0,
6,train,0.01,58.64,1.048,0.0,
6,val,,56.6,1.1,0.0,
7,train,0.01,59.64,1.019,0.0,
7,val,,60.0,0.966,0.0,
8,train,0.01,60.24,1.011,0.0,
8,val,,58.2,1.048,0.0,
9,train,0.01,63.36,0.957,0.0,
9,val,,64.2,0.886,0.0,
10,train,0.01,65.56,0.92,0.0,
10,val,,67.4,0.914,0.0,
11,train,0.01,65.16,0.919,0.0,
11,val,,69.2,0.784,0.0,
12,train,0.01,68.44,0.823,0.0,
12,val,,70.8,0.771,0.0,
13,train,0.01,69.52,0.832,0.0,
13,val,,65.2,0.862,0.0,
14,train,0.01,70.32,0.81,0.0,
14,val,,73.4,0.753,0.0,
15,train,0.01,69.76,0.8,0.0,
15,val,,64.6,0.819,0.0,
16,train,0.01,70.48,0.805,0.0,
16,val,,71.4,0.757,0.0,
17,train,0.01,72.32,0.757,0.0,
17,val,,73.0,0.693,0.0,
18,train,0.01,73.08,0.73,0.0,
18,val,,74.6,0.715,0.0,
19,train,0.01,72.08,0.742,0.0,
19,val,,73.8,0.669,0.0,
20,train,0.01,74.12,0.702,0.0,
20,val,,64.0,0.918,0.0,
21,train,0.01,73.88,0.728,0.0,
21,val,,70.8,0.767,0.0,
22,train,0.01,73.28,0.713,0.0,
22,val,,42.4,2.91,0.0,
23,train,0.01,66.52,0.888,0.0,
23,val,,67.8,0.872,0.0,
24,train,0.01,71.72,0.757,0.0,
24,val,,74.8,0.671,0.0,
25,train,0.01,73.6,0.729,0.0,
25,val,,75.8,0.701,0.0,
26,train,0.01,75.64,0.681,0.0,
26,val,,72.2,0.719,0.0,
27,train,0.01,72.72,0.721,0.0,
27,val,,75.6,0.657,0.0,
28,train,0.01,75.44,0.668,0.0,
28,val,,68.6,0.785,0.0,
29,train,0.01,75.04,0.69,0.0,
29,val,,75.6,0.7,0.0,
30,train,0.01,75.88,0.645,0.0,
30,val,,77.4,0.664,0.0,
31,train,0.01,75.32,0.657,0.0,
31,val,,72.4,0.766,0.0,
32,train,0.01,76.16,0.646,0.0,
32,val,,68.0,0.866,0.0,
33,train,0.01,76.24,0.636,0.0,
33,val,,74.8,0.676,0.0,
34,train,0.01,75.84,0.624,0.0,
34,val,,71.2,0.758,0.0,
35,train,0.01,76.0,0.645,0.0,
35,val,,75.6,0.65,0.0,
36,train,0.01,76.32,0.62,0.0,
36,val,,78.4,0.611,0.0,
37,train,0.01,78.28,0.601,0.0,
37,val,,75.0,0.676,0.0,
38,train,0.01,77.2,0.61,0.0,
38,val,,78.0,0.642,0.0,
39,train,0.01,77.88,0.602,0.0,
39,val,,73.2,0.706,0.0,
40,train,0.01,77.8,0.592,0.0,
40,val,,77.4,0.637,0.0,
41,train,0.01,78.52,0.596,0.0,
41,val,,76.6,0.691,0.0,
42,train,0.01,77.76,0.6,0.0,
42,val,,75.8,0.65,0.0,
43,train,0.01,78.24,0.581,0.0,
43,val,,73.2,0.715,0.0,
44,train,0.01,77.08,0.602,0.0,
44,val,,77.4,0.688,0.0,
45,train,0.01,78.96,0.593,0.0,
45,val,,74.4,0.702,0.0,
46,train,0.01,79.24,0.553,0.0,
46,val,,77.2,0.692,0.0,
47,train,0.01,79.0,0.572,0.0,
47,val,,78.0,0.627,0.0,
48,train,0.01,79.84,0.56,0.0,
48,val,,77.8,0.648,0.0,
49,train,0.01,78.32,0.575,0.0,
49,val,,77.8,0.632,0.0,
50,train,0.01,78.48,0.568,0.0,
50,val,,78.2,0.63,0.0,
51,train,0.001,81.04,0.516,0.0,
51,val,,78.0,0.586,0.0,
52,train,0.001,81.08,0.508,0.0,
52,val,,78.8,0.573,0.0,
53,train,0.001,82.2,0.492,0.0,
53,val,,79.4,0.579,0.0,
54,train,0.001,81.72,0.474,0.0,
54,val,,79.8,0.577,0.0,
55,train,0.001,82.64,0.477,0.0,
55,val,,79.8,0.588,0.0,
56,train,0.001,82.92,0.476,0.0,
56,val,,81.2,0.554,0.0,
57,train,0.001,82.96,0.471,0.0,
57,val,,80.8,0.559,0.0,
58,train,0.001,82.84,0.475,0.0,
58,val,,80.0,0.569,0.0,
59,train,0.001,82.84,0.466,0.0,
59,val,,80.4,0.564,0.0,
60,train,0.001,82.44,0.484,0.0,
60,val,,80.0,0.562,0.0,
61,train,0.001,82.36,0.478,0.0,
61,val,,80.4,0.577,0.0,
62,train,0.001,82.08,0.472,0.0,
62,val,,81.0,0.56,0.0,
63,train,0.001,83.32,0.458,0.0,
63,val,,80.0,0.58,0.0,
64,train,0.001,84.32,0.442,0.0,
64,val,,80.8,0.563,0.0,
65,train,0.001,83.84,0.451,0.0,
65,val,,81.6,0.556,0.0,
66,train,0.001,83.48,0.451,0.0,
66,val,,81.6,0.557,0.0,
67,train,0.001,83.0,0.463,0.0,
67,val,,80.6,0.562,0.0,
68,train,0.001,83.08,0.465,0.0,
68,val,,80.2,0.562,0.0,
69,train,0.001,82.08,0.465,0.0,
