Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.6,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.44,1.61,0.0,
2,val,,28.2,1.608,0.0,
3,train,0.01,24.64,1.604,0.0,
3,val,,33.6,1.581,0.0,
4,train,0.01,33.08,1.512,0.0,
4,val,,36.6,1.427,0.0,
5,train,0.01,36.72,1.432,0.0,
5,val,,41.2,1.367,0.0,
6,train,0.01,40.0,1.391,0.0,
6,val,,42.4,1.342,0.0,
7,train,0.01,43.76,1.358,0.0,
7,val,,46.0,1.275,0.0,
8,train,0.01,44.24,1.332,0.0,
8,val,,48.4,1.233,0.0,
9,train,0.01,45.2,1.28,0.0,
9,val,,42.8,1.274,0.0,
10,train,0.01,46.32,1.277,0.0,
10,val,,50.0,1.181,0.0,
11,train,0.01,48.48,1.236,0.0,
11,val,,52.4,1.166,0.0,
12,train,0.01,49.52,1.23,0.0,
12,val,,50.0,1.159,0.0,
13,train,0.01,49.08,1.209,0.0,
13,val,,48.6,1.164,0.0,
14,train,0.01,49.6,1.204,0.0,
14,val,,43.8,1.393,0.0,
15,train,0.01,50.32,1.185,0.0,
15,val,,50.6,1.185,0.0,
16,train,0.01,51.48,1.179,0.0,
16,val,,50.0,1.117,0.0,
17,train,0.01,51.36,1.168,0.0,
17,val,,53.2,1.082,0.0,
18,train,0.01,51.92,1.155,0.0,
18,val,,53.8,1.108,0.0,
19,train,0.01,52.92,1.152,0.0,
19,val,,50.6,1.209,0.0,
20,train,0.01,55.28,1.117,0.0,
20,val,,54.2,1.117,0.0,
21,train,0.01,54.8,1.129,0.0,
21,val,,55.2,1.072,0.0,
22,train,0.01,56.48,1.097,0.0,
22,val,,53.6,1.098,0.0,
23,train,0.01,57.56,1.076,0.0,
23,val,,55.0,1.058,0.0,
24,train,0.01,58.52,1.066,0.0,
24,val,,54.4,1.133,0.0,
25,train,0.01,57.8,1.07,0.0,
25,val,,55.6,1.074,0.0,
26,train,0.01,58.6,1.054,0.0,
26,val,,56.6,1.118,0.0,
27,train,0.01,57.36,1.052,0.0,
27,val,,59.2,1.018,0.0,
28,train,0.01,59.68,1.031,0.0,
28,val,,55.4,1.077,0.0,
29,train,0.01,59.04,1.024,0.0,
29,val,,58.0,1.021,0.0,
30,train,0.01,59.48,1.017,0.0,
30,val,,58.2,1.012,0.0,
31,train,0.01,60.24,1.02,0.0,
31,val,,59.8,1.023,0.0,
32,train,0.01,59.88,1.016,0.0,
32,val,,54.4,1.096,0.0,
33,train,0.01,61.12,1.001,0.0,
33,val,,59.6,0.995,0.0,
34,train,0.01,62.24,0.98,0.0,
34,val,,59.6,0.993,0.0,
35,train,0.01,62.24,0.983,0.0,
35,val,,56.4,1.082,0.0,
36,train,0.01,63.0,0.966,0.0,
36,val,,55.4,1.065,0.0,
37,train,0.01,63.0,0.954,0.0,
37,val,,56.4,1.05,0.0,
38,train,0.01,63.0,0.951,0.0,
38,val,,59.4,0.99,0.0,
39,train,0.01,63.36,0.934,0.0,
39,val,,62.6,0.955,0.0,
40,train,0.01,62.72,0.939,0.0,
40,val,,61.6,0.981,0.0,
41,train,0.01,63.8,0.944,0.0,
41,val,,61.2,0.967,0.0,
42,train,0.01,64.56,0.928,0.0,
42,val,,59.6,0.985,0.0,
43,train,0.01,64.92,0.914,0.0,
43,val,,63.2,0.953,0.0,
44,train,0.01,64.72,0.91,0.0,
44,val,,60.8,1.007,0.0,
45,train,0.01,65.76,0.877,0.0,
45,val,,58.2,1.116,0.0,
46,train,0.01,65.96,0.884,0.0,
46,val,,63.6,0.963,0.0,
47,train,0.01,65.08,0.907,0.0,
47,val,,62.2,0.972,0.0,
48,train,0.01,66.2,0.886,0.0,
48,val,,63.4,0.961,0.0,
49,train,0.01,65.92,0.88,0.0,
49,val,,57.2,1.067,0.0,
50,train,0.01,66.0,0.888,0.0,
50,val,,62.2,0.92,0.0,
51,train,0.001,69.96,0.814,0.0,
51,val,,64.2,0.897,0.0,
52,train,0.001,71.56,0.773,0.0,
52,val,,64.4,0.895,0.0,
53,train,0.001,71.84,0.757,0.0,
53,val,,64.6,0.901,0.0,
54,train,0.001,71.32,0.76,0.0,
54,val,,65.8,0.898,0.0,
55,train,0.001,71.64,0.755,0.0,
55,val,,64.4,0.896,0.0,
56,train,0.001,71.4,0.762,0.0,
56,val,,66.8,0.88,0.0,
57,train,0.001,73.0,0.742,0.0,
57,val,,65.0,0.886,0.0,
58,train,0.001,70.88,0.772,0.0,
58,val,,65.8,0.875,0.0,
59,train,0.001,71.52,0.756,0.0,
59,val,,66.6,0.877,0.0,
60,train,0.001,71.8,0.747,0.0,
60,val,,65.4,0.878,0.0,
61,train,0.001,72.92,0.744,0.0,
61,val,,67.6,0.876,0.0,
62,train,0.001,72.96,0.736,0.0,
62,val,,66.8,0.894,0.0,
63,train,0.001,72.08,0.746,0.0,
63,val,,67.6,0.868,0.0,
64,train,0.001,72.24,0.757,0.0,
64,val,,65.8,0.87,0.0,
65,train,0.001,73.2,0.725,0.0,
65,val,,68.2,0.855,0.0,
66,train,0.001,72.84,0.728,0.0,
66,val,,67.6,0.86,0.0,
67,train,0.001,73.08,0.73,0.0,
67,val,,66.6,0.872,0.0,
68,train,0.001,73.12,0.72,0.0,
68,val,,68.0,0.859,0.0,
69,train,0.001,73.04,0.725,0.0,
69,val,,66.6,0.857,0.0,
70,train,0.001,74.28,0.719,0.0,
70,val,,67.8,0.852,0.0,
71,train,0.001,74.52,0.704,0.0,
71,val,,68.2,0.869,0.0,
72,train,0.001,73.88,0.7,0.0,
72,val,,66.6,0.866,0.0,
73,train,0.001,74.32,0.714,0.0,
73,val,,67.8,0.876,0.0,
74,train,0.001,73.16,0.719,0.0,
74,val,,66.4,0.861,0.0,
75,train,0.001,73.64,0.713,0.0,
75,val,,69.6,0.852,0.0,
76,train,0.001,73.28,0.719,0.0,
76,val,,68.2,0.854,0.0,
77,train,0.001,72.48,0.721,0.0,
77,val,,68.8,0.852,0.0,
78,train,0.001,73.12,0.708,0.0,
78,val,,67.8,0.858,0.0,
79,train,0.001,73.76,0.717,0.0,
79,val,,68.0,0.85,0.0,
80,train,0.001,73.32,0.713,0.0,
80,val,,67.8,0.86,0.0,
81,train,0.0001,75.08,0.694,0.0,
81,val,,67.6,0.855,0.0,
82,train,0.0001,73.4,0.715,0.0,
82,val,,67.0,0.859,0.0,
83,train,0.0001,75.12,0.679,0.0,
83,val,,68.0,0.857,0.0,
84,train,0.0001,74.16,0.703,0.0,
84,val,,68.0,0.861,0.0,
85,train,0.0001,73.4,0.713,0.0,
85,val,,68.2,0.859,0.0,
86,train,0.0001,75.64,0.685,0.0,
86,val,,67.8,0.86,0.0,
87,train,0.0001,75.4,0.675,0.0,
87,val,,68.0,0.857,0.0,
88,train,0.0001,74.12,0.701,0.0,
88,val,,68.8,0.852,0.0,
89,train,0.0001,74.2,0.682,0.0,
89,val,,68.8,0.858,0.0,
90,train,0.0001,75.12,0.673,0.0,
90,val,,69.8,0.858,0.0,
91,train,0.0001,75.2,0.674,0.0,
