Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.76,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.76,1.61,0.0,
2,val,,20.0,1.607,0.0,
3,train,0.01,23.92,1.602,0.0,
3,val,,21.6,1.569,0.0,
4,train,0.01,32.28,1.484,0.0,
4,val,,36.2,1.39,0.0,
5,train,0.01,37.84,1.39,0.0,
5,val,,39.0,1.363,0.0,
6,train,0.01,38.36,1.37,0.0,
6,val,,44.6,1.288,0.0,
7,train,0.01,43.32,1.296,0.0,
7,val,,48.4,1.247,0.0,
8,train,0.01,47.6,1.234,0.0,
8,val,,52.6,1.158,0.0,
9,train,0.01,48.68,1.206,0.0,
9,val,,51.4,1.202,0.0,
10,train,0.01,49.96,1.18,0.0,
10,val,,57.2,1.078,0.0,
11,train,0.01,51.68,1.155,0.0,
11,val,,53.6,1.184,0.0,
12,train,0.01,52.92,1.116,0.0,
12,val,,53.4,1.151,0.0,
13,train,0.01,53.64,1.107,0.0,
13,val,,59.2,1.045,0.0,
14,train,0.01,55.76,1.072,0.0,
14,val,,59.0,1.036,0.0,
15,train,0.01,55.2,1.058,0.0,
15,val,,62.6,0.956,0.0,
16,train,0.01,57.6,1.031,0.0,
16,val,,56.6,0.999,0.0,
17,train,0.01,58.52,1.017,0.0,
17,val,,61.2,0.968,0.0,
18,train,0.01,59.88,0.997,0.0,
18,val,,59.4,1.053,0.0,
19,train,0.01,59.48,0.992,0.0,
19,val,,56.2,1.12,0.0,
20,train,0.01,60.84,0.998,0.0,
20,val,,60.4,0.992,0.0,
21,train,0.01,60.68,0.971,0.0,
21,val,,65.2,0.895,0.0,
22,train,0.01,63.2,0.944,0.0,
22,val,,64.0,0.954,0.0,
23,train,0.01,63.32,0.923,0.0,
23,val,,65.8,0.874,0.0,
24,train,0.01,65.2,0.891,0.0,
24,val,,67.6,0.843,0.0,
25,train,0.01,65.6,0.886,0.0,
25,val,,65.6,0.933,0.0,
26,train,0.01,66.04,0.88,0.0,
26,val,,65.8,0.876,0.0,
27,train,0.01,66.68,0.866,0.0,
27,val,,68.4,0.853,0.0,
28,train,0.01,67.36,0.854,0.0,
28,val,,64.0,0.882,0.0,
29,train,0.01,70.12,0.798,0.0,
29,val,,67.2,0.853,0.0,
30,train,0.01,69.48,0.804,0.0,
30,val,,67.8,0.862,0.0,
31,train,0.01,69.76,0.812,0.0,
31,val,,65.6,0.866,0.0,
32,train,0.01,68.28,0.824,0.0,
32,val,,68.0,0.829,0.0,
33,train,0.01,68.96,0.787,0.0,
33,val,,70.2,0.79,0.0,
34,train,0.01,69.68,0.777,0.0,
34,val,,65.8,0.877,0.0,
35,train,0.01,72.36,0.759,0.0,
35,val,,69.8,0.813,0.0,
36,train,0.01,70.92,0.774,0.0,
36,val,,68.4,0.806,0.0,
37,train,0.01,71.04,0.751,0.0,
37,val,,67.8,0.811,0.0,
38,train,0.01,71.88,0.732,0.0,
38,val,,70.6,0.792,0.0,
39,train,0.01,71.84,0.737,0.0,
39,val,,67.8,0.805,0.0,
40,train,0.01,71.72,0.744,0.0,
40,val,,68.4,0.815,0.0,
41,train,0.01,72.96,0.712,0.0,
41,val,,70.2,0.806,0.0,
42,train,0.01,72.56,0.721,0.0,
42,val,,69.8,0.817,0.0,
43,train,0.01,73.2,0.722,0.0,
43,val,,67.0,0.847,0.0,
44,train,0.01,73.56,0.698,0.0,
44,val,,71.2,0.795,0.0,
45,train,0.01,73.2,0.714,0.0,
45,val,,69.6,0.785,0.0,
46,train,0.01,74.64,0.672,0.0,
46,val,,69.6,0.769,0.0,
47,train,0.01,74.56,0.67,0.0,
47,val,,71.8,0.762,0.0,
48,train,0.01,73.88,0.67,0.0,
48,val,,69.2,0.824,0.0,
49,train,0.01,73.4,0.673,0.0,
49,val,,68.8,0.791,0.0,
50,train,0.01,75.52,0.658,0.0,
50,val,,69.4,0.816,0.0,
51,train,0.001,77.44,0.592,0.0,
51,val,,70.4,0.772,0.0,
52,train,0.001,78.6,0.583,0.0,
52,val,,71.4,0.757,0.0,
53,train,0.001,78.68,0.577,0.0,
53,val,,71.2,0.759,0.0,
54,train,0.001,78.92,0.568,0.0,
54,val,,72.0,0.76,0.0,
55,train,0.001,79.52,0.564,0.0,
55,val,,71.8,0.75,0.0,
56,train,0.001,79.04,0.569,0.0,
56,val,,70.6,0.768,0.0,
57,train,0.001,79.2,0.553,0.0,
57,val,,72.6,0.75,0.0,
58,train,0.001,79.16,0.575,0.0,
