Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.76,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.68,1.61,0.0,
2,val,,20.0,1.608,0.0,
3,train,0.01,22.2,1.608,0.0,
3,val,,20.0,1.598,0.0,
4,train,0.01,24.0,1.58,0.0,
4,val,,31.8,1.526,0.0,
5,train,0.01,27.76,1.532,0.0,
5,val,,33.2,1.471,0.0,
6,train,0.01,32.88,1.503,0.0,
6,val,,36.6,1.448,0.0,
7,train,0.01,38.24,1.448,0.0,
7,val,,39.0,1.355,0.0,
8,train,0.01,38.48,1.39,0.0,
8,val,,45.4,1.309,0.0,
9,train,0.01,41.64,1.34,0.0,
9,val,,44.8,1.294,0.0,
10,train,0.01,44.36,1.301,0.0,
10,val,,42.8,1.283,0.0,
11,train,0.01,44.0,1.298,0.0,
11,val,,46.4,1.299,0.0,
12,train,0.01,46.92,1.269,0.0,
12,val,,50.2,1.186,0.0,
13,train,0.01,46.52,1.254,0.0,
13,val,,47.6,1.185,0.0,
14,train,0.01,49.6,1.226,0.0,
14,val,,50.6,1.153,0.0,
15,train,0.01,48.44,1.207,0.0,
15,val,,51.8,1.164,0.0,
16,train,0.01,50.04,1.206,0.0,
16,val,,50.6,1.166,0.0,
17,train,0.01,49.88,1.193,0.0,
17,val,,52.6,1.146,0.0,
18,train,0.01,52.32,1.157,0.0,
18,val,,57.2,1.089,0.0,
19,train,0.01,53.28,1.136,0.0,
19,val,,57.0,1.071,0.0,
20,train,0.01,53.8,1.133,0.0,
20,val,,56.8,1.124,0.0,
21,train,0.01,55.04,1.105,0.0,
21,val,,54.6,1.094,0.0,
22,train,0.01,54.76,1.099,0.0,
22,val,,59.6,1.029,0.0,
23,train,0.01,55.04,1.072,0.0,
23,val,,58.0,1.041,0.0,
24,train,0.01,56.56,1.068,0.0,
24,val,,54.2,1.194,0.0,
25,train,0.01,56.12,1.076,0.0,
25,val,,57.8,1.02,0.0,
26,train,0.01,58.2,1.061,0.0,
26,val,,62.2,0.994,0.0,
27,train,0.01,59.0,1.041,0.0,
27,val,,58.2,1.031,0.0,
28,train,0.01,59.96,1.029,0.0,
28,val,,59.2,1.103,0.0,
29,train,0.01,59.44,1.018,0.0,
29,val,,62.2,0.956,0.0,
30,train,0.01,59.32,1.008,0.0,
30,val,,62.4,0.949,0.0,
31,train,0.01,60.32,0.988,0.0,
31,val,,62.6,0.94,0.0,
32,train,0.01,60.36,0.99,0.0,
32,val,,62.6,1.002,0.0,
33,train,0.01,61.72,0.988,0.0,
33,val,,63.4,0.961,0.0,
34,train,0.01,60.04,0.986,0.0,
34,val,,60.2,1.028,0.0,
35,train,0.01,62.68,0.96,0.0,
35,val,,60.8,0.993,0.0,
36,train,0.01,62.4,0.955,0.0,
36,val,,64.2,0.936,0.0,
37,train,0.01,62.76,0.933,0.0,
37,val,,65.4,0.911,0.0,
38,train,0.01,62.16,0.957,0.0,
38,val,,64.8,0.944,0.0,
39,train,0.01,63.56,0.943,0.0,
39,val,,64.2,0.931,0.0,
40,train,0.01,64.28,0.921,0.0,
40,val,,63.2,0.985,0.0,
41,train,0.01,65.0,0.918,0.0,
41,val,,64.2,0.932,0.0,
42,train,0.01,64.0,0.924,0.0,
42,val,,64.6,0.935,0.0,
43,train,0.01,65.8,0.897,0.0,
43,val,,66.8,0.881,0.0,
44,train,0.01,65.48,0.89,0.0,
44,val,,67.0,0.926,0.0,
45,train,0.01,66.72,0.874,0.0,
45,val,,61.4,1.011,0.0,
46,train,0.01,66.72,0.87,0.0,
46,val,,64.2,0.925,0.0,
47,train,0.01,65.04,0.876,0.0,
47,val,,66.6,0.901,0.0,
48,train,0.01,66.92,0.852,0.0,
48,val,,66.8,0.881,0.0,
49,train,0.01,67.0,0.855,0.0,
49,val,,69.0,0.911,0.0,
50,train,0.01,67.56,0.867,0.0,
50,val,,69.0,0.88,0.0,
51,train,0.001,70.2,0.781,0.0,
51,val,,68.0,0.846,0.0,
52,train,0.001,70.28,0.757,0.0,
52,val,,68.0,0.845,0.0,
53,train,0.001,72.2,0.754,0.0,
53,val,,69.2,0.845,0.0,
54,train,0.001,72.12,0.755,0.0,
54,val,,69.0,0.835,0.0,
55,train,0.001,72.0,0.748,0.0,
55,val,,68.8,0.838,0.0,
56,train,0.001,71.84,0.735,0.0,
56,val,,69.0,0.837,0.0,
57,train,0.001,72.52,0.721,0.0,
57,val,,68.0,0.839,0.0,
58,train,0.001,73.44,0.718,0.0,
