Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,18.64,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.04,1.611,0.0,
2,val,,20.0,1.609,0.0,
3,train,0.01,19.48,1.61,0.0,
3,val,,20.0,1.609,0.0,
4,train,0.01,20.0,1.61,0.0,
4,val,,25.2,1.608,0.0,
5,train,0.01,21.76,1.609,0.0,
5,val,,28.0,1.606,0.0,
6,train,0.01,24.84,1.602,0.0,
6,val,,26.8,1.581,0.0,
7,train,0.01,26.24,1.586,0.0,
7,val,,30.4,1.558,0.0,
8,train,0.01,25.84,1.577,0.0,
8,val,,28.6,1.548,0.0,
9,train,0.01,26.2,1.576,0.0,
9,val,,29.0,1.545,0.0,
10,train,0.01,27.4,1.575,0.0,
10,val,,28.0,1.552,0.0,
11,train,0.01,27.32,1.569,0.0,
11,val,,28.6,1.544,0.0,
12,train,0.01,28.68,1.562,0.0,
12,val,,31.2,1.543,0.0,
13,train,0.01,28.04,1.564,0.0,
13,val,,29.8,1.539,0.0,
14,train,0.01,29.84,1.549,0.0,
14,val,,29.6,1.531,0.0,
15,train,0.01,30.32,1.541,0.0,
15,val,,26.8,1.583,0.0,
16,train,0.01,30.2,1.546,0.0,
16,val,,31.6,1.541,0.0,
17,train,0.01,32.28,1.53,0.0,
17,val,,32.2,1.518,0.0,
18,train,0.01,31.36,1.526,0.0,
18,val,,31.6,1.513,0.0,
19,train,0.01,33.28,1.52,0.0,
19,val,,32.4,1.511,0.0,
20,train,0.01,33.4,1.509,0.0,
20,val,,32.8,1.501,0.0,
21,train,0.01,32.52,1.518,0.0,
21,val,,34.8,1.484,0.0,
22,train,0.01,35.44,1.501,0.0,
22,val,,31.4,1.513,0.0,
23,train,0.01,35.12,1.5,0.0,
23,val,,33.8,1.478,0.0,
24,train,0.01,35.44,1.497,0.0,
24,val,,34.2,1.487,0.0,
25,train,0.01,37.44,1.476,0.0,
25,val,,35.0,1.47,0.0,
26,train,0.01,35.6,1.483,0.0,
26,val,,34.0,1.475,0.0,
27,train,0.01,37.56,1.477,0.0,
27,val,,34.0,1.464,0.0,
28,train,0.01,36.44,1.468,0.0,
28,val,,35.6,1.468,0.0,
29,train,0.01,36.12,1.474,0.0,
29,val,,36.0,1.448,0.0,
30,train,0.01,38.4,1.451,0.0,
30,val,,35.0,1.488,0.0,
31,train,0.01,38.8,1.451,0.0,
31,val,,34.2,1.47,0.0,
32,train,0.01,37.32,1.456,0.0,
32,val,,35.0,1.461,0.0,
33,train,0.01,38.52,1.447,0.0,
33,val,,36.2,1.452,0.0,
34,train,0.01,39.08,1.448,0.0,
34,val,,34.0,1.457,0.0,
35,train,0.01,39.72,1.443,0.0,
35,val,,38.0,1.426,0.0,
36,train,0.01,40.04,1.442,0.0,
36,val,,38.4,1.418,0.0,
37,train,0.01,39.8,1.429,0.0,
37,val,,37.8,1.405,0.0,
38,train,0.01,39.4,1.43,0.0,
38,val,,37.4,1.431,0.0,
39,train,0.01,41.0,1.411,0.0,
39,val,,36.2,1.457,0.0,
40,train,0.01,38.8,1.423,0.0,
40,val,,40.8,1.406,0.0,
41,train,0.01,40.56,1.413,0.0,
41,val,,37.0,1.414,0.0,
42,train,0.01,39.44,1.426,0.0,
42,val,,38.2,1.404,0.0,
43,train,0.01,40.96,1.406,0.0,
43,val,,35.0,1.434,0.0,
44,train,0.01,40.4,1.403,0.0,
44,val,,38.0,1.409,0.0,
45,train,0.01,40.84,1.397,0.0,
45,val,,36.0,1.423,0.0,
46,train,0.01,41.6,1.396,0.0,
46,val,,38.6,1.435,0.0,
47,train,0.01,42.36,1.381,0.0,
47,val,,37.8,1.411,0.0,
48,train,0.01,42.0,1.383,0.0,
48,val,,35.6,1.458,0.0,
49,train,0.01,42.76,1.364,0.0,
49,val,,36.6,1.456,0.0,
50,train,0.01,43.2,1.372,0.0,
50,val,,36.6,1.437,0.0,
51,train,0.001,44.0,1.349,0.0,
51,val,,35.0,1.417,0.0,
52,train,0.001,45.4,1.336,0.0,
52,val,,37.6,1.414,0.0,
53,train,0.001,45.68,1.318,0.0,
53,val,,37.2,1.42,0.0,
54,train,0.001,45.48,1.324,0.0,
54,val,,36.2,1.421,0.0,
55,train,0.001,45.8,1.308,0.0,
55,val,,37.4,1.416,0.0,
56,train,0.001,46.12,1.325,0.0,
56,val,,37.6,1.419,0.0,
57,train,0.001,44.92,1.319,0.0,
57,val,,37.2,1.412,0.0,
58,train,0.001,46.68,1.308,0.0,
58,val,,37.0,1.411,0.0,
59,train,0.001,44.68,1.324,0.0,
59,val,,37.4,1.416,0.0,
60,train,0.001,46.04,1.314,0.0,
60,val,,38.4,1.424,0.0,
61,train,0.001,45.8,1.31,0.0,
61,val,,37.2,1.42,0.0,
62,train,0.001,46.16,1.302,0.0,
62,val,,37.8,1.416,0.0,
63,train,0.001,45.72,1.31,0.0,
63,val,,36.6,1.416,0.0,
