Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.04,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,20.12,1.609,0.0,
2,val,,20.0,1.603,0.0,
3,train,0.01,26.8,1.566,0.0,
3,val,,27.0,1.529,0.0,
4,train,0.01,30.72,1.503,0.0,
4,val,,31.8,1.471,0.0,
5,train,0.01,37.4,1.436,0.0,
5,val,,40.4,1.422,0.0,
6,train,0.01,39.92,1.399,0.0,
6,val,,37.4,1.431,0.0,
7,train,0.01,40.84,1.359,0.0,
7,val,,41.0,1.441,0.0,
8,train,0.01,43.44,1.325,0.0,
8,val,,39.0,1.453,0.0,
9,train,0.01,45.2,1.293,0.0,
9,val,,44.4,1.328,0.0,
10,train,0.01,46.48,1.274,0.0,
10,val,,46.4,1.289,0.0,
11,train,0.01,48.44,1.243,0.0,
11,val,,46.4,1.269,0.0,
12,train,0.01,48.12,1.24,0.0,
12,val,,48.2,1.271,0.0,
13,train,0.01,47.32,1.235,0.0,
13,val,,47.8,1.274,0.0,
14,train,0.01,48.44,1.226,0.0,
14,val,,48.0,1.23,0.0,
15,train,0.01,49.88,1.206,0.0,
15,val,,53.0,1.204,0.0,
16,train,0.01,50.68,1.191,0.0,
16,val,,47.8,1.233,0.0,
17,train,0.01,51.2,1.202,0.0,
17,val,,52.2,1.183,0.0,
18,train,0.01,50.8,1.185,0.0,
18,val,,49.4,1.193,0.0,
19,train,0.01,51.44,1.171,0.0,
19,val,,49.4,1.212,0.0,
20,train,0.01,52.92,1.168,0.0,
20,val,,51.0,1.227,0.0,
21,train,0.01,52.2,1.163,0.0,
21,val,,51.6,1.161,0.0,
22,train,0.01,52.48,1.165,0.0,
22,val,,51.2,1.222,0.0,
23,train,0.01,52.8,1.16,0.0,
23,val,,54.6,1.142,0.0,
24,train,0.01,54.12,1.125,0.0,
24,val,,49.8,1.188,0.0,
25,train,0.01,54.76,1.127,0.0,
25,val,,55.4,1.124,0.0,
26,train,0.01,54.88,1.111,0.0,
26,val,,52.6,1.173,0.0,
27,train,0.01,54.96,1.106,0.0,
27,val,,56.6,1.14,0.0,
28,train,0.01,56.28,1.093,0.0,
28,val,,53.8,1.124,0.0,
29,train,0.01,56.8,1.09,0.0,
29,val,,51.8,1.159,0.0,
30,train,0.01,56.08,1.088,0.0,
30,val,,54.4,1.141,0.0,
31,train,0.01,57.56,1.064,0.0,
31,val,,55.2,1.118,0.0,
32,train,0.01,58.56,1.05,0.0,
32,val,,50.8,1.3,0.0,
33,train,0.01,56.92,1.066,0.0,
33,val,,54.8,1.126,0.0,
34,train,0.01,58.48,1.061,0.0,
34,val,,53.2,1.135,0.0,
35,train,0.01,58.24,1.045,0.0,
35,val,,54.2,1.17,0.0,
36,train,0.01,58.92,1.033,0.0,
36,val,,54.2,1.113,0.0,
37,train,0.01,59.0,1.031,0.0,
37,val,,55.6,1.119,0.0,
38,train,0.01,59.08,1.024,0.0,
38,val,,53.4,1.134,0.0,
39,train,0.01,59.0,1.023,0.0,
39,val,,56.2,1.113,0.0,
40,train,0.01,61.52,1.003,0.0,
40,val,,54.8,1.202,0.0,
41,train,0.01,60.32,1.008,0.0,
41,val,,54.4,1.156,0.0,
42,train,0.01,61.96,0.978,0.0,
42,val,,58.0,1.076,0.0,
43,train,0.01,59.96,0.994,0.0,
43,val,,55.0,1.119,0.0,
44,train,0.01,61.6,0.981,0.0,
44,val,,55.2,1.13,0.0,
45,train,0.01,61.6,0.99,0.0,
45,val,,54.8,1.118,0.0,
46,train,0.01,61.92,0.976,0.0,
46,val,,55.0,1.09,0.0,
47,train,0.01,62.48,0.959,0.0,
47,val,,58.2,1.09,0.0,
48,train,0.01,63.48,0.939,0.0,
48,val,,56.0,1.172,0.0,
49,train,0.01,63.0,0.95,0.0,
49,val,,58.8,1.139,0.0,
50,train,0.01,61.64,0.964,0.0,
50,val,,56.4,1.118,0.0,
51,train,0.001,63.48,0.939,0.0,
51,val,,57.4,1.072,0.0,
52,train,0.001,66.48,0.878,0.0,
52,val,,58.2,1.066,0.0,
53,train,0.001,66.24,0.864,0.0,
53,val,,59.2,1.07,0.0,
54,train,0.001,67.68,0.856,0.0,
54,val,,58.0,1.076,0.0,
55,train,0.001,67.12,0.848,0.0,
55,val,,57.4,1.077,0.0,
56,train,0.001,67.88,0.854,0.0,
56,val,,59.4,1.067,0.0,
57,train,0.001,67.24,0.846,0.0,
57,val,,58.2,1.088,0.0,
58,train,0.001,66.88,0.861,0.0,
58,val,,58.8,1.063,0.0,
59,train,0.001,67.68,0.845,0.0,
59,val,,58.6,1.077,0.0,
60,train,0.001,67.28,0.848,0.0,
60,val,,58.0,1.076,0.0,
61,train,0.001,67.16,0.841,0.0,
61,val,,59.6,1.072,0.0,
62,train,0.001,67.72,0.83,0.0,
62,val,,57.6,1.068,0.0,
63,train,0.001,67.4,0.846,0.0,
63,val,,57.8,1.063,0.0,
64,train,0.001,67.4,0.836,0.0,
64,val,,58.4,1.052,0.0,
65,train,0.001,67.44,0.843,0.0,
65,val,,58.0,1.062,0.0,
66,train,0.001,67.4,0.839,0.0,
66,val,,58.0,1.072,0.0,
