Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.04,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.2,1.61,0.0,
2,val,,20.8,1.608,0.0,
3,train,0.01,19.76,1.608,0.0,
3,val,,23.8,1.603,0.0,
4,train,0.01,28.44,1.583,0.0,
4,val,,31.8,1.507,0.0,
5,train,0.01,32.32,1.491,0.0,
5,val,,39.0,1.436,0.0,
6,train,0.01,38.32,1.447,0.0,
6,val,,40.0,1.375,0.0,
7,train,0.01,41.92,1.401,0.0,
7,val,,40.2,1.4,0.0,
8,train,0.01,40.2,1.38,0.0,
8,val,,45.0,1.291,0.0,
9,train,0.01,45.52,1.298,0.0,
9,val,,45.0,1.426,0.0,
10,train,0.01,46.08,1.281,0.0,
10,val,,45.8,1.352,0.0,
11,train,0.01,47.4,1.256,0.0,
11,val,,49.2,1.224,0.0,
12,train,0.01,47.36,1.241,0.0,
12,val,,48.6,1.231,0.0,
13,train,0.01,49.6,1.229,0.0,
13,val,,42.6,1.44,0.0,
14,train,0.01,50.96,1.2,0.0,
14,val,,49.8,1.283,0.0,
15,train,0.01,51.16,1.178,0.0,
15,val,,51.6,1.257,0.0,
16,train,0.01,52.68,1.173,0.0,
16,val,,52.2,1.186,0.0,
17,train,0.01,54.6,1.158,0.0,
17,val,,53.8,1.131,0.0,
18,train,0.01,55.4,1.136,0.0,
18,val,,54.2,1.158,0.0,
19,train,0.01,55.4,1.116,0.0,
19,val,,51.6,1.15,0.0,
20,train,0.01,57.6,1.084,0.0,
20,val,,53.6,1.112,0.0,
21,train,0.01,57.68,1.07,0.0,
21,val,,54.4,1.235,0.0,
22,train,0.01,58.52,1.076,0.0,
22,val,,54.4,1.11,0.0,
23,train,0.01,58.32,1.068,0.0,
23,val,,54.6,1.106,0.0,
24,train,0.01,58.8,1.053,0.0,
24,val,,55.6,1.106,0.0,
25,train,0.01,57.68,1.057,0.0,
25,val,,56.4,1.067,0.0,
26,train,0.01,60.68,1.01,0.0,
26,val,,56.6,1.048,0.0,
27,train,0.01,60.6,1.016,0.0,
27,val,,57.2,1.068,0.0,
28,train,0.01,61.4,1.007,0.0,
28,val,,56.6,1.156,0.0,
29,train,0.01,60.72,1.0,0.0,
29,val,,58.6,1.032,0.0,
30,train,0.01,60.72,1.014,0.0,
30,val,,59.8,1.04,0.0,
31,train,0.01,61.36,0.997,0.0,
31,val,,57.8,1.029,0.0,
32,train,0.01,61.08,0.99,0.0,
32,val,,55.4,1.168,0.0,
33,train,0.01,61.04,0.998,0.0,
33,val,,54.8,1.158,0.0,
34,train,0.01,60.84,0.991,0.0,
34,val,,60.4,1.002,0.0,
35,train,0.01,60.6,0.976,0.0,
35,val,,58.6,1.012,0.0,
36,train,0.01,63.68,0.936,0.0,
36,val,,60.6,1.037,0.0,
37,train,0.01,63.92,0.942,0.0,
37,val,,56.8,1.052,0.0,
38,train,0.01,63.96,0.941,0.0,
38,val,,57.8,1.029,0.0,
39,train,0.01,63.56,0.933,0.0,
39,val,,59.4,1.075,0.0,
40,train,0.01,64.56,0.928,0.0,
40,val,,58.4,1.049,0.0,
41,train,0.01,62.44,0.943,0.0,
41,val,,61.4,1.005,0.0,
42,train,0.01,63.8,0.911,0.0,
42,val,,61.4,0.97,0.0,
43,train,0.01,65.36,0.919,0.0,
43,val,,59.0,0.993,0.0,
44,train,0.01,64.52,0.9,0.0,
44,val,,59.6,1.029,0.0,
45,train,0.01,65.68,0.91,0.0,
45,val,,59.8,0.984,0.0,
46,train,0.01,64.8,0.908,0.0,
46,val,,62.6,1.012,0.0,
47,train,0.01,64.68,0.904,0.0,
47,val,,56.4,1.183,0.0,
48,train,0.01,65.4,0.888,0.0,
48,val,,57.4,1.05,0.0,
49,train,0.01,65.44,0.887,0.0,
49,val,,54.6,1.195,0.0,
50,train,0.01,65.56,0.895,0.0,
50,val,,61.0,1.069,0.0,
51,train,0.001,67.76,0.837,0.0,
51,val,,63.6,0.948,0.0,
52,train,0.001,67.96,0.826,0.0,
52,val,,61.8,0.938,0.0,
53,train,0.001,69.24,0.804,0.0,
53,val,,61.4,0.952,0.0,
54,train,0.001,69.32,0.812,0.0,
54,val,,63.6,0.953,0.0,
55,train,0.001,69.0,0.81,0.0,
55,val,,62.6,0.931,0.0,
56,train,0.001,70.04,0.791,0.0,
56,val,,63.4,0.924,0.0,
57,train,0.001,68.92,0.801,0.0,
57,val,,62.4,0.925,0.0,
58,train,0.001,69.08,0.803,0.0,
58,val,,62.0,0.939,0.0,
59,train,0.001,69.76,0.8,0.0,
59,val,,63.6,0.921,0.0,
60,train,0.001,69.68,0.787,0.0,
60,val,,63.2,0.917,0.0,
61,train,0.001,69.0,0.808,0.0,
61,val,,62.8,0.921,0.0,
62,train,0.001,69.16,0.793,0.0,
62,val,,63.8,0.929,0.0,
63,train,0.001,69.96,0.787,0.0,
63,val,,61.8,0.943,0.0,
64,train,0.001,69.6,0.779,0.0,
64,val,,64.0,0.929,0.0,
65,train,0.001,70.6,0.776,0.0,
65,val,,62.4,0.934,0.0,
66,train,0.001,70.92,0.772,0.0,
66,val,,64.4,0.918,0.0,
