Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,train,0.01,19.12,1.61,0.0,
1,val,,20.0,1.609,0.0,
2,train,0.01,19.16,1.611,0.0,
2,val,,20.0,1.609,0.0,
3,train,0.01,20.52,1.61,0.0,
3,val,,20.0,1.608,0.0,
4,train,0.01,22.04,1.606,0.0,
4,val,,32.8,1.598,0.0,
5,train,0.01,31.52,1.557,0.0,
5,val,,31.4,1.499,0.0,
6,train,0.01,36.6,1.387,0.0,
6,val,,38.6,1.328,0.0,
7,train,0.01,39.04,1.28,0.0,
7,val,,35.0,1.329,0.0,
8,train,0.01,42.44,1.23,0.0,
8,val,,41.8,1.289,0.0,
9,train,0.01,47.64,1.185,0.0,
9,val,,47.0,1.182,0.0,
10,train,0.01,50.56,1.136,0.0,
10,val,,54.8,1.029,0.0,
11,train,0.01,53.48,1.084,0.0,
11,val,,57.6,1.111,0.0,
12,train,0.01,56.88,1.038,0.0,
12,val,,62.8,0.948,0.0,
13,train,0.01,56.72,1.033,0.0,
13,val,,48.2,1.401,0.0,
14,train,0.01,57.56,1.014,0.0,
14,val,,61.2,0.958,0.0,
15,train,0.01,59.8,0.986,0.0,
15,val,,62.6,0.95,0.0,
16,train,0.01,59.28,0.96,0.0,
16,val,,64.6,0.894,0.0,
17,train,0.01,60.76,0.979,0.0,
17,val,,61.8,0.921,0.0,
18,train,0.01,62.36,0.944,0.0,
18,val,,57.2,1.112,0.0,
19,train,0.01,62.24,0.95,0.0,
19,val,,63.0,0.917,0.0,
20,train,0.01,62.24,0.917,0.0,
20,val,,58.0,1.127,0.0,
21,train,0.01,63.68,0.901,0.0,
21,val,,62.2,0.973,0.0,
22,train,0.01,63.24,0.903,0.0,
22,val,,57.4,1.065,0.0,
23,train,0.01,64.04,0.897,0.0,
23,val,,65.8,0.858,0.0,
24,train,0.01,64.8,0.86,0.0,
24,val,,65.0,0.859,0.0,
25,train,0.01,65.08,0.864,0.0,
25,val,,68.2,0.79,0.0,
26,train,0.01,66.28,0.857,0.0,
26,val,,63.0,0.927,0.0,
27,train,0.01,64.68,0.865,0.0,
27,val,,64.2,0.862,0.0,
28,train,0.01,66.88,0.818,0.0,
28,val,,59.2,1.172,0.0,
29,train,0.01,67.12,0.814,0.0,
29,val,,66.6,0.848,0.0,
30,train,0.01,67.72,0.795,0.0,
30,val,,64.0,0.95,0.0,
31,train,0.01,69.28,0.778,0.0,
31,val,,67.0,0.823,0.0,
32,train,0.01,69.04,0.786,0.0,
32,val,,64.8,0.921,0.0,
33,train,0.01,69.16,0.792,0.0,
33,val,,70.6,0.755,0.0,
34,train,0.01,66.88,0.796,0.0,
34,val,,68.6,0.749,0.0,
35,train,0.01,69.08,0.768,0.0,
35,val,,67.0,0.825,0.0,
36,train,0.01,70.6,0.747,0.0,
36,val,,68.6,0.811,0.0,
37,train,0.01,70.56,0.755,0.0,
37,val,,70.2,0.747,0.0,
38,train,0.01,70.4,0.739,0.0,
38,val,,70.2,0.76,0.0,
39,train,0.01,71.8,0.72,0.0,
39,val,,64.4,0.918,0.0,
40,train,0.01,70.36,0.762,0.0,
40,val,,67.8,0.788,0.0,
41,train,0.01,71.4,0.734,0.0,
41,val,,72.2,0.741,0.0,
42,train,0.01,70.76,0.714,0.0,
42,val,,68.2,0.761,0.0,
43,train,0.01,72.24,0.712,0.0,
43,val,,69.6,0.804,0.0,
44,train,0.01,72.88,0.704,0.0,
44,val,,57.2,1.268,0.0,
45,train,0.01,71.88,0.737,0.0,
45,val,,61.6,1.065,0.0,
46,train,0.01,71.4,0.722,0.0,
46,val,,66.6,0.875,0.0,
47,train,0.01,72.24,0.696,0.0,
47,val,,69.4,0.819,0.0,
48,train,0.01,71.52,0.713,0.0,
48,val,,71.6,0.744,0.0,
49,train,0.01,73.52,0.666,0.0,
49,val,,69.4,0.815,0.0,
50,train,0.01,75.0,0.643,0.0,
50,val,,71.4,0.731,0.0,
51,train,0.001,76.04,0.617,0.0,
51,val,,71.6,0.708,0.0,
52,train,0.001,76.72,0.591,0.0,
52,val,,74.4,0.692,0.0,
53,train,0.001,77.32,0.585,0.0,
53,val,,72.6,0.714,0.0,
54,train,0.001,78.2,0.576,0.0,
54,val,,73.6,0.7,0.0,
55,train,0.001,77.68,0.575,0.0,
55,val,,73.0,0.702,0.0,
56,train,0.001,78.32,0.572,0.0,
56,val,,72.8,0.693,0.0,
57,train,0.001,77.92,0.569,0.0,
57,val,,72.4,0.699,0.0,
58,train,0.001,78.6,0.566,0.0,
58,val,,74.6,0.693,0.0,
59,train,0.001,78.4,0.572,0.0,
59,val,,74.2,0.69,0.0,
60,train,0.001,78.32,0.567,0.0,
60,val,,73.2,0.69,0.0,
61,train,0.001,78.4,0.555,0.0,
61,val,,71.8,0.698,0.0,
62,train,0.001,78.28,0.564,0.0,
62,val,,73.6,0.697,0.0,
63,train,0.001,78.52,0.566,0.0,
63,val,,73.8,0.675,0.0,
64,train,0.001,78.64,0.564,0.0,
64,val,,73.4,0.684,0.0,
65,train,0.001,78.56,0.544,0.0,
65,val,,73.6,0.699,0.0,
66,train,0.001,79.2,0.545,0.0,
66,val,,73.8,0.686,0.0,
67,train,0.001,78.76,0.57,0.0,
67,val,,74.8,0.687,0.0,
68,train,0.001,80.0,0.531,0.0,
68,val,,74.2,0.698,0.0,
69,train,0.001,79.2,0.562,0.0,
69,val,,72.0,0.73,0.0,
70,train,0.001,79.68,0.538,0.0,
70,val,,75.0,0.674,0.0,
71,train,0.001,78.08,0.56,0.0,
71,val,,75.0,0.682,0.0,
72,train,0.001,79.64,0.538,0.0,
72,val,,74.4,0.69,0.0,
73,train,0.001,80.04,0.53,0.0,
73,val,,75.0,0.673,0.0,
74,train,0.001,79.44,0.532,0.0,
74,val,,75.0,0.679,0.0,
75,train,0.001,79.4,0.529,0.0,
75,val,,75.0,0.69,0.0,
76,train,0.001,79.84,0.533,0.0,
76,val,,72.4,0.699,0.0,
77,train,0.001,80.52,0.525,0.0,
77,val,,73.4,0.688,0.0,
78,train,0.001,80.36,0.535,0.0,
78,val,,74.4,0.69,0.0,
79,train,0.001,79.52,0.53,0.0,
79,val,,75.0,0.69,0.0,
80,train,0.001,80.32,0.517,0.0,
80,val,,73.8,0.672,0.0,
81,train,0.0001,79.72,0.536,0.0,
81,val,,75.0,0.666,0.0,
82,train,0.0001,79.96,0.521,0.0,
82,val,,74.8,0.678,0.0,
83,train,0.0001,80.32,0.51,0.0,
83,val,,74.6,0.678,0.0,
84,train,0.0001,79.16,0.522,0.0,
84,val,,75.0,0.676,0.0,
85,train,0.0001,80.96,0.506,0.0,
85,val,,75.2,0.685,0.0,
86,train,0.0001,78.24,0.548,0.0,
86,val,,75.4,0.678,0.0,
87,train,0.0001,80.04,0.517,0.0,
87,val,,76.0,0.681,0.0,
88,train,0.0001,80.72,0.508,0.0,
88,val,,75.8,0.679,0.0,
89,train,0.0001,79.44,0.525,0.0,
89,val,,74.8,0.683,0.0,
90,train,0.0001,80.4,0.519,0.0,
90,val,,75.4,0.679,0.0,
91,train,0.0001,80.4,0.512,0.0,
91,val,,74.4,0.67,0.0,
92,train,0.0001,78.4,0.541,0.0,
92,val,,74.8,0.681,0.0,
93,train,0.0001,78.96,0.533,0.0,
93,val,,76.2,0.679,0.0,
94,train,0.0001,80.72,0.507,0.0,
94,val,,75.0,0.681,0.0,
95,train,0.0001,80.52,0.511,0.0,
95,val,,74.4,0.676,0.0,
96,train,0.0001,81.0,0.501,0.0,
